ID;KenmerkenFinancien;Cijfersoort;Perioden;ScoreGeluk_1;Ongelukkig_2;NietGelukkigNietOngelukkig_3;Gelukkig_4;ScoreTevredenheidMetHetLeven_5;Ontevreden_6;NietTevredenNietOntevreden_7;Tevreden_8;ScoreTevredenheidFinancieleSituatie_9;Ontevreden_10;NietTevredenNietOntevreden_11;Tevreden_12;ScoreZorgenOverFinancieleToekomst_13;GeenZorgen_14;WeinigZorgen_15;VeelZorgen_16
0;Totaal personen;Gemiddelde/Percentage;2013;7.7;2.5;10.0;87.5;7.5;3.4;13.0;83.6;6.9;9.3;22.4;68.3;5.1;39.8;27.9;32.2
1;Totaal personen;Gemiddelde/Percentage;2014;7.7;2.4;9.7;87.9;7.6;3.3;12.1;84.6;7.0;8.9;20.1;70.9;4.9;44.6;25.7;29.7
2;Totaal personen;Gemiddelde/Percentage;2015;7.7;2.8;9.8;87.4;7.5;3.9;12.2;83.9;7.0;8.6;20.9;70.5;4.9;45.2;25.5;29.4
3;Totaal personen;Gemiddelde/Percentage;2016;7.7;2.6;9.1;88.3;7.6;3.0;11.8;85.2;7.2;7.3;19.6;73.1;4.8;47.0;25.3;27.6
4;Totaal personen;Gemiddelde/Percentage;2017;7.7;2.8;9.8;87.5;7.6;3.5;11.1;85.4;7.2;7.0;18.0;74.9;4.6;49.5;24.3;26.2
5;Totaal personen;Gemiddelde/Percentage;2018;7.7;2.8;9.4;87.7;7.6;2.4;11.8;85.7;7.3;6.7;17.2;76.0;4.5;52.1;22.8;25.1
6;Totaal personen;Gemiddelde/Percentage;2019;7.7;2.6;8.5;88.9;7.7;2.4;10.3;87.3;7.3;6.7;16.1;77.2;4.5;51.5;23.2;25.2
7;Totaal personen;Gemiddelde/Percentage;2020;7.7;2.7;10.5;86.8;7.6;2.7;12.4;84.8;7.5;5.9;14.6;79.5;4.4;54.0;21.8;24.2
8;Totaal personen;Gemiddelde/Percentage;2021;7.6;3.3;10.3;86.4;7.5;3.3;13.0;83.6;7.6;5.2;12.9;81.9;4.2;58.2;19.3;22.5
9;Totaal personen;Standaardfout;2013;0.0;0.2;0.4;0.4;0.0;0.2;0.4;0.4;0.0;0.3;0.5;0.6;0.0;0.6;0.5;0.6
10;Totaal personen;Standaardfout;2014;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.3;0.5;0.5;0.0;0.6;0.5;0.5
11;Totaal personen;Standaardfout;2015;0.0;0.2;0.4;0.4;0.0;0.2;0.4;0.4;0.0;0.3;0.5;0.5;0.0;0.6;0.5;0.5
