ID;Leeftijd;Herkomstgroepering;Generatie;Verblijfsduur;AandeelAllochtonenInWoonbuurt;Woongemeente;Perioden;AantalPersonenTotaal_1;WerkzamePersonenTotaal_2;Werknemers_3;Zelfstandigen_4;Ondernemers_5;PersonenMetEenUitkeringTotaal_6;PersonenMetEenAOUitkering_7;PersonenMetEenWWUitkering_8;PersonenMetEenBijstandsuitkering_9;PersonenMetEenAndereUitkering_10;AantalPersonenTotaal_11;WerkzamePersonenTotaal_12;Werknemers_13;Zelfstandigen_14;Ondernemers_15;PersonenMetEenUitkeringTotaal_16;PersonenMetEenAOUitkering_17;PersonenMetEenWWUitkering_18;PersonenMetEenBijstandsuitkering_19;PersonenMetEenAndereUitkering_20;AantalPersonenTotaal_21;WerkzamePersonenTotaal_22;Werknemers_23;Zelfstandigen_24;Ondernemers_25;PersonenMetEenUitkeringTotaal_26;PersonenMetEenAOUitkering_27;PersonenMetEenWWUitkering_28;PersonenMetEenBijstandsuitkering_29;PersonenMetEenAndereUitkering_30
0;0;0;Totaal generaties;Totaal verblijfsduren;Totaal buurten;Nederland;1999, vrijdag 24 september;10757.5;67.9;62.3;7.1;8.3;16.2;8.0;1.6;4.1;3.9;5457.8;78.2;71.0;9.3;11.0;16.4;9.2;1.8;3.1;3.8;5299.6;57.3;53.4;4.9;5.4;16.0;6.7;1.5;5.0;4.0
1;0;0;Totaal generaties;Totaal verblijfsduren;Totaal buurten;Nederland;2000, vrijdag 29 september;10820.8;68.9;63.3;7.3;8.4;15.6;8.1;1.3;3.7;3.7;5487.5;78.7;71.3;9.6;11.2;15.5;9.2;1.5;2.8;3.5;5333.3;58.9;55.0;4.9;5.5;15.6;7.0;1.2;4.7;3.9
2;0;0;Totaal generaties;Totaal verblijfsduren;Totaal buurten;Nederland;2001, vrijdag 28 september;10897.3;69.8;64.1;7.3;8.5;15.3;8.2;1.2;3.5;3.7;5524.7;79.0;71.5;9.7;11.5;15.1;9.1;1.3;2.6;3.5;5372.7;60.4;56.5;4.9;5.5;15.5;7.3;1.0;4.4;3.9
3;0;0;Totaal generaties;Totaal verblijfsduren;Totaal buurten;Nederland;2002, vrijdag 27 september;10958.2;69.8;64.2;7.2;8.5;15.2;8.3;1.4;3.4;3.6;5552.6;78.3;70.9;9.6;11.4;15.0;9.0;1.6;2.6;3.5;5405.6;61.0;57.3;4.8;5.4;15.5;7.6;1.2;4.3;3.8
4;0;0;Totaal generaties;Totaal verblijfsduren;Totaal buurten;Nederland;2003, vrijdag 26 september;10989.7;69.3;63.6;7.2;8.4;15.7;8.2;1.9;3.6;3.6;5562.1;77.3;69.9;9.5;11.4;15.6;8.9;2.2;2.8;3.5;5427.6;61.0;57.2;4.8;5.4;15.9;7.6;1.6;4.4;3.7
5;0;0;Totaal generaties;Totaal verblijfsduren;Totaal buurten;Nederland;2004, vrijdag 24 september;11006.2;68.3;62.8;6.9;8.2;15.9;8.1;2.3;3.6;3.6;5563.5;76.0;68.7;9.2;11.1;15.8;8.7;2.6;2.8;3.5;5442.7;60.5;56.8;4.6;5.3;16.0;7.5;2.0;4.4;3.7
6;0;0;Totaal generaties;Totaal verblijfsduren;Totaal buurten;Nederland;2005, vrijdag 30 september;11018.5;68.5;62.9;7.1;8.4;15.7;7.7;2.3;3.6;4.0;5562.9;75.9;68.5;9.3;11.3;15.6;8.3;2.5;2.9;4.2;5455.6;60.9;57.2;4.8;5.4;15.8;7.1;2.1;4.4;3.8
7;0;0;Totaal generaties;Totaal verblijfsduren;Totaal buurten;Nederland;2006, vrijdag 29 september;11027.9;69.5;63.7;7.5;8.9;15.1;7.2;1.9;3.4;4.3;5562.1;76.7;69.1;9.8;12.0;15.0;7.8;2.1;2.6;4.5;5465.7;62.1;58.3;5.1;5.8;15.3;6.7;1.8;4.2;4.1
8;0;0;Totaal generaties;Totaal verblijfsduren;Totaal buurten;Nederland;2007, vrijdag 28 september;11054.1;71.5;65.5;7.7;9.3;13.8;7.1;1.5;3.1;;5571.9;78.5;70.5;10.2;12.5;13.6;7.6;1.5;2.3;;5482.2;64.4;60.4;5.3;6.0;14.1;6.6;1.4;3.8;
9;0;0;Totaal generaties;Totaal verblijfsduren;Totaal buurten;Alkmaar;1999, vrijdag 24 september;64.0;69.1;64.8;5.5;6.2;17.9;9.3;1.4;4.7;4.0;32.1;78.4;72.8;7.4;8.5;16.7;9.9;1.6;3.0;3.6;31.9;59.6;56.9;3.6;3.9;19.1;8.7;1.2;6.3;4.4
