ID;Geslacht;Leeftijd;DiagnosenGGZ;GestandaardiseerdInkomen;Verblijf;Perioden;PrimaireDiagnosen_1;PrimaireOfNevendiagnosen_2;PrimaireDiagnosen_3;PrimaireOfNevendiagnosen_4
0;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Totaal met en zonder verblijf;2011;1226290.0;1226290;7347.0;7347
1;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Totaal met en zonder verblijf;2012;1136755.0;1136755;6784.0;6784
2;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Totaal met en zonder verblijf;2013;1140605.0;1140605;6789.0;6789
3;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Totaal met en zonder verblijf;2014;1008715.0;1008805;5982.0;5982
4;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Totaal met en zonder verblijf;2015;701340.0;701645;4142.0;4144
5;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Totaal met en zonder verblijf;2016;702635.0;698445;4127.0;4103
6;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen zonder verblijf;2011;1146675.0;1146675;6870.0;6870
7;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen zonder verblijf;2012;1074210.0;1074210;6411.0;6411
8;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen zonder verblijf;2013;1068690.0;1068690;6361.0;6361
9;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen zonder verblijf;2014;943810.0;943810;5597.0;5597
10;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen zonder verblijf;2015;645430.0;645700;3812.0;3813
11;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen zonder verblijf;2016;648335.0;644460;3808.0;3785
12;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen met verblijf;2011;79615.0;79615;477.0;477
13;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen met verblijf;2012;62545.0;62545;373.0;373
14;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen met verblijf;2013;71915.0;71915;428.0;428
15;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen met verblijf;2014;64885.0;64990;384.0;385
16;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen met verblijf;2015;55890.0;55935;330.0;330
17;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen met verblijf;2016;54295.0;54190;318.0;318
18;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Totaal met en zonder verblijf;2011;183140.0;183140;11381.0;11381
19;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Totaal met en zonder verblijf;2012;171120.0;171120;10597.0;10597
20;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Totaal met en zonder verblijf;2013;176240.0;176240;10904.0;10904
