ID;Persoonskenmerken;KrantLezenVrijwelDagelijks_1;BinnenlandsNieuwsLezenBijnaAltijd_2;BuitenlandsNieuwsLezenBijnaAltijd_3;PratenOverBinnenlandsNieuwsMeestal_4;PolitiekeInteresseZeerGeinteresseerd_5;AanhangerPolitiekePartij_6;AangetrokkenTotPolitiekePartij_7;LidmaatschapPolitiekePartij_8;CampagneVolgenZeerIntensief_9;VolgenVanDebattenMinstensEenGezien_10
0;Totaal persoonskenmerken;53;28;26;50;12;28;52;5;29;27
1;Mannen 18 jaar of ouder;55;29;32;57;15;30;53;5;31;28
2;Vrouwen 18 jaar of ouder;52;27;21;44;10;27;50;4;27;26
3;18 tot 25 jaar;35;15;21;44;9;16;41;2;25;23
4;25 tot 35 jaar;31;13;15;50;6;16;45;2;21;19
5;35 tot 45 jaar;45;22;21;52;10;21;57;4;28;21
6;45 tot 55 jaar;61;28;27;56;12;30;56;5;30;31
7;55 tot 65 jaar;68;37;33;54;17;37;53;6;35;36
8;65 tot 75 jaar;76;41;37;50;15;43;57;6;34;31
9;75 jaar of ouder;68;47;33;34;20;50;47;7;31;30
10;Ongehuwd;38;19;22;49;10;19;49;2;24;23
11;Gehuwd;62;30;28;53;13;31;55;5;31;28
12;Gescheiden;39;28;26;44;12;28;40;3;30;31
13;Verweduwd;59;48;30;43;17;50;55;7;28;29
14;Migratieachtergrond: Nederland;55;28;25;51;12;28;52;5;30;27
15;Migratieachtergrond: westers;53;32;33;49;12;31;52;4;25;26
16;Migratieachtergrond: niet-westers;30;20;27;42;15;26;42;2;25;25
17;Lager onderwijs;41;29;24;34;8;33;38;3;21;19
18;Lbo;50;21;16;41;7;31;41;4;18;18
19;Mavo, vwo-3;55;32;25;46;13;28;52;3;31;27
20;Havo, vwo, mbo;50;24;25;51;9;24;51;3;28;27
21;Hbo, universiteit;65;38;37;68;23;35;70;8;42;36
22;Noord Nederland (LD);59;28;23;52;10;32;46;6;25;23
23;Oost Nederland (LD);51;23;20;52;10;29;53;5;27;28
24;West Nederland (LD);52;30;30;50;14;26;54;4;30;28
25;Zuid Nederland (LD);56;28;25;49;12;31;48;4;31;26
26;Zeer sterk stedelijk;43;29;30;52;17;24;53;5;27;30
27;Sterk stedelijk;53;30;30;53;14;28;52;4;33;30
28;Matig stedelijk;53;27;26;51;10;30;48;4;29;27
29;Weinig stedelijk;57;26;21;47;10;30;53;5;28;23
30;Niet stedelijk;63;26;22;46;9;29;51;5;24;23
31;CDA;67;35;27;54;11;37;63;5;33;29
32;PvdA;54;31;27;50;16;39;57;6;38;36
33;VVD;70;30;31;61;15;37;68;5;36;30
34;GroenLinks;53;25;28;65;17;39;72;9;43;38
35;SP;44;25;24;54;13;19;57;2;33;29
36;ChristenUnie;60;29;27;49;14;45;74;13;25;23
37;PVV;47;20;26;50;6;6;51;2;25;25
38;Overige politieke partijen;66;29;32;54;24;35;54;11;35;26
39;Niet gestemd;32;15;20;37;6;11;25;1;8;13
