ID;Geslacht;Leeftijd;Maandloon;BedrijfstakkenSBI2008;HerkomstNationaliteit;Perioden;BuitenlandGeborenWerknemersTotaal_1;BuitenlandGeborenWerknemersIngesc_2;BuitenlandGeborenWerknemersNietI_3
0;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Totaal;2006, vrijdag 29 september;536.2;414.9;121.3
1;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Totaal;2007, vrijdag 28 september;615.4;443.6;171.9
2;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Totaal;2008, vrijdag 26 september;662.4;472.1;190.3
3;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Totaal;2009, vrijdag 25 september;648.0;469.8;178.2
4;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Totaal;2010, vrijdag 24 september;659.5;477.3;182.2
5;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Totaal;2011, vrijdag 23 september;683.5;492.7;190.8
6;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Totaal;2012, vrijdag 28 september;680.4;494.9;185.5
7;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Totaal;2013, vrijdag 28 september;677.9;495.1;182.8
8;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Totaal;2014, vrijdag 26 september;676.9;501.9;175.0
9;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Afrika;2006, vrijdag 29 september;72.2;70.8;1.5
10;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Afrika;2007, vrijdag 28 september;76.2;74.5;1.7
11;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Afrika;2008, vrijdag 26 september;79.7;77.9;1.8
12;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Afrika;2009, vrijdag 25 september;76.5;75.8;0.7
13;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Afrika;2010, vrijdag 24 september;75.7;75.0;0.7
14;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Afrika;2011, vrijdag 23 september;75.3;74.6;0.7
15;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Afrika;2012, vrijdag 28 september;73.3;72.7;0.7
16;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Afrika;2013, vrijdag 28 september;71.0;70.4;0.6
17;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Afrika;2014, vrijdag 26 september;69.7;69.3;0.4
18;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Amerika;2006, vrijdag 29 september;108.1;107.3;0.7
19;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Amerika;2007, vrijdag 28 september;113.2;112.2;1.0
20;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Amerika;2008, vrijdag 26 september;115.6;114.6;1.0
21;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Amerika;2009, vrijdag 25 september;112.4;111.9;0.6
22;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Amerika;2010, vrijdag 24 september;111.4;110.8;0.6
23;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Amerika;2011, vrijdag 23 september;110.5;109.9;0.6
24;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Amerika;2012, vrijdag 28 september;107.1;106.5;0.6
25;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Amerika;2013, vrijdag 28 september;103.6;102.9;0.6
26;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Amerika;2014, vrijdag 26 september;99.7;99.1;0.6
27;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Azië;2006, vrijdag 29 september;67.6;66.7;0.9
28;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Azië;2007, vrijdag 28 september;74.3;73.0;1.2
29;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Azië;2008, vrijdag 26 september;80.9;79.8;1.1
30;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Azië;2009, vrijdag 25 september;79.2;78.5;0.7
31;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Azië;2010, vrijdag 24 september;79.8;79.1;0.6
32;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Azië;2011, vrijdag 23 september;82.6;81.9;0.8
33;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Azië;2012, vrijdag 28 september;83.1;82.3;0.8
34;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Azië;2013, vrijdag 28 september;82.6;81.9;0.8
35;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Azië;2014, vrijdag 26 september;82.8;82.0;0.8
36;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Europa;2006, vrijdag 29 september;282.2;168.1;114.1
37;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Europa;2007, vrijdag 28 september;344.0;181.8;162.2
38;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Europa;2008, vrijdag 26 september;380.4;197.7;182.7
39;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Europa;2009, vrijdag 25 september;376.0;201.5;174.6
40;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Europa;2010, vrijdag 24 september;387.4;210.2;177.2
41;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Europa;2011, vrijdag 23 september;411.0;224.1;186.9
42;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Europa;2012, vrijdag 28 september;412.8;231.3;181.6
43;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Europa;2013, vrijdag 28 september;416.8;237.7;179.1
44;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Europa;2014, vrijdag 26 september;421.1;249.3;171.0
45;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Oceanië;2006, vrijdag 29 september;2.0;1.9;0.1
46;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Oceanië;2007, vrijdag 28 september;2.1;2.0;0.1
47;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Oceanië;2008, vrijdag 26 september;2.2;2.1;0.1
48;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Oceanië;2009, vrijdag 25 september;2.2;2.2;0.1
49;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Oceanië;2010, vrijdag 24 september;2.2;2.1;0.1
50;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Oceanië;2011, vrijdag 23 september;2.3;2.2;0.1
51;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Oceanië;2012, vrijdag 28 september;2.3;2.2;0.1
52;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Oceanië;2013, vrijdag 28 september;2.3;2.2;0.1
53;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Oceanië;2014, vrijdag 26 september;2.4;2.3;0.1
