ID;Bromfietssoort;Geslacht;Persoonskenmerken;Perioden;PersonenInBezitVanVoertuigen_1;PersonenInBezitVanVoertuigen_2
0;Snorfiets;Totaal mannen en vrouwen;Totaal persoonskenmerken;2010;378400;2.9
1;Snorfiets;Totaal mannen en vrouwen;Totaal persoonskenmerken;2011;421300;3.2
2;Snorfiets;Totaal mannen en vrouwen;Totaal persoonskenmerken;2012;456000;3.4
3;Snorfiets;Totaal mannen en vrouwen;Totaal persoonskenmerken;2013;485800;3.6
4;Snorfiets;Totaal mannen en vrouwen;Totaal persoonskenmerken;2014;510300;3.8
5;Snorfiets;Totaal mannen en vrouwen;Totaal persoonskenmerken;2015;536200;3.9
6;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 16 tot 18 jaar;2010;12000;3.0
7;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 16 tot 18 jaar;2011;11600;2.9
8;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 16 tot 18 jaar;2012;7500;1.9
9;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 16 tot 18 jaar;2013;5800;1.5
10;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 16 tot 18 jaar;2014;4500;1.2
11;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 16 tot 18 jaar;2015;4900;1.2
12;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 18 tot 20 jaar;2010;11900;2.9
13;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 18 tot 20 jaar;2011;14700;3.6
14;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 18 tot 20 jaar;2012;17300;4.3
15;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 18 tot 20 jaar;2013;14700;3.7
16;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 18 tot 20 jaar;2014;11500;2.9
17;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 18 tot 20 jaar;2015;10800;2.7
18;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 20 tot 25 jaar;2010;24800;2.5
19;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 20 tot 25 jaar;2011;30600;3.0
20;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 20 tot 25 jaar;2012;36400;3.5
21;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 20 tot 25 jaar;2013;41500;4.0
22;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 20 tot 25 jaar;2014;46400;4.4
23;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 20 tot 25 jaar;2015;48900;4.6
24;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 25 tot 30 jaar;2010;20400;2.1
25;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 25 tot 30 jaar;2011;24800;2.5
26;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 25 tot 30 jaar;2012;30200;3.0
27;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 25 tot 30 jaar;2013;35400;3.5
28;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 25 tot 30 jaar;2014;40100;3.9
29;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 25 tot 30 jaar;2015;44900;4.3
30;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 30 tot 35 jaar;2010;21000;2.1
31;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 30 tot 35 jaar;2011;24500;2.5
32;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 30 tot 35 jaar;2012;27600;2.8
33;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 30 tot 35 jaar;2013;30400;3.0
34;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 30 tot 35 jaar;2014;32700;3.3
35;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 30 tot 35 jaar;2015;35300;3.5
36;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 35 tot 40 jaar;2010;27200;2.3
37;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 35 tot 40 jaar;2011;29100;2.6
38;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 35 tot 40 jaar;2012;30900;2.9
39;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 35 tot 40 jaar;2013;32600;3.2
40;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 35 tot 40 jaar;2014;33700;3.4
41;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 35 tot 40 jaar;2015;35500;3.6
42;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 40 tot 45 jaar;2010;36800;2.9
43;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 40 tot 45 jaar;2011;41100;3.2
44;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 40 tot 45 jaar;2012;44600;3.5
45;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 40 tot 45 jaar;2013;47500;3.8
46;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 40 tot 45 jaar;2014;48900;4.0
47;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 40 tot 45 jaar;2015;49000;4.2
48;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 45 tot 50 jaar;2010;44800;3.5
49;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 45 tot 50 jaar;2011;50500;3.9
50;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 45 tot 50 jaar;2012;54900;4.3
51;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 45 tot 50 jaar;2013;58400;4.6
52;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 45 tot 50 jaar;2014;61600;4.8
53;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 45 tot 50 jaar;2015;64400;5.1
54;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 50 tot 55 jaar;2010;42400;3.6
55;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 50 tot 55 jaar;2011;47700;4.0
56;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 50 tot 55 jaar;2012;52200;4.3
57;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 50 tot 55 jaar;2013;56900;4.6
58;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 50 tot 55 jaar;2014;61500;5.0
59;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 50 tot 55 jaar;2015;66400;5.3
60;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 55 tot 60 jaar;2010;39300;3.7
61;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 55 tot 60 jaar;2011;42700;4.0
62;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 55 tot 60 jaar;2012;46100;4.2
63;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 55 tot 60 jaar;2013;48900;4.4
64;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 55 tot 60 jaar;2014;51300;4.6
65;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 55 tot 60 jaar;2015;53700;4.7
66;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 60 tot 65 jaar;2010;37400;3.5
67;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 60 tot 65 jaar;2011;41100;3.8
68;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 60 tot 65 jaar;2012;41700;3.9
69;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 60 tot 65 jaar;2013;42700;4.1
70;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 60 tot 65 jaar;2014;43700;4.2
71;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 60 tot 65 jaar;2015;45000;4.3
72;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 65 tot 70 jaar;2010;24800;3.2
73;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 65 tot 70 jaar;2011;26200;3.3
74;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 65 tot 70 jaar;2012;30000;3.5
75;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 65 tot 70 jaar;2013;33400;3.6
76;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 65 tot 70 jaar;2014;36000;3.7
77;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 65 tot 70 jaar;2015;37600;3.7
78;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 70 tot 75 jaar;2010;17500;2.9
79;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 70 tot 75 jaar;2011;18000;2.9
80;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 70 tot 75 jaar;2012;18300;2.9
81;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 70 tot 75 jaar;2013;19000;2.9
82;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 70 tot 75 jaar;2014;19700;2.9
83;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 70 tot 75 jaar;2015;20700;2.9
84;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 75 tot 80 jaar;2010;11100;2.3
85;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 75 tot 80 jaar;2011;11400;2.3
86;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 75 tot 80 jaar;2012;11300;2.3
87;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 75 tot 80 jaar;2013;11400;2.3
88;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 75 tot 80 jaar;2014;11600;2.3
89;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 75 tot 80 jaar;2015;11700;2.2
90;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 80 tot 85 jaar;2010;5100;1.6
91;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 80 tot 85 jaar;2011;5200;1.6
92;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 80 tot 85 jaar;2012;5300;1.5
93;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 80 tot 85 jaar;2013;5300;1.5
94;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 80 tot 85 jaar;2014;5300;1.5
95;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 80 tot 85 jaar;2015;5300;1.5
96;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 85 jaar of ouder;2010;1900;0.8
97;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 85 jaar of ouder;2011;1900;0.8
98;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 85 jaar of ouder;2012;1900;0.8
99;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 85 jaar of ouder;2013;2000;0.8
100;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 85 jaar of ouder;2014;1900;0.8
101;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 85 jaar of ouder;2015;2000;0.7
102;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 16 tot 25 jaar;2010;48700;2.7
103;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 16 tot 25 jaar;2011;56900;3.1
104;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 16 tot 25 jaar;2012;61100;3.3
105;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 16 tot 25 jaar;2013;62100;3.4
106;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 16 tot 25 jaar;2014;62300;3.4
107;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 16 tot 25 jaar;2015;64600;3.5
108;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2010;41400;2.1
109;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2011;49300;2.5
110;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2012;57700;2.9
111;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2013;65700;3.3
112;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2014;72800;3.6
113;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2015;80200;3.9
114;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2010;64000;2.6
115;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2011;70200;2.9
116;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2012;75500;3.2
117;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2013;80100;3.5
118;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2014;82600;3.7
119;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2015;84500;3.9
120;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2010;87200;3.6
121;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2011;98200;4.0
122;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2012;107100;4.3
123;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2013;115300;4.6
124;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2014;123100;4.9
125;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2015;130800;5.2
126;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2010;76700;3.6
127;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2011;83900;3.9
128;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2012;87800;4.1
129;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2013;91600;4.3
130;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2014;95000;4.4
131;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2015;98700;4.5
132;Snorfiets;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2010;42300;3.1
