ID;Arbeidspositie;Arbeidsduur;Geslacht;Persoonskenmerken;Perioden;Totaal_1;Deeltijd_2;MinderDan20UurPerWeek_3;MinderDan12UurPerWeek_4;k_12Tot20UurPerWeek_5;k_20Tot35UurPerWeek_6;k_20Tot28UurPerWeek_7;k_28Tot35UurPerWeek_8;Voltijd35UurOfMeerPerWeek_9;Onbekend_10;GemiddeldAantalExtraGewensteUren_11
0;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2013 1e kwartaal;2000;1210;489;252.0;237;721;403;319;735;55;20.1
1;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2013 2e kwartaal;2026;1224;482;243.0;239;742;411;331;731;71;20.3
2;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2013 3e kwartaal;2086;1293;511;261.0;250;782;430;352;739;54;20.1
3;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2013 4e kwartaal;2091;1290;537;284.0;253;753;405;348;756;45;19.7
4;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2013;2051;1254;505;260.0;245;750;412;337;740;56;20.1
5;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2014 1e kwartaal;2154;1287;518;288.0;230;770;423;347;813;54;20.3
6;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2014 2e kwartaal;2102;1267;486;259.0;226;781;428;353;760;75;20.2
7;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2014 3e kwartaal;2042;1243;469;247.0;222;773;417;357;727;73;20.3
8;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2014 4e kwartaal;2014;1257;515;284.0;231;742;391;350;695;63;19.5
9;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2014;2078;1263;497;270.0;227;766;415;352;749;66;20.1
10;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2015 1e kwartaal;2085;1302;528;282.0;246;774;416;358;712;70;19.7
11;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2015 2e kwartaal;2021;1249;456;242.0;214;792;443;349;693;79;20.2
12;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2015 3e kwartaal;1989;1224;456;246.0;209;769;419;349;690;74;19.8
13;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2015 4e kwartaal;1963;1215;468;258.0;210;747;420;327;678;69;19.4
14;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2015 ;2014;1248;477;257.0;220;771;425;346;693;73;19.8
15;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2016 1e kwartaal;1991;1250;482;271.0;211;768;418;350;668;73;19.4
16;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2016 2e kwartaal;1892;1201;468;253.0;215;733;402;331;615;76;19.2
17;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2016 3e kwartaal;1821;1154;437;227.0;209;718;395;323;598;69;19.3
18;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2016 4e kwartaal;1738;1134;463;254.0;208;671;360;311;537;67;18.4
19;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2016;1861;1185;462;251.0;211;722;394;329;604;71;19.1
