ID;Geslacht;Thuiswerker;PositieWerkkring;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2013;8266
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2014;8214
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2015;8294
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2016;8403
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2017;8579
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2018;8774
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2019;8953
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2020;8951
8;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2013;4027
9;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2014;3992
10;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2015;4041
11;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2016;4090
12;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2017;4159
13;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2018;4290
14;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2019;4395
15;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2020;4466
16;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2013;970
17;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2014;975
18;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2015;986
19;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2016;946
20;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2017;946
21;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2018;940
22;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2019;945
23;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2020;975
24;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2013;1658
25;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2014;1640
26;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2015;1665
27;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2016;1638
28;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2017;1622
29;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2018;1617
30;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2019;1649
31;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2020;1636
32;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 12 tot 20 uur per week;2013;689
33;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 12 tot 20 uur per week;2014;665
