ID;Geslacht;Vooropleiding;Startjaar;OpleidingsrichtingEnSectorDiploma;Peilmoment;OnderwijspositieOpPeilmoment;TotaalDeelnemersStartjaar_1;TotaalGediplomeerden_2;Niveau1_3;Niveau2_4;Niveau3_5;Niveau4_6;NietGediplomeerden_7;TotaalGediplomeerden_8;Niveau1_9;Niveau2_10;Niveau3_11;Niveau4_12;NietGediplomeerden_13
15;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;Totaal deelnemers startjaar;Studievoortgang 6 jaar na startjaar;Totaal deelnemers startjaar;103767.0;84760.0;2718.0;17846.0;19753.0;44443.0;19007.0;82.0;3.0;17.0;19.0;43.0;18.0
16;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;Totaal deelnemers startjaar;Studievoortgang 6 jaar na startjaar;Deelnemers in mbo op peilmoment;12366.0;9009.0;324.0;3879.0;3678.0;1128.0;3357.0;73.0;3.0;31.0;30.0;9.0;27.0
17;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;Totaal deelnemers startjaar;Studievoortgang 6 jaar na startjaar;Deelnemers uit mbo op peilmoment;91401.0;75751.0;2394.0;13967.0;16075.0;43315.0;15650.0;83.0;3.0;15.0;18.0;47.0;17.0
18;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;Totaal deelnemers startjaar;Studievoortgang 7 jaar na startjaar;Totaal deelnemers startjaar;103767.0;86274.0;2634.0;16822.0;19878.0;46940.0;17493.0;83.0;3.0;16.0;19.0;45.0;17.0
19;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;Totaal deelnemers startjaar;Studievoortgang 7 jaar na startjaar;Deelnemers in mbo op peilmoment;8223.0;6374.0;214.0;2597.0;2655.0;908.0;1849.0;78.0;3.0;32.0;32.0;11.0;22.0
20;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;Totaal deelnemers startjaar;Studievoortgang 7 jaar na startjaar;Deelnemers uit mbo op peilmoment;95544.0;79900.0;2420.0;14225.0;17223.0;46032.0;15644.0;84.0;3.0;15.0;18.0;48.0;16.0
21;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 1 jaar na startjaar;Totaal deelnemers startjaar;;7.0;0.0;0.0;0.0;7.0;;0.0;0.0;0.0;0.0;0.0;
22;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 1 jaar na startjaar;Deelnemers in mbo op peilmoment;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
23;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 1 jaar na startjaar;Deelnemers uit mbo op peilmoment;;7.0;0.0;0.0;0.0;7.0;;0.0;0.0;0.0;0.0;0.0;
24;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 2 jaar na startjaar;Totaal deelnemers startjaar;;43.0;0.0;0.0;0.0;43.0;;0.0;0.0;0.0;0.0;0.0;
25;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 2 jaar na startjaar;Deelnemers in mbo op peilmoment;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
26;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 2 jaar na startjaar;Deelnemers uit mbo op peilmoment;;43.0;0.0;0.0;0.0;43.0;;0.0;0.0;0.0;0.0;0.0;
27;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 3 jaar na startjaar;Totaal deelnemers startjaar;;1863.0;0.0;0.0;0.0;1863.0;;2.0;0.0;0.0;0.0;2.0;
28;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 3 jaar na startjaar;Deelnemers in mbo op peilmoment;;50.0;0.0;0.0;0.0;50.0;;0.0;0.0;0.0;0.0;0.0;
29;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 3 jaar na startjaar;Deelnemers uit mbo op peilmoment;;1813.0;0.0;0.0;0.0;1813.0;;4.0;0.0;0.0;0.0;4.0;
30;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 4 jaar na startjaar;Totaal deelnemers startjaar;;2470.0;0.0;0.0;0.0;2470.0;;2.0;0.0;0.0;0.0;2.0;
31;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 4 jaar na startjaar;Deelnemers in mbo op peilmoment;;121.0;0.0;0.0;0.0;121.0;;0.0;0.0;0.0;0.0;0.0;
32;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 4 jaar na startjaar;Deelnemers uit mbo op peilmoment;;2349.0;0.0;0.0;0.0;2349.0;;3.0;0.0;0.0;0.0;3.0;
33;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 5 jaar na startjaar;Totaal deelnemers startjaar;;2660.0;0.0;0.0;0.0;2660.0;;3.0;0.0;0.0;0.0;3.0;
34;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 5 jaar na startjaar;Deelnemers in mbo op peilmoment;;149.0;0.0;0.0;0.0;149.0;;1.0;0.0;0.0;0.0;1.0;
35;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 5 jaar na startjaar;Deelnemers uit mbo op peilmoment;;2511.0;0.0;0.0;0.0;2511.0;;3.0;0.0;0.0;0.0;3.0;
36;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 6 jaar na startjaar;Totaal deelnemers startjaar;;2723.0;0.0;0.0;0.0;2723.0;;3.0;0.0;0.0;0.0;3.0;
37;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 6 jaar na startjaar;Deelnemers in mbo op peilmoment;;118.0;0.0;0.0;0.0;118.0;;1.0;0.0;0.0;0.0;1.0;
38;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 6 jaar na startjaar;Deelnemers uit mbo op peilmoment;;2605.0;0.0;0.0;0.0;2605.0;;3.0;0.0;0.0;0.0;3.0;
39;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 7 jaar na startjaar;Totaal deelnemers startjaar;;2759.0;0.0;0.0;0.0;2759.0;;3.0;0.0;0.0;0.0;3.0;
40;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 7 jaar na startjaar;Deelnemers in mbo op peilmoment;;91.0;0.0;0.0;0.0;91.0;;1.0;0.0;0.0;0.0;1.0;
41;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;01 Onderwijs;Studievoortgang 7 jaar na startjaar;Deelnemers uit mbo op peilmoment;;2668.0;0.0;0.0;0.0;2668.0;;3.0;0.0;0.0;0.0;3.0;
42;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 1 jaar na startjaar;Totaal deelnemers startjaar;;13.0;0.0;13.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
43;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 1 jaar na startjaar;Deelnemers in mbo op peilmoment;;11.0;0.0;11.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
44;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 1 jaar na startjaar;Deelnemers uit mbo op peilmoment;;2.0;0.0;2.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
45;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 2 jaar na startjaar;Totaal deelnemers startjaar;;359.0;0.0;285.0;38.0;36.0;;0.0;0.0;0.0;0.0;0.0;
46;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 2 jaar na startjaar;Deelnemers in mbo op peilmoment;;226.0;0.0;197.0;27.0;2.0;;0.0;0.0;0.0;0.0;0.0;
47;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 2 jaar na startjaar;Deelnemers uit mbo op peilmoment;;133.0;0.0;88.0;11.0;34.0;;1.0;0.0;0.0;0.0;0.0;
48;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 3 jaar na startjaar;Totaal deelnemers startjaar;;1211.0;0.0;350.0;355.0;506.0;;1.0;0.0;0.0;0.0;0.0;
49;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 3 jaar na startjaar;Deelnemers in mbo op peilmoment;;453.0;0.0;225.0;211.0;17.0;;1.0;0.0;0.0;0.0;0.0;
50;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 3 jaar na startjaar;Deelnemers uit mbo op peilmoment;;758.0;0.0;125.0;144.0;489.0;;2.0;0.0;0.0;0.0;1.0;
51;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 4 jaar na startjaar;Totaal deelnemers startjaar;;3921.0;0.0;343.0;424.0;3154.0;;4.0;0.0;0.0;0.0;3.0;
52;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 4 jaar na startjaar;Deelnemers in mbo op peilmoment;;458.0;0.0;184.0;185.0;89.0;;1.0;0.0;1.0;1.0;0.0;
53;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 4 jaar na startjaar;Deelnemers uit mbo op peilmoment;;3463.0;0.0;159.0;239.0;3065.0;;5.0;0.0;0.0;0.0;4.0;
54;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 5 jaar na startjaar;Totaal deelnemers startjaar;;4713.0;0.0;302.0;460.0;3951.0;;5.0;0.0;0.0;0.0;4.0;
55;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 5 jaar na startjaar;Deelnemers in mbo op peilmoment;;355.0;0.0;127.0;141.0;87.0;;2.0;0.0;1.0;1.0;0.0;
56;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 5 jaar na startjaar;Deelnemers uit mbo op peilmoment;;4358.0;0.0;175.0;319.0;3864.0;;5.0;0.0;0.0;0.0;5.0;
57;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 6 jaar na startjaar;Totaal deelnemers startjaar;;5049.0;0.0;259.0;457.0;4333.0;;5.0;0.0;0.0;0.0;4.0;
58;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 6 jaar na startjaar;Deelnemers in mbo op peilmoment;;253.0;0.0;71.0;87.0;95.0;;2.0;0.0;1.0;1.0;1.0;
59;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 6 jaar na startjaar;Deelnemers uit mbo op peilmoment;;4796.0;0.0;188.0;370.0;4238.0;;5.0;0.0;0.0;0.0;5.0;
60;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 7 jaar na startjaar;Totaal deelnemers startjaar;;5255.0;0.0;239.0;447.0;4569.0;;5.0;0.0;0.0;0.0;4.0;
61;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 7 jaar na startjaar;Deelnemers in mbo op peilmoment;;192.0;0.0;41.0;64.0;87.0;;2.0;0.0;0.0;1.0;1.0;
62;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;02 Vormgeving, kunst, talen en gesch...;Studievoortgang 7 jaar na startjaar;Deelnemers uit mbo op peilmoment;;5063.0;0.0;198.0;383.0;4482.0;;5.0;0.0;0.0;0.0;5.0;
63;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 1 jaar na startjaar;Totaal deelnemers startjaar;;6.0;0.0;0.0;0.0;6.0;;0.0;0.0;0.0;0.0;0.0;
64;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 1 jaar na startjaar;Deelnemers in mbo op peilmoment;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
65;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 1 jaar na startjaar;Deelnemers uit mbo op peilmoment;;6.0;0.0;0.0;0.0;6.0;;0.0;0.0;0.0;0.0;0.0;
66;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 2 jaar na startjaar;Totaal deelnemers startjaar;;47.0;0.0;0.0;0.0;47.0;;0.0;0.0;0.0;0.0;0.0;
67;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 2 jaar na startjaar;Deelnemers in mbo op peilmoment;;1.0;0.0;0.0;0.0;1.0;;0.0;0.0;0.0;0.0;0.0;
68;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 2 jaar na startjaar;Deelnemers uit mbo op peilmoment;;46.0;0.0;0.0;0.0;46.0;;0.0;0.0;0.0;0.0;0.0;
69;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 3 jaar na startjaar;Totaal deelnemers startjaar;;457.0;0.0;0.0;0.0;457.0;;0.0;0.0;0.0;0.0;0.0;
70;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 3 jaar na startjaar;Deelnemers in mbo op peilmoment;;6.0;0.0;0.0;0.0;6.0;;0.0;0.0;0.0;0.0;0.0;
71;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 3 jaar na startjaar;Deelnemers uit mbo op peilmoment;;451.0;0.0;0.0;0.0;451.0;;1.0;0.0;0.0;0.0;1.0;
72;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 4 jaar na startjaar;Totaal deelnemers startjaar;;601.0;0.0;0.0;0.0;601.0;;1.0;0.0;0.0;0.0;1.0;
73;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 4 jaar na startjaar;Deelnemers in mbo op peilmoment;;15.0;0.0;0.0;0.0;15.0;;0.0;0.0;0.0;0.0;0.0;
74;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 4 jaar na startjaar;Deelnemers uit mbo op peilmoment;;586.0;0.0;0.0;0.0;586.0;;1.0;0.0;0.0;0.0;1.0;
75;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 5 jaar na startjaar;Totaal deelnemers startjaar;;663.0;0.0;0.0;0.0;663.0;;1.0;0.0;0.0;0.0;1.0;
76;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 5 jaar na startjaar;Deelnemers in mbo op peilmoment;;13.0;0.0;0.0;0.0;13.0;;0.0;0.0;0.0;0.0;0.0;
77;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 5 jaar na startjaar;Deelnemers uit mbo op peilmoment;;650.0;0.0;0.0;0.0;650.0;;1.0;0.0;0.0;0.0;1.0;
78;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 6 jaar na startjaar;Totaal deelnemers startjaar;;687.0;0.0;0.0;0.0;687.0;;1.0;0.0;0.0;0.0;1.0;
79;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 6 jaar na startjaar;Deelnemers in mbo op peilmoment;;6.0;0.0;0.0;0.0;6.0;;0.0;0.0;0.0;0.0;0.0;
80;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 6 jaar na startjaar;Deelnemers uit mbo op peilmoment;;681.0;0.0;0.0;0.0;681.0;;1.0;0.0;0.0;0.0;1.0;
81;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 7 jaar na startjaar;Totaal deelnemers startjaar;;707.0;0.0;0.0;0.0;707.0;;1.0;0.0;0.0;0.0;1.0;
82;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 7 jaar na startjaar;Deelnemers in mbo op peilmoment;;6.0;0.0;0.0;0.0;6.0;;0.0;0.0;0.0;0.0;0.0;
83;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;03 Journalistiek, gedrag en maatschappij;Studievoortgang 7 jaar na startjaar;Deelnemers uit mbo op peilmoment;;701.0;0.0;0.0;0.0;701.0;;1.0;0.0;0.0;0.0;1.0;
84;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 1 jaar na startjaar;Totaal deelnemers startjaar;;945.0;204.0;460.0;175.0;106.0;;1.0;0.0;0.0;0.0;0.0;
85;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 1 jaar na startjaar;Deelnemers in mbo op peilmoment;;672.0;167.0;350.0;150.0;5.0;;1.0;0.0;0.0;0.0;0.0;
86;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 1 jaar na startjaar;Deelnemers uit mbo op peilmoment;;273.0;37.0;110.0;25.0;101.0;;3.0;0.0;1.0;0.0;1.0;
87;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 2 jaar na startjaar;Totaal deelnemers startjaar;;6077.0;267.0;2794.0;2256.0;760.0;;6.0;0.0;3.0;2.0;1.0;
88;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 2 jaar na startjaar;Deelnemers in mbo op peilmoment;;3916.0;173.0;1926.0;1801.0;16.0;;5.0;0.0;2.0;2.0;0.0;
89;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 2 jaar na startjaar;Deelnemers uit mbo op peilmoment;;2161.0;94.0;868.0;455.0;744.0;;9.0;0.0;4.0;2.0;3.0;
90;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 3 jaar na startjaar;Totaal deelnemers startjaar;;13160.0;204.0;3737.0;3355.0;5864.0;;13.0;0.0;4.0;3.0;6.0;
91;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 3 jaar na startjaar;Deelnemers in mbo op peilmoment;;4427.0;76.0;2189.0;2069.0;93.0;;8.0;0.0;4.0;4.0;0.0;
92;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 3 jaar na startjaar;Deelnemers uit mbo op peilmoment;;8733.0;128.0;1548.0;1286.0;5771.0;;19.0;0.0;3.0;3.0;12.0;
93;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 4 jaar na startjaar;Totaal deelnemers startjaar;;16251.0;174.0;3688.0;3615.0;8774.0;;16.0;0.0;4.0;3.0;8.0;
94;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 4 jaar na startjaar;Deelnemers in mbo op peilmoment;;3590.0;33.0;1765.0;1576.0;216.0;;12.0;0.0;6.0;5.0;1.0;
95;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 4 jaar na startjaar;Deelnemers uit mbo op peilmoment;;12661.0;141.0;1923.0;2039.0;8558.0;;17.0;0.0;3.0;3.0;12.0;
96;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 5 jaar na startjaar;Totaal deelnemers startjaar;;17543.0;171.0;3321.0;3801.0;10250.0;;17.0;0.0;3.0;4.0;10.0;
97;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 5 jaar na startjaar;Deelnemers in mbo op peilmoment;;2534.0;25.0;1157.0;1118.0;234.0;;14.0;0.0;6.0;6.0;1.0;
98;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 5 jaar na startjaar;Deelnemers uit mbo op peilmoment;;15009.0;146.0;2164.0;2683.0;10016.0;;18.0;0.0;3.0;3.0;12.0;
99;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 6 jaar na startjaar;Totaal deelnemers startjaar;;18112.0;164.0;3047.0;3851.0;11050.0;;17.0;0.0;3.0;4.0;11.0;
100;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 6 jaar na startjaar;Deelnemers in mbo op peilmoment;;1780.0;16.0;721.0;831.0;212.0;;14.0;0.0;6.0;7.0;2.0;
101;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 6 jaar na startjaar;Deelnemers uit mbo op peilmoment;;16332.0;148.0;2326.0;3020.0;10838.0;;18.0;0.0;3.0;3.0;12.0;
102;Totaal deelnemers startjaar;Totaal deelnemers startjaar;2010;04 Recht, administratie, handel en za...;Studievoortgang 7 jaar na startjaar;Totaal deelnemers startjaar;;18443.0;164.0;2875.0;3820.0;11584.0;;18.0;0.0;3.0;4.0;11.0;
