ID;Geslacht;Niveau;Leerweg;Studierichting;Migratieachtergrond;Perioden;MboStudenten_1
0;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Totaal;2015/'16;484141
1;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Totaal;2016/'17;491886
2;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Totaal;2017/'18;496259
3;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Totaal;2018/'19;506570
4;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Totaal;2019/'20;512280
5;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Totaal;2020/'21;518936
6;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Totaal;2021/'22;513136
7;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederlandse achtergrond;2015/'16;355838
8;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederlandse achtergrond;2016/'17;361378
9;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederlandse achtergrond;2017/'18;362158
10;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederlandse achtergrond;2018/'19;365399
11;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederlandse achtergrond;2019/'20;365843
12;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederlandse achtergrond;2020/'21;365894
13;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederlandse achtergrond;2021/'22;358596
14;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Met migratieachtergrond;2015/'16;127746
15;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Met migratieachtergrond;2016/'17;130110
16;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Met migratieachtergrond;2017/'18;133739
17;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Met migratieachtergrond;2018/'19;140936
18;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Met migratieachtergrond;2019/'20;146196
19;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Met migratieachtergrond;2020/'21;152832
20;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Met migratieachtergrond;2021/'22;154369
21;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Westerse migratieachtergrond;2015/'16;28478
22;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Westerse migratieachtergrond;2016/'17;28644
23;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Westerse migratieachtergrond;2017/'18;28744
24;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Westerse migratieachtergrond;2018/'19;29176
