ID;IncomeTreshold;CaribbeanNetherlands;Period;Households_1;HouseholdsRelative_2;Persons_3;PersonsRelative_4;Children_5;ChildrenRelative_6
0;Total;Caribbean Netherlands;2018;10200;;23700;;5100;
1;Total;Caribbean Netherlands;2019;10500;;24200;;5150;
2;Total;Bonaire;2018;8150;;19200;;4050;
3;Total;Bonaire;2019;8450;;19700;;4100;
4;Total;St. Eustatius;2018;1300;;2900;;700;
5;Total;St. Eustatius;2019;1350;;2900;;700;
6;Total;Saba;2018;750;;1600;;350;
7;Total;Saba;2019;750;;1600;;350;
8;Classified;Caribbean Netherlands;2018;9600;100.0;20500;100.0;4450;100.0
9;Classified;Caribbean Netherlands;2019;9900;100.0;20950;100.0;4500;100.0
10;Classified;Bonaire;2018;7650;100.0;16450;100.0;3500;100.0
11;Classified;Bonaire;2019;7900;100.0;16900;100.0;3600;100.0
12;Classified;St. Eustatius;2018;1250;100.0;2550;100.0;650;100.0
13;Classified;St. Eustatius;2019;1250;100.0;2600;100.0;650;100.0
14;Classified;Saba;2018;700;100.0;1450;100.0;300;100.0
15;Classified;Saba;2019;750;100.0;1450;100.0;300;100.0
16;Income up to 75% benchmark soc. minimum;Caribbean Netherlands;2018;1750;18.0;3300;16.0;800;19.0
17;Income up to 75% benchmark soc. minimum;Caribbean Netherlands;2019;1850;19.0;3450;17.0;850;19.0
18;Income up to 75% benchmark soc. minimum;Bonaire;2018;1400;19.0;2600;16.0;650;18.0
19;Income up to 75% benchmark soc. minimum;Bonaire;2019;1450;18.0;2700;16.0;650;18.0
20;Income up to 75% benchmark soc. minimum;St. Eustatius;2018;250;20.0;500;19.0;150;23.0
21;Income up to 75% benchmark soc. minimum;St. Eustatius;2019;300;22.0;550;22.0;200;29.0
22;Income up to 75% benchmark soc. minimum;Saba;2018;100;15.0;200;14.0;50;16.0
23;Income up to 75% benchmark soc. minimum;Saba;2019;100;15.0;200;13.0;50;12.0
24;Income up to 90% benchmark soc. minimum;Caribbean Netherlands;2018;2250;23.0;4350;21.0;1100;25.0
25;Income up to 90% benchmark soc. minimum;Caribbean Netherlands;2019;2400;24.0;4650;22.0;1150;26.0
26;Income up to 90% benchmark soc. minimum;Bonaire;2018;1750;23.0;3400;21.0;850;24.0
27;Income up to 90% benchmark soc. minimum;Bonaire;2019;1850;24.0;3600;21.0;900;24.0
28;Income up to 90% benchmark soc. minimum;St. Eustatius;2018;350;28.0;650;26.0;200;32.0
29;Income up to 90% benchmark soc. minimum;St. Eustatius;2019;350;29.0;750;29.0;250;37.0
30;Income up to 90% benchmark soc. minimum;Saba;2018;150;21.0;300;19.0;50;21.0
31;Income up to 90% benchmark soc. minimum;Saba;2019;150;21.0;250;19.0;50;22.0
32;Income up to 100% benchmark soc. minimum;Caribbean Netherlands;2018;2600;27.0;5100;25.0;1250;29.0
33;Income up to 100% benchmark soc. minimum;Caribbean Netherlands;2019;2800;28.0;5500;26.0;1400;31.0
34;Income up to 100% benchmark soc. minimum;Bonaire;2018;2050;27.0;4000;24.0;950;28.0
35;Income up to 100% benchmark soc. minimum;Bonaire;2019;2150;27.0;4300;25.0;1050;29.0
36;Income up to 100% benchmark soc. minimum;St. Eustatius;2018;400;31.0;750;30.0;250;37.0
37;Income up to 100% benchmark soc. minimum;St. Eustatius;2019;450;34.0;850;33.0;250;41.0
38;Income up to 100% benchmark soc. minimum;Saba;2018;200;26.0;350;23.0;50;24.0
39;Income up to 100% benchmark soc. minimum;Saba;2019;200;28.0;350;24.0;100;28.0
40;Income up to 110% benchmark soc. minimum;Caribbean Netherlands;2018;3000;31.0;5950;29.0;1500;33.0
41;Income up to 110% benchmark soc. minimum;Caribbean Netherlands;2019;3200;32.0;6400;31.0;1600;36.0
42;Income up to 110% benchmark soc. minimum;Bonaire;2018;2350;30.0;4700;28.0;1150;32.0
43;Income up to 110% benchmark soc. minimum;Bonaire;2019;2500;32.0;5050;30.0;1250;34.0
44;Income up to 110% benchmark soc. minimum;St. Eustatius;2018;450;35.0;850;33.0;250;40.0
45;Income up to 110% benchmark soc. minimum;St. Eustatius;2019;450;37.0;950;36.0;300;44.0
46;Income up to 110% benchmark soc. minimum;Saba;2018;200;31.0;400;28.0;100;31.0
47;Income up to 110% benchmark soc. minimum;Saba;2019;250;32.0;400;27.0;100;31.0
48;Income up to 125% benchmark soc. minimum;Caribbean Netherlands;2018;3600;38.0;7250;35.0;1800;40.0
49;Income up to 125% benchmark soc. minimum;Caribbean Netherlands;2019;3850;39.0;7750;37.0;1900;42.0
50;Income up to 125% benchmark soc. minimum;Bonaire;2018;2850;37.0;5700;35.0;1350;39.0
51;Income up to 125% benchmark soc. minimum;Bonaire;2019;3050;39.0;6150;36.0;1450;41.0
52;Income up to 125% benchmark soc. minimum;St. Eustatius;2018;500;41.0;1000;39.0;300;47.0
53;Income up to 125% benchmark soc. minimum;St. Eustatius;2019;550;43.0;1100;42.0;350;53.0
54;Income up to 125% benchmark soc. minimum;Saba;2018;250;38.0;550;37.0;150;43.0
55;Income up to 125% benchmark soc. minimum;Saba;2019;250;37.0;500;33.0;100;38.0
56;Not classified;Caribbean Netherlands;2018;600;;3250;;650;
57;Not classified;Caribbean Netherlands;2019;600;;3250;;600;
58;Not classified;Bonaire;2018;500;;2700;;550;
59;Not classified;Bonaire;2019;550;;2800;;500;
60;Not classified;St. Eustatius;2018;50;;350;;100;
61;Not classified;St. Eustatius;2019;50;;300;;50;
62;Not classified;Saba;2018;50;;150;;50;
63;Not classified;Saba;2019;50;;200;;50;
