ID;Geslacht;Migratieachtergrond;Generatie;Perioden;TotaalHuwendenMetMigratieachtergrond_1;MetPartnerMetNederlandseAchtergrond_2;TotaalPartnerMetMigratieachtergrond_3;TotaalGelijkeMigratieachtergrond_4;GeenMigratiehuwelijk_5;WelMigratiehuwelijk_6;PartnerMetAndereMigratieachtergrond_7
0;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2001;28730;12540;16190;11950;6080;5870;4240
1;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2002;30900;13360;17550;12940;6720;6220;4610
2;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2003;28710;12970;15740;11460;6280;5180;4280
3;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2004;25740;12280;13460;9660;5700;3960;3800
4;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2005;26120;12260;13850;9690;6570;3110;4170
5;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2006;26300;12310;13990;9900;7100;2790;4090
6;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2007;26700;12350;14350;10110;7870;2240;4240
7;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2008;28390;12850;15540;11180;8810;2370;4360
8;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2009;29990;12510;17480;12400;9620;2780;5080
9;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2010;32560;12660;19900;14310;9870;4440;5590
10;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2011;31940;12220;19720;13990;10190;3800;5730
11;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2012;31460;12040;19420;13680;9950;3730;5740
12;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2013;30580;10940;19640;13860;9940;3920;5780
13;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2014;31920;11360;20560;14720;11130;3590;5840
14;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2015;31210;11200;20010;14070;10730;3340;5940
15;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2016;31980;11210;20770;14580;11120;3460;6190
16;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2017;32650;11200;21450;15200;11700;3500;6240
17;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2018;33950;11360;22590;15560;11800;3760;7040
18;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2019;35690;11240;24450;16980;12610;4370;7470
19;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2020;29970;9220;20750;14060;11070;2980;6690
20;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2021;34860;10440;24420;16720;13210;3500;7700
21;Mannen en vrouwen;Totaal;Totaal eerste en tweede generatie;2022;40070;12960;27110;18040;13590;4440;9070
22;Mannen en vrouwen;Totaal;Eerste generatie;2001;17010;5460;11550;8900;4420;4480;2650
23;Mannen en vrouwen;Totaal;Eerste generatie;2002;18160;5880;12280;9410;4770;4640;2870
24;Mannen en vrouwen;Totaal;Eerste generatie;2003;16880;5920;10970;8330;4360;3970;2640
25;Mannen en vrouwen;Totaal;Eerste generatie;2004;14740;5590;9150;6850;3950;2900;2300
26;Mannen en vrouwen;Totaal;Eerste generatie;2005;15240;5830;9410;6850;4420;2430;2570
27;Mannen en vrouwen;Totaal;Eerste generatie;2006;15030;5860;9170;6700;4420;2280;2480
28;Mannen en vrouwen;Totaal;Eerste generatie;2007;14440;5720;8720;6290;4560;1740;2430
29;Mannen en vrouwen;Totaal;Eerste generatie;2008;15120;5660;9460;6950;5070;1880;2510
30;Mannen en vrouwen;Totaal;Eerste generatie;2009;16540;5780;10760;7710;5570;2150;3040
31;Mannen en vrouwen;Totaal;Eerste generatie;2010;18140;5790;12360;9000;5600;3400;3360
32;Mannen en vrouwen;Totaal;Eerste generatie;2011;17890;5720;12170;8660;5790;2870;3500
33;Mannen en vrouwen;Totaal;Eerste generatie;2012;17290;5560;11730;8320;5540;2780;3410
34;Mannen en vrouwen;Totaal;Eerste generatie;2013;16900;5070;11830;8350;5370;2980;3480
35;Mannen en vrouwen;Totaal;Eerste generatie;2014;17720;5280;12440;8930;6100;2830;3510
36;Mannen en vrouwen;Totaal;Eerste generatie;2015;16630;5110;11520;8040;5530;2510;3470
37;Mannen en vrouwen;Totaal;Eerste generatie;2016;16990;5140;11840;8290;5680;2620;3550
38;Mannen en vrouwen;Totaal;Eerste generatie;2017;17600;5240;12360;8730;6110;2620;3630
39;Mannen en vrouwen;Totaal;Eerste generatie;2018;18490;5420;13070;8970;6100;2870;4100
40;Mannen en vrouwen;Totaal;Eerste generatie;2019;19980;5400;14580;10060;6740;3320;4520
41;Mannen en vrouwen;Totaal;Eerste generatie;2020;16160;4580;11580;7680;5510;2170;3900
42;Mannen en vrouwen;Totaal;Eerste generatie;2021;18850;5170;13670;9170;6560;2600;4510
43;Mannen en vrouwen;Totaal;Eerste generatie;2022;22120;6270;15840;10480;7090;3390;5360
44;Mannen en vrouwen;Totaal;Tweede generatie;2001;11720;7080;4640;3050;1660;1390;1590
45;Mannen en vrouwen;Totaal;Tweede generatie;2002;12740;7470;5270;3540;1950;1590;1730
46;Mannen en vrouwen;Totaal;Tweede generatie;2003;11820;7060;4770;3130;1920;1220;1630
47;Mannen en vrouwen;Totaal;Tweede generatie;2004;11000;6690;4310;2810;1750;1060;1490
48;Mannen en vrouwen;Totaal;Tweede generatie;2005;10870;6430;4440;2840;2160;690;1600
49;Mannen en vrouwen;Totaal;Tweede generatie;2006;11270;6450;4820;3200;2680;520;1620
50;Mannen en vrouwen;Totaal;Tweede generatie;2007;12270;6630;5630;3820;3310;500;1810
51;Mannen en vrouwen;Totaal;Tweede generatie;2008;13280;7200;6080;4230;3750;480;1850
52;Mannen en vrouwen;Totaal;Tweede generatie;2009;13450;6730;6720;4690;4050;630;2040
53;Mannen en vrouwen;Totaal;Tweede generatie;2010;14420;6880;7540;5310;4280;1040;2230
54;Mannen en vrouwen;Totaal;Tweede generatie;2011;14050;6500;7550;5330;4400;920;2230
55;Mannen en vrouwen;Totaal;Tweede generatie;2012;14170;6480;7690;5370;4420;950;2320
