ID;LeeftijdMoederOp31December;Geboortegeneratie;WaarnemingEnPrognoseTotaal_1;k_1eKind_2;k_2eKind_3;k_3eKind_4;k_4eOfVolgendeKind_5
0;Totaal alle leeftijden;1935;2.49886;0.88315;0.78088;0.45633;0.3785
1;Totaal alle leeftijden;1936;2.43154;0.88108;0.78079;0.4345;0.33517
2;Totaal alle leeftijden;1937;2.40692;0.89766;0.78916;0.4245;0.2956
3;Totaal alle leeftijden;1938;2.31703;0.87908;0.77775;0.40029;0.25991
4;Totaal alle leeftijden;1939;2.26666;0.884;0.78078;0.38005;0.22183
5;Totaal alle leeftijden;1940;2.21382;0.88123;0.78044;0.3564;0.19575
6;Totaal alle leeftijden;1941;2.18308;0.9;0.77906;0.33615;0.16787
7;Totaal alle leeftijden;1942;2.12353;0.88881;0.76159;0.31381;0.15932
8;Totaal alle leeftijden;1943;2.08089;0.89658;0.76092;0.28776;0.13563
9;Totaal alle leeftijden;1944;2.04654;0.89487;0.7592;0.27119;0.12128
10;Totaal alle leeftijden;1945;1.99651;0.88313;0.74664;0.25081;0.11593
11;Totaal alle leeftijden;1946;1.94643;0.88313;0.73633;0.23027;0.0967
12;Totaal alle leeftijden;1947;1.91854;0.87203;0.72792;0.22357;0.09502
13;Totaal alle leeftijden;1948;1.91693;0.87214;0.72104;0.22396;0.09979
14;Totaal alle leeftijden;1949;1.88988;0.86079;0.70936;0.22181;0.09792
15;Totaal alle leeftijden;1950;1.9006;0.85423;0.70269;0.2306;0.11308
16;Totaal alle leeftijden;1951;1.87468;0.84665;0.69504;0.22953;0.10346
17;Totaal alle leeftijden;1952;1.87533;0.84149;0.68886;0.23447;0.11051
18;Totaal alle leeftijden;1953;1.86957;0.83662;0.68306;0.23796;0.11193
19;Totaal alle leeftijden;1954;1.87644;0.83525;0.6818;0.24578;0.11362
20;Totaal alle leeftijden;1955;1.86746;0.82909;0.67752;0.24883;0.11202
21;Totaal alle leeftijden;1956;1.87421;0.83054;0.67845;0.25382;0.11141
22;Totaal alle leeftijden;1957;1.87067;0.82789;0.67795;0.25592;0.1089
23;Totaal alle leeftijden;1958;1.86572;0.82356;0.67525;0.25638;0.11054
24;Totaal alle leeftijden;1959;1.8527;0.82293;0.67107;0.25208;0.10662
25;Totaal alle leeftijden;1960;1.86297;0.82758;0.67123;0.25441;0.10976
26;Totaal alle leeftijden;1961;1.83045;0.81985;0.66463;0.24473;0.10123
27;Totaal alle leeftijden;1962;1.83094;0.82318;0.66529;0.24222;0.10025
28;Totaal alle leeftijden;1963;1.8086;0.82025;0.65789;0.2344;0.09607
29;Totaal alle leeftijden;1964;1.79401;0.81758;0.65178;0.22983;0.09482
30;Totaal alle leeftijden;1965;1.7847;0.81876;0.64866;0.22595;0.09133
31;Totaal alle leeftijden;1966;1.77701;0.8187;0.64719;0.22296;0.08816
32;Totaal alle leeftijden;1967;1.7696;0.81904;0.64655;0.21782;0.08618
33;Totaal alle leeftijden;1968;1.76794;0.82385;0.64184;0.21526;0.08699
34;Totaal alle leeftijden;1969;1.75551;0.8237;0.6386;0.21192;0.08129
35;Totaal alle leeftijden;1970;1.75724;0.82419;0.63828;0.21293;0.08184
36;Totaal alle leeftijden;1971;1.75545;0.82422;0.63712;0.21244;0.08167
37;Totaal alle leeftijden;1972;1.75947;0.82413;0.63655;0.21614;0.08265
38;Totaal alle leeftijden;1973;1.76154;0.82407;0.64002;0.21577;0.08168
39;Totaal alle leeftijden;1974;1.76468;0.82398;0.64119;0.21786;0.08165
40;Totaal alle leeftijden;1975;1.76601;0.82388;0.64293;0.2176;0.0816
41;Totaal alle leeftijden;1976;1.76548;0.82375;0.64262;0.21756;0.08154
42;Totaal alle leeftijden;1977;1.76446;0.82362;0.6419;0.21746;0.08148
43;Totaal alle leeftijden;1978;1.76334;0.82346;0.64103;0.2173;0.08156
44;Totaal alle leeftijden;1979;1.76214;0.82329;0.6403;0.21708;0.08147
45;Totaal alle leeftijden;1980;1.76131;0.82311;0.64;0.21681;0.0814
46;Totaal alle leeftijden;1981;1.76072;0.82292;0.64;0.21649;0.08131
47;Totaal alle leeftijden;1982;1.76008;0.82272;0.64;0.21614;0.08122
48;Totaal alle leeftijden;1983;1.75937;0.82251;0.64;0.21576;0.0811
49;Totaal alle leeftijden;1984;1.7587;0.82231;0.64;0.21535;0.08104
50;Totaal alle leeftijden;1985;1.7579;0.8221;0.64;0.21489;0.08092
51;Totaal alle leeftijden;1986;1.75722;0.82189;0.64;0.21448;0.08085
52;Totaal alle leeftijden;1987;1.75644;0.82168;0.64;0.21401;0.08076
53;Totaal alle leeftijden;1988;1.7557;0.82148;0.64;0.21356;0.08066
54;Totaal alle leeftijden;1989;1.75497;0.82128;0.64;0.21312;0.08057
55;Totaal alle leeftijden;1990;1.75421;0.82109;0.64;0.21267;0.08045
56;Totaal alle leeftijden;1991;1.75356;0.82091;0.64;0.21225;0.08041
57;Totaal alle leeftijden;1992;1.75287;0.82074;0.64;0.21181;0.08033
58;Totaal alle leeftijden;1993;1.75229;0.82058;0.64;0.21145;0.08026
59;Totaal alle leeftijden;1994;1.75173;0.82044;0.64;0.2111;0.0802
60;Totaal alle leeftijden;1995;1.75124;0.82031;0.64;0.21079;0.08014
61;Totaal alle leeftijden;1996;1.75082;0.8202;0.64;0.21052;0.08009
62;Totaal alle leeftijden;1997;1.75047;0.82012;0.64;0.2103;0.08005
63;Totaal alle leeftijden;1998;1.75022;0.82005;0.64;0.21014;0.08002
64;Totaal alle leeftijden;1999;1.75005;0.82001;0.64;0.21003;0.08001
65;Totaal alle leeftijden;2000;1.75;0.82;0.64;0.21;0.08
66;Totaal alle leeftijden;2001;1.75;0.82;0.64;0.21;0.08
67;Totaal alle leeftijden;2002;1.75;0.82;0.64;0.21;0.08
68;Totaal alle leeftijden;2003;1.75;0.82;0.64;0.21;0.08
69;Totaal alle leeftijden;2004;1.75;0.82;0.64;0.21;0.08
70;Totaal alle leeftijden;2005;1.75;0.82;0.64;0.21;0.08
71;Totaal alle leeftijden;2006;1.75;0.82;0.64;0.21;0.08
72;Totaal alle leeftijden;2007;1.75;0.82;0.64;0.21;0.08
73;Totaal alle leeftijden;2008;1.75;0.82;0.64;0.21;0.08
74;Totaal alle leeftijden;2009;1.75;0.82;0.64;0.21;0.08
75;Totaal alle leeftijden;2010;1.75;0.82;0.64;0.21;0.08
76;Totaal alle leeftijden;2011;1.75;0.82;0.64;0.21;0.08
77;Totaal alle leeftijden;2012;1.75;0.82;0.64;0.21;0.08
78;Totaal alle leeftijden;2013;1.75;0.82;0.64;0.21;0.08
79;Totaal alle leeftijden;2014;1.75;0.82;0.64;0.21;0.08
80;Totaal alle leeftijden;2015;1.75;0.82;0.64;0.21;0.08
81;Totaal alle leeftijden;2016;1.75;0.82;0.64;0.21;0.08
82;Totaal alle leeftijden;2017;1.75;0.82;0.64;0.21;0.08
83;Totaal alle leeftijden;2018;1.75;0.82;0.64;0.21;0.08
84;Totaal alle leeftijden;2019;1.75;0.82;0.64;0.21;0.08
85;Totaal alle leeftijden;2020;1.75;0.82;0.64;0.21;0.08
86;15 jaar of jonger;1935;0.00027;0.00027;0.0;0.0;0.0
87;15 jaar of jonger;1936;0.00032;0.00032;0.0;0.0;0.0
88;15 jaar of jonger;1937;0.00024;0.00024;0.0;0.0;0.0
89;15 jaar of jonger;1938;0.00029;0.00029;0.0;0.0;0.0
90;15 jaar of jonger;1939;0.00029;0.00029;0.0;0.0;0.0
91;15 jaar of jonger;1940;0.00028;0.00028;0.0;0.0;0.0
92;15 jaar of jonger;1941;0.0003;0.0003;0.0;0.0;0.0
93;15 jaar of jonger;1942;0.00054;0.00054;0.0;0.0;0.0
94;15 jaar of jonger;1943;0.00053;0.00053;0.0;0.0;0.0
95;15 jaar of jonger;1944;0.0005;0.0005;0.0;0.0;0.0
96;15 jaar of jonger;1945;0.00054;0.00054;0.0;0.0;0.0
97;15 jaar of jonger;1946;0.00061;0.00061;0.0;0.0;0.0
98;15 jaar of jonger;1947;0.00054;0.00054;0.0;0.0;0.0
99;15 jaar of jonger;1948;0.00052;0.00052;0.0;0.0;0.0
100;15 jaar of jonger;1949;0.00069;0.00069;0.0;0.0;0.0
101;15 jaar of jonger;1950;0.00054;0.00054;0.0;0.0;0.0
102;15 jaar of jonger;1951;0.00074;0.00074;0.0;0.0;0.0
103;15 jaar of jonger;1952;0.00076;0.00076;0.0;0.0;0.0
104;15 jaar of jonger;1953;0.00078;0.00078;0.0;0.0;0.0
105;15 jaar of jonger;1954;0.00087;0.00087;0.0;0.0;0.0
106;15 jaar of jonger;1955;0.0008;0.0008;0.0;0.0;0.0
107;15 jaar of jonger;1956;0.00088;0.00087;1e-05;0.0;0.0
108;15 jaar of jonger;1957;0.00083;0.00083;0.0;0.0;0.0
109;15 jaar of jonger;1958;0.00058;0.00058;0.0;0.0;0.0
110;15 jaar of jonger;1959;0.00058;0.00055;3e-05;0.0;0.0
111;15 jaar of jonger;1960;0.0005;0.00049;1e-05;0.0;0.0
112;15 jaar of jonger;1961;0.00045;0.00045;0.0;0.0;0.0
113;15 jaar of jonger;1962;0.00043;0.00043;0.0;0.0;0.0
114;15 jaar of jonger;1963;0.00046;0.00046;0.0;0.0;0.0
115;15 jaar of jonger;1964;0.00046;0.00045;1e-05;0.0;0.0
116;15 jaar of jonger;1965;0.00044;0.00044;0.0;0.0;0.0
117;15 jaar of jonger;1966;0.00035;0.00035;0.0;0.0;0.0
118;15 jaar of jonger;1967;0.0005;0.0005;0.0;0.0;0.0
119;15 jaar of jonger;1968;0.00037;0.00037;0.0;0.0;0.0
120;15 jaar of jonger;1969;0.0003;0.0003;0.0;0.0;0.0
121;15 jaar of jonger;1970;0.00034;0.00033;1e-05;0.0;0.0
122;15 jaar of jonger;1971;0.00043;0.00043;0.0;0.0;0.0
123;15 jaar of jonger;1972;0.00041;0.00041;0.0;0.0;0.0
124;15 jaar of jonger;1973;0.00037;0.00036;1e-05;0.0;0.0
125;15 jaar of jonger;1974;0.00041;0.00041;0.0;0.0;0.0
126;15 jaar of jonger;1975;0.00041;0.00041;0.0;0.0;0.0
127;15 jaar of jonger;1976;0.00048;0.00045;2e-05;0.0;1e-05
128;15 jaar of jonger;1977;0.00051;0.0005;1e-05;0.0;0.0
129;15 jaar of jonger;1978;0.00046;0.00046;0.0;0.0;0.0
130;15 jaar of jonger;1979;0.00039;0.00037;2e-05;0.0;0.0
131;15 jaar of jonger;1980;0.00034;0.00034;0.0;0.0;0.0
132;15 jaar of jonger;1981;0.00039;0.00039;0.0;0.0;0.0
133;15 jaar of jonger;1982;0.00044;0.00044;0.0;0.0;0.0
134;15 jaar of jonger;1983;0.00042;0.00041;1e-05;0.0;0.0
135;15 jaar of jonger;1984;0.0004;0.0004;0.0;0.0;0.0
136;15 jaar of jonger;1985;0.00053;0.00051;2e-05;0.0;0.0
137;15 jaar of jonger;1986;0.00052;0.00052;0.0;0.0;0.0
138;15 jaar of jonger;1987;0.00048;0.00047;1e-05;0.0;0.0
139;15 jaar of jonger;1988;0.00042;0.00042;0.0;0.0;0.0
140;15 jaar of jonger;1989;0.00029;0.00029;0.0;0.0;0.0
141;15 jaar of jonger;1990;0.00035;0.00034;1e-05;0.0;0.0
142;15 jaar of jonger;1991;0.00028;0.00028;0.0;0.0;0.0
143;15 jaar of jonger;1992;0.00032;0.00032;0.0;0.0;0.0
144;15 jaar of jonger;1993;0.00035;0.00035;0.0;0.0;0.0
145;15 jaar of jonger;1994;0.00041;0.00041;0.0;0.0;0.0
146;15 jaar of jonger;1995;0.00025;0.00025;0.0;0.0;0.0
147;15 jaar of jonger;1996;0.00032;0.00032;0.0;0.0;0.0
148;15 jaar of jonger;1997;0.00034;0.00034;0.0;0.0;0.0
149;15 jaar of jonger;1998;0.00027;0.00027;0.0;0.0;0.0
150;15 jaar of jonger;1999;0.00032;0.00032;0.0;0.0;0.0
151;15 jaar of jonger;2000;0.0003;0.0003;0.0;0.0;0.0
152;15 jaar of jonger;2001;0.00032;0.00032;0.0;0.0;0.0
153;15 jaar of jonger;2002;0.00032;0.00032;0.0;0.0;0.0
154;15 jaar of jonger;2003;0.00031;0.00031;0.0;0.0;0.0
155;15 jaar of jonger;2004;0.00031;0.00031;0.0;0.0;0.0
156;15 jaar of jonger;2005;0.00031;0.00031;0.0;0.0;0.0
157;15 jaar of jonger;2006;0.00031;0.00031;0.0;0.0;0.0
158;15 jaar of jonger;2007;0.00031;0.00031;0.0;0.0;0.0
159;15 jaar of jonger;2008;0.00031;0.00031;0.0;0.0;0.0
