ID;EarningGroups;SectorBranchesSIC2008;CarribeanNetherlands;Periods;JobsOfEmployees_1;AverageAnnualWage_2
48;Total all earninggroups;A-U All economic activities;Unclassifiable;2011;20.0;31840.0
49;Total all earninggroups;A-U All economic activities;Unclassifiable;2012;10.0;34560.0
50;Total all earninggroups;A-U All economic activities;Unclassifiable;2013;;
51;Total all earninggroups;A-U All economic activities;Unclassifiable;2014;10.0;33100.0
52;Total all earninggroups;A-U All economic activities;Unclassifiable;2015;;
53;Total all earninggroups;A-U All economic activities;Unclassifiable;2016;;
54;Total all earninggroups;A-U All economic activities;Unclassifiable;2017;;
55;Total all earninggroups;A-U All economic activities;Unclassifiable;2018;;
56;Total all earninggroups;A-U All economic activities;Unclassifiable;2019;;
57;Total all earninggroups;A-U All economic activities;Unclassifiable;2020;;
58;Total all earninggroups;A-U All economic activities;Unclassifiable;2021;;
59;Total all earninggroups;A-U All economic activities;Unclassifiable;2022;;
60;Total all earninggroups;A Agriculture, forestry and fishing;Caribbean Netherlands;2011;30.0;11330.0
61;Total all earninggroups;A Agriculture, forestry and fishing;Caribbean Netherlands;2012;20.0;10480.0
62;Total all earninggroups;A Agriculture, forestry and fishing;Caribbean Netherlands;2013;20.0;12240.0
63;Total all earninggroups;A Agriculture, forestry and fishing;Caribbean Netherlands;2014;30.0;12070.0
64;Total all earninggroups;A Agriculture, forestry and fishing;Caribbean Netherlands;2015;40.0;12680.0
65;Total all earninggroups;A Agriculture, forestry and fishing;Caribbean Netherlands;2016;40.0;14310.0
66;Total all earninggroups;A Agriculture, forestry and fishing;Caribbean Netherlands;2017;40.0;10180.0
67;Total all earninggroups;A Agriculture, forestry and fishing;Caribbean Netherlands;2018;20.0;14630.0
68;Total all earninggroups;A Agriculture, forestry and fishing;Caribbean Netherlands;2019;20.0;18800.0
69;Total all earninggroups;A Agriculture, forestry and fishing;Caribbean Netherlands;2020;20.0;14870.0
70;Total all earninggroups;A Agriculture, forestry and fishing;Caribbean Netherlands;2021;20.0;17250.0
71;Total all earninggroups;A Agriculture, forestry and fishing;Caribbean Netherlands;2022;30.0;20130.0
72;Total all earninggroups;A Agriculture, forestry and fishing;Bonaire;2011;20.0;11810.0
73;Total all earninggroups;A Agriculture, forestry and fishing;Bonaire;2012;20.0;9950.0
74;Total all earninggroups;A Agriculture, forestry and fishing;Bonaire;2013;20.0;12290.0
75;Total all earninggroups;A Agriculture, forestry and fishing;Bonaire;2014;20.0;12020.0
76;Total all earninggroups;A Agriculture, forestry and fishing;Bonaire;2015;30.0;12930.0
77;Total all earninggroups;A Agriculture, forestry and fishing;Bonaire;2016;40.0;14160.0
78;Total all earninggroups;A Agriculture, forestry and fishing;Bonaire;2017;40.0;9410.0
79;Total all earninggroups;A Agriculture, forestry and fishing;Bonaire;2018;10.0;18720.0
80;Total all earninggroups;A Agriculture, forestry and fishing;Bonaire;2019;10.0;18210.0
81;Total all earninggroups;A Agriculture, forestry and fishing;Bonaire;2020;10.0;15350.0
82;Total all earninggroups;A Agriculture, forestry and fishing;Bonaire;2021;10.0;18020.0
83;Total all earninggroups;A Agriculture, forestry and fishing;Bonaire;2022;20.0;21410.0
84;Total all earninggroups;A Agriculture, forestry and fishing;St. Eustatius;2011;;
85;Total all earninggroups;A Agriculture, forestry and fishing;St. Eustatius;2012;;
86;Total all earninggroups;A Agriculture, forestry and fishing;St. Eustatius;2013;;
87;Total all earninggroups;A Agriculture, forestry and fishing;St. Eustatius;2014;;
88;Total all earninggroups;A Agriculture, forestry and fishing;St. Eustatius;2015;;
89;Total all earninggroups;A Agriculture, forestry and fishing;St. Eustatius;2016;;
90;Total all earninggroups;A Agriculture, forestry and fishing;St. Eustatius;2017;;
91;Total all earninggroups;A Agriculture, forestry and fishing;St. Eustatius;2018;10.0;8530.0
92;Total all earninggroups;A Agriculture, forestry and fishing;St. Eustatius;2019;;
93;Total all earninggroups;A Agriculture, forestry and fishing;St. Eustatius;2020;;
94;Total all earninggroups;A Agriculture, forestry and fishing;St. Eustatius;2021;;
95;Total all earninggroups;A Agriculture, forestry and fishing;St. Eustatius;2022;;
96;Total all earninggroups;A Agriculture, forestry and fishing;Saba;2011;;
97;Total all earninggroups;A Agriculture, forestry and fishing;Saba;2012;;
98;Total all earninggroups;A Agriculture, forestry and fishing;Saba;2013;;
99;Total all earninggroups;A Agriculture, forestry and fishing;Saba;2014;10.0;12280.0
100;Total all earninggroups;A Agriculture, forestry and fishing;Saba;2015;10.0;11140.0
101;Total all earninggroups;A Agriculture, forestry and fishing;Saba;2016;10.0;15220.0
102;Total all earninggroups;A Agriculture, forestry and fishing;Saba;2017;;
103;Total all earninggroups;A Agriculture, forestry and fishing;Saba;2018;;
104;Total all earninggroups;A Agriculture, forestry and fishing;Saba;2019;;
105;Total all earninggroups;A Agriculture, forestry and fishing;Saba;2020;;
106;Total all earninggroups;A Agriculture, forestry and fishing;Saba;2021;;
107;Total all earninggroups;A Agriculture, forestry and fishing;Saba;2022;;
108;Total all earninggroups;A Agriculture, forestry and fishing;Unclassifiable;2011;;
109;Total all earninggroups;A Agriculture, forestry and fishing;Unclassifiable;2012;;
110;Total all earninggroups;A Agriculture, forestry and fishing;Unclassifiable;2013;;
111;Total all earninggroups;A Agriculture, forestry and fishing;Unclassifiable;2014;;
112;Total all earninggroups;A Agriculture, forestry and fishing;Unclassifiable;2015;;
113;Total all earninggroups;A Agriculture, forestry and fishing;Unclassifiable;2016;;
114;Total all earninggroups;A Agriculture, forestry and fishing;Unclassifiable;2017;;
115;Total all earninggroups;A Agriculture, forestry and fishing;Unclassifiable;2018;;
116;Total all earninggroups;A Agriculture, forestry and fishing;Unclassifiable;2019;;
117;Total all earninggroups;A Agriculture, forestry and fishing;Unclassifiable;2020;;
118;Total all earninggroups;A Agriculture, forestry and fishing;Unclassifiable;2021;;
119;Total all earninggroups;A Agriculture, forestry and fishing;Unclassifiable;2022;;
120;Total all earninggroups;B Mining and quarrying ;Caribbean Netherlands;2011;50.0;37370.0
121;Total all earninggroups;B Mining and quarrying ;Caribbean Netherlands;2012;30.0;70180.0
122;Total all earninggroups;B Mining and quarrying ;Caribbean Netherlands;2013;50.0;46040.0
123;Total all earninggroups;B Mining and quarrying ;Caribbean Netherlands;2014;50.0;47290.0
124;Total all earninggroups;B Mining and quarrying ;Caribbean Netherlands;2015;50.0;50240.0
125;Total all earninggroups;B Mining and quarrying ;Caribbean Netherlands;2016;50.0;49320.0
126;Total all earninggroups;B Mining and quarrying ;Caribbean Netherlands;2017;50.0;51020.0
127;Total all earninggroups;B Mining and quarrying ;Caribbean Netherlands;2018;50.0;49020.0
128;Total all earninggroups;B Mining and quarrying ;Caribbean Netherlands;2019;40.0;55310.0
129;Total all earninggroups;B Mining and quarrying ;Caribbean Netherlands;2020;;
130;Total all earninggroups;B Mining and quarrying ;Caribbean Netherlands;2021;;
131;Total all earninggroups;B Mining and quarrying ;Caribbean Netherlands;2022;;
132;Total all earninggroups;B Mining and quarrying ;Bonaire;2011;50.0;37370.0
133;Total all earninggroups;B Mining and quarrying ;Bonaire;2012;30.0;70180.0
134;Total all earninggroups;B Mining and quarrying ;Bonaire;2013;50.0;46040.0
135;Total all earninggroups;B Mining and quarrying ;Bonaire;2014;50.0;47290.0
136;Total all earninggroups;B Mining and quarrying ;Bonaire;2015;50.0;50240.0
137;Total all earninggroups;B Mining and quarrying ;Bonaire;2016;50.0;49320.0
138;Total all earninggroups;B Mining and quarrying ;Bonaire;2017;50.0;51020.0
139;Total all earninggroups;B Mining and quarrying ;Bonaire;2018;50.0;49020.0
140;Total all earninggroups;B Mining and quarrying ;Bonaire;2019;40.0;55310.0
141;Total all earninggroups;B Mining and quarrying ;Bonaire;2020;;
142;Total all earninggroups;B Mining and quarrying ;Bonaire;2021;;
143;Total all earninggroups;B Mining and quarrying ;Bonaire;2022;;
144;Total all earninggroups;B Mining and quarrying ;St. Eustatius;2011;;
145;Total all earninggroups;B Mining and quarrying ;St. Eustatius;2012;;
146;Total all earninggroups;B Mining and quarrying ;St. Eustatius;2013;;
147;Total all earninggroups;B Mining and quarrying ;St. Eustatius;2014;;
148;Total all earninggroups;B Mining and quarrying ;St. Eustatius;2015;;
149;Total all earninggroups;B Mining and quarrying ;St. Eustatius;2016;;
150;Total all earninggroups;B Mining and quarrying ;St. Eustatius;2017;;
151;Total all earninggroups;B Mining and quarrying ;St. Eustatius;2018;;
152;Total all earninggroups;B Mining and quarrying ;St. Eustatius;2019;;
153;Total all earninggroups;B Mining and quarrying ;St. Eustatius;2020;;
154;Total all earninggroups;B Mining and quarrying ;St. Eustatius;2021;;
155;Total all earninggroups;B Mining and quarrying ;St. Eustatius;2022;;
156;Total all earninggroups;B Mining and quarrying ;Saba;2011;;
157;Total all earninggroups;B Mining and quarrying ;Saba;2012;;
158;Total all earninggroups;B Mining and quarrying ;Saba;2013;;
159;Total all earninggroups;B Mining and quarrying ;Saba;2014;;
160;Total all earninggroups;B Mining and quarrying ;Saba;2015;;
161;Total all earninggroups;B Mining and quarrying ;Saba;2016;;
162;Total all earninggroups;B Mining and quarrying ;Saba;2017;;
163;Total all earninggroups;B Mining and quarrying ;Saba;2018;;
164;Total all earninggroups;B Mining and quarrying ;Saba;2019;;
165;Total all earninggroups;B Mining and quarrying ;Saba;2020;;
166;Total all earninggroups;B Mining and quarrying ;Saba;2021;;
167;Total all earninggroups;B Mining and quarrying ;Saba;2022;;
168;Total all earninggroups;B Mining and quarrying ;Unclassifiable;2011;;
169;Total all earninggroups;B Mining and quarrying ;Unclassifiable;2012;;
170;Total all earninggroups;B Mining and quarrying ;Unclassifiable;2013;;
171;Total all earninggroups;B Mining and quarrying ;Unclassifiable;2014;;
172;Total all earninggroups;B Mining and quarrying ;Unclassifiable;2015;;
173;Total all earninggroups;B Mining and quarrying ;Unclassifiable;2016;;
174;Total all earninggroups;B Mining and quarrying ;Unclassifiable;2017;;
175;Total all earninggroups;B Mining and quarrying ;Unclassifiable;2018;;
176;Total all earninggroups;B Mining and quarrying ;Unclassifiable;2019;;
177;Total all earninggroups;B Mining and quarrying ;Unclassifiable;2020;;
178;Total all earninggroups;B Mining and quarrying ;Unclassifiable;2021;;
179;Total all earninggroups;B Mining and quarrying ;Unclassifiable;2022;;
180;Total all earninggroups;C Manufacturing;Caribbean Netherlands;2011;360.0;24300.0
181;Total all earninggroups;C Manufacturing;Caribbean Netherlands;2012;320.0;25740.0
182;Total all earninggroups;C Manufacturing;Caribbean Netherlands;2013;410.0;26130.0
183;Total all earninggroups;C Manufacturing;Caribbean Netherlands;2014;510.0;24000.0
184;Total all earninggroups;C Manufacturing;Caribbean Netherlands;2015;440.0;27980.0
185;Total all earninggroups;C Manufacturing;Caribbean Netherlands;2016;500.0;26620.0
186;Total all earninggroups;C Manufacturing;Caribbean Netherlands;2017;330.0;25790.0
187;Total all earninggroups;C Manufacturing;Caribbean Netherlands;2018;300.0;16680.0
188;Total all earninggroups;C Manufacturing;Caribbean Netherlands;2019;260.0;18450.0
189;Total all earninggroups;C Manufacturing;Caribbean Netherlands;2020;250.0;18820.0
190;Total all earninggroups;C Manufacturing;Caribbean Netherlands;2021;270.0;18950.0
191;Total all earninggroups;C Manufacturing;Caribbean Netherlands;2022;310.0;19950.0
192;Total all earninggroups;C Manufacturing;Bonaire;2011;280.0;22770.0
193;Total all earninggroups;C Manufacturing;Bonaire;2012;260.0;25220.0
194;Total all earninggroups;C Manufacturing;Bonaire;2013;280.0;25560.0
195;Total all earninggroups;C Manufacturing;Bonaire;2014;410.0;22860.0
196;Total all earninggroups;C Manufacturing;Bonaire;2015;380.0;23310.0
197;Total all earninggroups;C Manufacturing;Bonaire;2016;420.0;23880.0
198;Total all earninggroups;C Manufacturing;Bonaire;2017;330.0;26080.0
199;Total all earninggroups;C Manufacturing;Bonaire;2018;270.0;16830.0
200;Total all earninggroups;C Manufacturing;Bonaire;2019;220.0;18940.0
201;Total all earninggroups;C Manufacturing;Bonaire;2020;210.0;19000.0
202;Total all earninggroups;C Manufacturing;Bonaire;2021;230.0;18950.0
203;Total all earninggroups;C Manufacturing;Bonaire;2022;270.0;20290.0
204;Total all earninggroups;C Manufacturing;St. Eustatius;2011;80.0;29770.0
205;Total all earninggroups;C Manufacturing;St. Eustatius;2012;60.0;28050.0
206;Total all earninggroups;C Manufacturing;St. Eustatius;2013;130.0;27360.0
207;Total all earninggroups;C Manufacturing;St. Eustatius;2014;100.0;29040.0
208;Total all earninggroups;C Manufacturing;St. Eustatius;2015;60.0;57300.0
209;Total all earninggroups;C Manufacturing;St. Eustatius;2016;70.0;42640.0
210;Total all earninggroups;C Manufacturing;St. Eustatius;2017;;
211;Total all earninggroups;C Manufacturing;St. Eustatius;2018;10.0;10490.0
212;Total all earninggroups;C Manufacturing;St. Eustatius;2019;20.0;12100.0
213;Total all earninggroups;C Manufacturing;St. Eustatius;2020;;
214;Total all earninggroups;C Manufacturing;St. Eustatius;2021;;
215;Total all earninggroups;C Manufacturing;St. Eustatius;2022;;
216;Total all earninggroups;C Manufacturing;Saba;2011;;
217;Total all earninggroups;C Manufacturing;Saba;2012;;
218;Total all earninggroups;C Manufacturing;Saba;2013;;
219;Total all earninggroups;C Manufacturing;Saba;2014;;
220;Total all earninggroups;C Manufacturing;Saba;2015;;
221;Total all earninggroups;C Manufacturing;Saba;2016;10.0;16360.0
222;Total all earninggroups;C Manufacturing;Saba;2017;;
223;Total all earninggroups;C Manufacturing;Saba;2018;20.0;16920.0
224;Total all earninggroups;C Manufacturing;Saba;2019;20.0;19380.0
225;Total all earninggroups;C Manufacturing;Saba;2020;;
226;Total all earninggroups;C Manufacturing;Saba;2021;;
227;Total all earninggroups;C Manufacturing;Saba;2022;;
228;Total all earninggroups;C Manufacturing;Unclassifiable;2011;;
229;Total all earninggroups;C Manufacturing;Unclassifiable;2012;;
230;Total all earninggroups;C Manufacturing;Unclassifiable;2013;;
231;Total all earninggroups;C Manufacturing;Unclassifiable;2014;;
232;Total all earninggroups;C Manufacturing;Unclassifiable;2015;;
233;Total all earninggroups;C Manufacturing;Unclassifiable;2016;;
234;Total all earninggroups;C Manufacturing;Unclassifiable;2017;;
235;Total all earninggroups;C Manufacturing;Unclassifiable;2018;;
236;Total all earninggroups;C Manufacturing;Unclassifiable;2019;;
237;Total all earninggroups;C Manufacturing;Unclassifiable;2020;;
238;Total all earninggroups;C Manufacturing;Unclassifiable;2021;;
239;Total all earninggroups;C Manufacturing;Unclassifiable;2022;;
240;Total all earninggroups;D-E Energy, water, waste treatment;Caribbean Netherlands;2011;130.0;38780.0
241;Total all earninggroups;D-E Energy, water, waste treatment;Caribbean Netherlands;2012;130.0;37960.0
242;Total all earninggroups;D-E Energy, water, waste treatment;Caribbean Netherlands;2013;150.0;39220.0
243;Total all earninggroups;D-E Energy, water, waste treatment;Caribbean Netherlands;2014;160.0;41620.0
244;Total all earninggroups;D-E Energy, water, waste treatment;Caribbean Netherlands;2015;200.0;41640.0
245;Total all earninggroups;D-E Energy, water, waste treatment;Caribbean Netherlands;2016;210.0;41030.0
246;Total all earninggroups;D-E Energy, water, waste treatment;Caribbean Netherlands;2017;210.0;44190.0
247;Total all earninggroups;D-E Energy, water, waste treatment;Caribbean Netherlands;2018;270.0;41030.0
248;Total all earninggroups;D-E Energy, water, waste treatment;Caribbean Netherlands;2019;270.0;43160.0
249;Total all earninggroups;D-E Energy, water, waste treatment;Caribbean Netherlands;2020;290.0;42730.0
250;Total all earninggroups;D-E Energy, water, waste treatment;Caribbean Netherlands;2021;320.0;41210.0
251;Total all earninggroups;D-E Energy, water, waste treatment;Caribbean Netherlands;2022;340.0;42720.0
252;Total all earninggroups;D-E Energy, water, waste treatment;Bonaire;2011;100.0;39080.0
253;Total all earninggroups;D-E Energy, water, waste treatment;Bonaire;2012;100.0;35400.0
254;Total all earninggroups;D-E Energy, water, waste treatment;Bonaire;2013;110.0;37350.0
255;Total all earninggroups;D-E Energy, water, waste treatment;Bonaire;2014;140.0;42100.0
256;Total all earninggroups;D-E Energy, water, waste treatment;Bonaire;2015;160.0;41930.0
257;Total all earninggroups;D-E Energy, water, waste treatment;Bonaire;2016;160.0;41890.0
258;Total all earninggroups;D-E Energy, water, waste treatment;Bonaire;2017;160.0;45240.0
259;Total all earninggroups;D-E Energy, water, waste treatment;Bonaire;2018;210.0;41680.0
260;Total all earninggroups;D-E Energy, water, waste treatment;Bonaire;2019;220.0;43470.0
261;Total all earninggroups;D-E Energy, water, waste treatment;Bonaire;2020;240.0;43020.0
262;Total all earninggroups;D-E Energy, water, waste treatment;Bonaire;2021;270.0;41230.0
263;Total all earninggroups;D-E Energy, water, waste treatment;Bonaire;2022;290.0;42560.0
264;Total all earninggroups;D-E Energy, water, waste treatment;St. Eustatius;2011;20.0;42770.0
265;Total all earninggroups;D-E Energy, water, waste treatment;St. Eustatius;2012;20.0;51440.0
266;Total all earninggroups;D-E Energy, water, waste treatment;St. Eustatius;2013;20.0;51020.0
267;Total all earninggroups;D-E Energy, water, waste treatment;St. Eustatius;2014;;
268;Total all earninggroups;D-E Energy, water, waste treatment;St. Eustatius;2015;30.0;41310.0
269;Total all earninggroups;D-E Energy, water, waste treatment;St. Eustatius;2016;30.0;38560.0
270;Total all earninggroups;D-E Energy, water, waste treatment;St. Eustatius;2017;30.0;42090.0
271;Total all earninggroups;D-E Energy, water, waste treatment;St. Eustatius;2018;30.0;38510.0
272;Total all earninggroups;D-E Energy, water, waste treatment;St. Eustatius;2019;30.0;42200.0
273;Total all earninggroups;D-E Energy, water, waste treatment;St. Eustatius;2020;;
274;Total all earninggroups;D-E Energy, water, waste treatment;St. Eustatius;2021;;
275;Total all earninggroups;D-E Energy, water, waste treatment;St. Eustatius;2022;;
276;Total all earninggroups;D-E Energy, water, waste treatment;Saba;2011;20.0;33140.0
277;Total all earninggroups;D-E Energy, water, waste treatment;Saba;2012;20.0;40090.0
278;Total all earninggroups;D-E Energy, water, waste treatment;Saba;2013;20.0;39800.0
279;Total all earninggroups;D-E Energy, water, waste treatment;Saba;2014;20.0;38000.0
280;Total all earninggroups;D-E Energy, water, waste treatment;Saba;2015;20.0;39770.0
281;Total all earninggroups;D-E Energy, water, waste treatment;Saba;2016;20.0;37370.0
282;Total all earninggroups;D-E Energy, water, waste treatment;Saba;2017;20.0;38320.0
283;Total all earninggroups;D-E Energy, water, waste treatment;Saba;2018;20.0;38280.0
284;Total all earninggroups;D-E Energy, water, waste treatment;Saba;2019;20.0;41290.0
285;Total all earninggroups;D-E Energy, water, waste treatment;Saba;2020;;
286;Total all earninggroups;D-E Energy, water, waste treatment;Saba;2021;;
287;Total all earninggroups;D-E Energy, water, waste treatment;Saba;2022;;
288;Total all earninggroups;D-E Energy, water, waste treatment;Unclassifiable;2011;;
289;Total all earninggroups;D-E Energy, water, waste treatment;Unclassifiable;2012;;
290;Total all earninggroups;D-E Energy, water, waste treatment;Unclassifiable;2013;;
291;Total all earninggroups;D-E Energy, water, waste treatment;Unclassifiable;2014;;
292;Total all earninggroups;D-E Energy, water, waste treatment;Unclassifiable;2015;;
293;Total all earninggroups;D-E Energy, water, waste treatment;Unclassifiable;2016;;
294;Total all earninggroups;D-E Energy, water, waste treatment;Unclassifiable;2017;;
295;Total all earninggroups;D-E Energy, water, waste treatment;Unclassifiable;2018;;
296;Total all earninggroups;D-E Energy, water, waste treatment;Unclassifiable;2019;;
297;Total all earninggroups;D-E Energy, water, waste treatment;Unclassifiable;2020;;
298;Total all earninggroups;D-E Energy, water, waste treatment;Unclassifiable;2021;;
299;Total all earninggroups;D-E Energy, water, waste treatment;Unclassifiable;2022;;
300;Total all earninggroups;F Construction;Caribbean Netherlands;2011;650.0;17460.0
301;Total all earninggroups;F Construction;Caribbean Netherlands;2012;600.0;17430.0
302;Total all earninggroups;F Construction;Caribbean Netherlands;2013;570.0;18540.0
303;Total all earninggroups;F Construction;Caribbean Netherlands;2014;580.0;16660.0
304;Total all earninggroups;F Construction;Caribbean Netherlands;2015;750.0;17380.0
305;Total all earninggroups;F Construction;Caribbean Netherlands;2016;780.0;18560.0
306;Total all earninggroups;F Construction;Caribbean Netherlands;2017;1080.0;24530.0
307;Total all earninggroups;F Construction;Caribbean Netherlands;2018;1090.0;22580.0
308;Total all earninggroups;F Construction;Caribbean Netherlands;2019;1080.0;22960.0
309;Total all earninggroups;F Construction;Caribbean Netherlands;2020;1180.0;20950.0
310;Total all earninggroups;F Construction;Caribbean Netherlands;2021;1300.0;21690.0
311;Total all earninggroups;F Construction;Caribbean Netherlands;2022;1250.0;22970.0
312;Total all earninggroups;F Construction;Bonaire;2011;600.0;17330.0
313;Total all earninggroups;F Construction;Bonaire;2012;560.0;17460.0
314;Total all earninggroups;F Construction;Bonaire;2013;530.0;18360.0
315;Total all earninggroups;F Construction;Bonaire;2014;540.0;16270.0
316;Total all earninggroups;F Construction;Bonaire;2015;680.0;16830.0
317;Total all earninggroups;F Construction;Bonaire;2016;720.0;18220.0
318;Total all earninggroups;F Construction;Bonaire;2017;820.0;18800.0
319;Total all earninggroups;F Construction;Bonaire;2018;800.0;19290.0
320;Total all earninggroups;F Construction;Bonaire;2019;880.0;19730.0
321;Total all earninggroups;F Construction;Bonaire;2020;920.0;20280.0
322;Total all earninggroups;F Construction;Bonaire;2021;1080.0;19920.0
323;Total all earninggroups;F Construction;Bonaire;2022;1040.0;21380.0
324;Total all earninggroups;F Construction;St. Eustatius;2011;30.0;18620.0
325;Total all earninggroups;F Construction;St. Eustatius;2012;30.0;16140.0
326;Total all earninggroups;F Construction;St. Eustatius;2013;30.0;19290.0
327;Total all earninggroups;F Construction;St. Eustatius;2014;30.0;19590.0
328;Total all earninggroups;F Construction;St. Eustatius;2015;20.0;20150.0
329;Total all earninggroups;F Construction;St. Eustatius;2016;30.0;20550.0
330;Total all earninggroups;F Construction;St. Eustatius;2017;220.0;46370.0
331;Total all earninggroups;F Construction;St. Eustatius;2018;240.0;32950.0
332;Total all earninggroups;F Construction;St. Eustatius;2019;150.0;40450.0
333;Total all earninggroups;F Construction;St. Eustatius;2020;190.0;22120.0
334;Total all earninggroups;F Construction;St. Eustatius;2021;160.0;31130.0
335;Total all earninggroups;F Construction;St. Eustatius;2022;150.0;31100.0
336;Total all earninggroups;F Construction;Saba;2011;20.0;19290.0
337;Total all earninggroups;F Construction;Saba;2012;10.0;18800.0
338;Total all earninggroups;F Construction;Saba;2013;20.0;23080.0
339;Total all earninggroups;F Construction;Saba;2014;20.0;23300.0
340;Total all earninggroups;F Construction;Saba;2015;50.0;23980.0
341;Total all earninggroups;F Construction;Saba;2016;30.0;24940.0
342;Total all earninggroups;F Construction;Saba;2017;40.0;20440.0
343;Total all earninggroups;F Construction;Saba;2018;60.0;25670.0
344;Total all earninggroups;F Construction;Saba;2019;50.0;26560.0
345;Total all earninggroups;F Construction;Saba;2020;70.0;26630.0
346;Total all earninggroups;F Construction;Saba;2021;60.0;27820.0
347;Total all earninggroups;F Construction;Saba;2022;70.0;29110.0
348;Total all earninggroups;F Construction;Unclassifiable;2011;;
349;Total all earninggroups;F Construction;Unclassifiable;2012;;
350;Total all earninggroups;F Construction;Unclassifiable;2013;;
351;Total all earninggroups;F Construction;Unclassifiable;2014;;
352;Total all earninggroups;F Construction;Unclassifiable;2015;;
353;Total all earninggroups;F Construction;Unclassifiable;2016;;
354;Total all earninggroups;F Construction;Unclassifiable;2017;;
355;Total all earninggroups;F Construction;Unclassifiable;2018;;
356;Total all earninggroups;F Construction;Unclassifiable;2019;;
357;Total all earninggroups;F Construction;Unclassifiable;2020;;
358;Total all earninggroups;F Construction;Unclassifiable;2021;;
359;Total all earninggroups;F Construction;Unclassifiable;2022;;
360;Total all earninggroups;G Wholesale and retail trade;Caribbean Netherlands;2011;930.0;16960.0
