ID;Geslacht;Leeftijd;IndicatieZMVGrondslagEnZzp;GebruikZMV;Persoonskenmerken;Perioden;PersMetIndicatieGebruikInJaar_1;PersMetIndicatieGebruikInJaar_2;PersMetIndicatieGebruikOpPeildatum_3;PersMetIndicGebruikOpPeildatum_4;OpnamedagenInJaar_5
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal;2009;414175.0;2.46;316755.0;1.91;
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal;2010;437930.0;2.59;330885.0;1.99;
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal;2011;450320.0;2.65;344805.0;2.06;
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal;2012;466750.0;2.73;356615.0;2.13;
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal;2013;416545.0;2.43;337140.0;2.0;
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal;2014;402675.0;2.34;328155.0;1.94;
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: autochtoon;2009;362895.0;2.71;276405.0;2.09;
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: autochtoon;2010;380935.0;2.85;286765.0;2.17;
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: autochtoon;2011;389635.0;2.91;297235.0;2.25;
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: autochtoon;2012;402310.0;3.0;305730.0;2.31;
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: autochtoon;2013;356680.0;2.66;287185.0;2.17;
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: autochtoon;2014;342685.0;2.56;277780.0;2.1;
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: allochtoon;2009;51280.0;1.48;40350.0;1.2;
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: allochtoon;2010;56995.0;1.61;44125.0;1.29;
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: allochtoon;2011;60685.0;1.68;47570.0;1.36;
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: allochtoon;2012;64440.0;1.75;50885.0;1.44;
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: allochtoon;2013;59865.0;1.6;49955.0;1.39;
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: allochtoon;2014;59990.0;1.58;50375.0;1.38;
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: westerse allochtoon;2009;33970.0;2.17;25685.0;1.71;
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: westerse allochtoon;2010;36310.0;2.28;27210.0;1.78;
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: westerse allochtoon;2011;37860.0;2.33;28735.0;1.85;
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: westerse allochtoon;2012;39405.0;2.38;29865.0;1.89;
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: westerse allochtoon;2013;35065.0;2.09;28230.0;1.77;
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: westerse allochtoon;2014;34200.0;2.0;27735.0;1.71;
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: niet-westerse allochtoon;2009;17310.0;0.91;14665.0;0.79;
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: niet-westerse allochtoon;2010;20685.0;1.06;16915.0;0.89;
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: niet-westerse allochtoon;2011;22825.0;1.14;18835.0;0.97;
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: niet-westerse allochtoon;2012;25035.0;1.24;21020.0;1.07;
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: niet-westerse allochtoon;2013;24800.0;1.2;21730.0;1.09;
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: niet-westerse allochtoon;2014;25790.0;1.23;22640.0;1.11;
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: Suriname;2009;6060.0;1.74;5155.0;1.51;
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: Suriname;2010;7030.0;2.0;5770.0;1.67;
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: Suriname;2011;7585.0;2.15;6280.0;1.81;
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: Suriname;2012;8140.0;2.3;6855.0;1.97;
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: Suriname;2013;7900.0;2.23;6910.0;1.98;
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: Suriname;2014;7950.0;2.24;6995.0;2.0;
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: Nederlandse Antillen of Aruba;2009;2615.0;1.82;2275.0;1.65;
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: Nederlandse Antillen of Aruba;2010;3110.0;2.12;2570.0;1.82;
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Herkomst: Nederlandse Antillen of Aruba;2011;3380.0;2.26;2830.0;1.96;
