ID;Geslacht;Perioden;RechthebbendenOuderschapsverlof_1;TotaalOpgenomenOuderschapsverlof_2;BetaaldOuderschapsverlof_3;DuurOuderschapsverlof_4;UrenOuderschapsverlofPerWeek_5;ArbeidsduurGebruikers_6
0;Totaal mannen en vrouwen;2000;264;66;36;9;10;30
1;Totaal mannen en vrouwen;2001;261;72;38;8;11;30
2;Totaal mannen en vrouwen;2002;269;66;36;9;10;30
3;Totaal mannen en vrouwen;2003;265;72;38;8;11;30
4;Totaal mannen en vrouwen;2004;262;71;41;9;10;31
5;Totaal mannen en vrouwen;2005;266;80;46;9;10;30
6;Totaal mannen en vrouwen;2006;257;80;47;10;9;31
7;Mannen;2000;158;25;13;11;9;37
8;Mannen;2001;153;24;13;10;8;36
9;Mannen;2002;157;25;13;11;9;37
10;Mannen;2003;151;24;13;10;8;36
11;Mannen;2004;150;27;17;10;9;37
12;Mannen;2005;148;28;16;11;8;37
13;Mannen;2006;143;30;18;11;8;37
14;Vrouwen;2000;105;41;24;8;12;26
15;Vrouwen;2001;106;48;25;8;12;26
16;Vrouwen;2002;110;41;24;8;12;26
17;Vrouwen;2003;114;48;25;8;12;26
18;Vrouwen;2004;111;44;25;9;11;27
19;Vrouwen;2005;118;52;30;8;11;27
20;Vrouwen;2006;114;50;29;9;10;27
