ID;Geslacht;Leeftijd;Nationaliteit;Perioden;BevolkingOp1Januari_1
0;Totaal mannen en vrouwen;Totaal;Totaal;2014;16829289.0
1;Totaal mannen en vrouwen;Totaal;Totaal;2015;16900726.0
2;Totaal mannen en vrouwen;Totaal;Totaal;2016;16979120.0
3;Totaal mannen en vrouwen;Totaal;Totaal;2017;17081507.0
4;Totaal mannen en vrouwen;Totaal;Totaal;2018;17181084.0
5;Totaal mannen en vrouwen;Totaal;Totaal;2019;17282163.0
6;Totaal mannen en vrouwen;Totaal;Totaal;2020;17407585.0
7;Totaal mannen en vrouwen;Totaal;Totaal;2021;17475415.0
8;Totaal mannen en vrouwen;Totaal;Totaal;2022;17590672.0
9;Totaal mannen en vrouwen;Totaal;Totaal;2023;17811291.0
10;Totaal mannen en vrouwen;Totaal;Totaal;2024;17942942.0
11;Totaal mannen en vrouwen;Totaal;Nederlands;2014;16013229.0
12;Totaal mannen en vrouwen;Totaal;Nederlands;2015;16053457.0
13;Totaal mannen en vrouwen;Totaal;Nederlands;2016;16078619.0
14;Totaal mannen en vrouwen;Totaal;Nederlands;2017;16109209.0
15;Totaal mannen en vrouwen;Totaal;Nederlands;2018;16140279.0
16;Totaal mannen en vrouwen;Totaal;Nederlands;2019;16171304.0
17;Totaal mannen en vrouwen;Totaal;Nederlands;2020;16215228.0
18;Totaal mannen en vrouwen;Totaal;Nederlands;2021;16272450.0
19;Totaal mannen en vrouwen;Totaal;Nederlands;2022;16334426.0
20;Totaal mannen en vrouwen;Totaal;Nederlands;2023;16365940.0
21;Totaal mannen en vrouwen;Totaal;Nederlands;2024;16398845.0
22;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlandse nationaliteit;2014;816060.0
23;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlandse nationaliteit;2015;847269.0
24;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlandse nationaliteit;2016;900501.0
25;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlandse nationaliteit;2017;972298.0
26;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlandse nationaliteit;2018;1040805.0
27;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlandse nationaliteit;2019;1110859.0
28;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlandse nationaliteit;2020;1192357.0
29;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlandse nationaliteit;2021;1202965.0
30;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlandse nationaliteit;2022;1256246.0
31;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlandse nationaliteit;2023;1445351.0
32;Totaal mannen en vrouwen;Totaal;Totaal niet-Nederlandse nationaliteit;2024;1544097.0
33;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederlands);2014;426022.0
34;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederlands);2015;454962.0
35;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederlands);2016;484515.0
36;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederlands);2017;517177.0
37;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederlands);2018;555868.0
38;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederlands);2019;600897.0
39;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederlands);2020;653103.0
40;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederlands);2021;685575.0
41;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederlands);2022;737656.0
42;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederlands);2023;882741.0
43;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederlands);2024;944033.0
44;Totaal mannen en vrouwen;Totaal;Buiten Europa;2014;307386.0
45;Totaal mannen en vrouwen;Totaal;Buiten Europa;2015;314745.0
46;Totaal mannen en vrouwen;Totaal;Buiten Europa;2016;341934.0
47;Totaal mannen en vrouwen;Totaal;Buiten Europa;2017;385343.0
48;Totaal mannen en vrouwen;Totaal;Buiten Europa;2018;420955.0
49;Totaal mannen en vrouwen;Totaal;Buiten Europa;2019;454341.0
50;Totaal mannen en vrouwen;Totaal;Buiten Europa;2020;494311.0
51;Totaal mannen en vrouwen;Totaal;Buiten Europa;2021;481123.0
52;Totaal mannen en vrouwen;Totaal;Buiten Europa;2022;487073.0
53;Totaal mannen en vrouwen;Totaal;Buiten Europa;2023;534973.0
54;Totaal mannen en vrouwen;Totaal;Buiten Europa;2024;575093.0
55;Totaal mannen en vrouwen;Totaal;Afrika (exclusief Marokkaans);2014;29459.0
56;Totaal mannen en vrouwen;Totaal;Afrika (exclusief Marokkaans);2015;32637.0
57;Totaal mannen en vrouwen;Totaal;Afrika (exclusief Marokkaans);2016;39251.0
58;Totaal mannen en vrouwen;Totaal;Afrika (exclusief Marokkaans);2017;46658.0
59;Totaal mannen en vrouwen;Totaal;Afrika (exclusief Marokkaans);2018;53206.0
60;Totaal mannen en vrouwen;Totaal;Afrika (exclusief Marokkaans);2019;61509.0
61;Totaal mannen en vrouwen;Totaal;Afrika (exclusief Marokkaans);2020;70572.0
62;Totaal mannen en vrouwen;Totaal;Afrika (exclusief Marokkaans);2021;70751.0
63;Totaal mannen en vrouwen;Totaal;Afrika (exclusief Marokkaans);2022;69837.0
64;Totaal mannen en vrouwen;Totaal;Afrika (exclusief Marokkaans);2023;74715.0
65;Totaal mannen en vrouwen;Totaal;Afrika (exclusief Marokkaans);2024;77852.0
66;Totaal mannen en vrouwen;Totaal;Amerika en Oceanië (exclusief Surinaams);2014;40427.0
67;Totaal mannen en vrouwen;Totaal;Amerika en Oceanië (exclusief Surinaams);2015;41455.0
68;Totaal mannen en vrouwen;Totaal;Amerika en Oceanië (exclusief Surinaams);2016;43915.0
69;Totaal mannen en vrouwen;Totaal;Amerika en Oceanië (exclusief Surinaams);2017;45411.0
70;Totaal mannen en vrouwen;Totaal;Amerika en Oceanië (exclusief Surinaams);2018;49061.0
71;Totaal mannen en vrouwen;Totaal;Amerika en Oceanië (exclusief Surinaams);2019;53957.0
72;Totaal mannen en vrouwen;Totaal;Amerika en Oceanië (exclusief Surinaams);2020;59243.0
73;Totaal mannen en vrouwen;Totaal;Amerika en Oceanië (exclusief Surinaams);2021;58092.0
74;Totaal mannen en vrouwen;Totaal;Amerika en Oceanië (exclusief Surinaams);2022;61732.0
75;Totaal mannen en vrouwen;Totaal;Amerika en Oceanië (exclusief Surinaams);2023;67971.0
76;Totaal mannen en vrouwen;Totaal;Amerika en Oceanië (exclusief Surinaams);2024;72671.0
77;Totaal mannen en vrouwen;Totaal;Azië (exclusief Indonesisch en Turks);2014;91615.0
78;Totaal mannen en vrouwen;Totaal;Azië (exclusief Indonesisch en Turks);2015;100784.0
79;Totaal mannen en vrouwen;Totaal;Azië (exclusief Indonesisch en Turks);2016;123721.0
80;Totaal mannen en vrouwen;Totaal;Azië (exclusief Indonesisch en Turks);2017;161559.0
81;Totaal mannen en vrouwen;Totaal;Azië (exclusief Indonesisch en Turks);2018;188979.0
82;Totaal mannen en vrouwen;Totaal;Azië (exclusief Indonesisch en Turks);2019;209000.0
83;Totaal mannen en vrouwen;Totaal;Azië (exclusief Indonesisch en Turks);2020;232261.0
84;Totaal mannen en vrouwen;Totaal;Azië (exclusief Indonesisch en Turks);2021;221918.0
85;Totaal mannen en vrouwen;Totaal;Azië (exclusief Indonesisch en Turks);2022;221855.0
