ID;Geslacht;Leeftijd;PositieInHuishouden;Herkomstland;Geboorteland;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2022;17590672.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2023;17811291.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2024;17942942.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Geboren in Nederland;2022;15039835.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Geboren in Nederland;2023;15034341.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Geboren in Nederland;2024;15028003.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Geboren buiten Nederland;2022;2550837.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Geboren buiten Nederland;2023;2776950.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Geboren buiten Nederland;2024;2914939.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;Totaal;2022;13013279.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;Totaal;2023;12978154.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;Totaal;2024;12941748.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;Geboren in Nederland;2022;13013279.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;Geboren in Nederland;2023;12978154.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;Geboren in Nederland;2024;12941748.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;Geboren buiten Nederland;2022;
16;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;Geboren buiten Nederland;2023;
17;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;Geboren buiten Nederland;2024;
18;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Nederland;Totaal;2022;4577393.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Nederland;Totaal;2023;4833137.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Nederland;Totaal;2024;5001194.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Nederland;Geboren in Nederland;2022;2026556.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Nederland;Geboren in Nederland;2023;2056187.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Nederland;Geboren in Nederland;2024;2086255.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Nederland;Geboren buiten Nederland;2022;2550837.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Nederland;Geboren buiten Nederland;2023;2776950.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Nederland;Geboren buiten Nederland;2024;2914939.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Europa (exclusief Nederland);Totaal;2022;1477069.0
28;Totaal mannen en vrouwen;Totaal;Totaal;Europa (exclusief Nederland);Totaal;2023;1617454.0
29;Totaal mannen en vrouwen;Totaal;Totaal;Europa (exclusief Nederland);Totaal;2024;1677093.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Europa (exclusief Nederland);Geboren in Nederland;2022;601820.0
31;Totaal mannen en vrouwen;Totaal;Totaal;Europa (exclusief Nederland);Geboren in Nederland;2023;604926.0
32;Totaal mannen en vrouwen;Totaal;Totaal;Europa (exclusief Nederland);Geboren in Nederland;2024;608406.0
33;Totaal mannen en vrouwen;Totaal;Totaal;Europa (exclusief Nederland);Geboren buiten Nederland;2022;875249.0
34;Totaal mannen en vrouwen;Totaal;Totaal;Europa (exclusief Nederland);Geboren buiten Nederland;2023;1012528.0
35;Totaal mannen en vrouwen;Totaal;Totaal;Europa (exclusief Nederland);Geboren buiten Nederland;2024;1068687.0
36;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Europa;Totaal;2022;3100324.0
37;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Europa;Totaal;2023;3215683.0
38;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Europa;Totaal;2024;3324101.0
39;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Europa;Geboren in Nederland;2022;1424736.0
40;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Europa;Geboren in Nederland;2023;1451261.0
41;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Europa;Geboren in Nederland;2024;1477849.0
42;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Europa;Geboren buiten Nederland;2022;1675588.0
43;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Europa;Geboren buiten Nederland;2023;1764422.0
44;Totaal mannen en vrouwen;Totaal;Totaal;Buiten Europa;Geboren buiten Nederland;2024;1846252.0
45;Totaal mannen en vrouwen;Totaal;Totaal;Indonesië;Totaal;2022;363873.0
46;Totaal mannen en vrouwen;Totaal;Totaal;Indonesië;Totaal;2023;360281.0
47;Totaal mannen en vrouwen;Totaal;Totaal;Indonesië;Totaal;2024;356566.0
48;Totaal mannen en vrouwen;Totaal;Totaal;Indonesië;Geboren in Nederland;2022;257745.0
49;Totaal mannen en vrouwen;Totaal;Totaal;Indonesië;Geboren in Nederland;2023;256452.0
50;Totaal mannen en vrouwen;Totaal;Totaal;Indonesië;Geboren in Nederland;2024;255103.0
51;Totaal mannen en vrouwen;Totaal;Totaal;Indonesië;Geboren buiten Nederland;2022;106128.0
52;Totaal mannen en vrouwen;Totaal;Totaal;Indonesië;Geboren buiten Nederland;2023;103829.0
53;Totaal mannen en vrouwen;Totaal;Totaal;Indonesië;Geboren buiten Nederland;2024;101463.0
54;Totaal mannen en vrouwen;Totaal;Totaal;Marokko;Totaal;2022;419442.0
55;Totaal mannen en vrouwen;Totaal;Totaal;Marokko;Totaal;2023;425034.0
56;Totaal mannen en vrouwen;Totaal;Totaal;Marokko;Totaal;2024;429176.0
57;Totaal mannen en vrouwen;Totaal;Totaal;Marokko;Geboren in Nederland;2022;245993.0
58;Totaal mannen en vrouwen;Totaal;Totaal;Marokko;Geboren in Nederland;2023;249716.0
59;Totaal mannen en vrouwen;Totaal;Totaal;Marokko;Geboren in Nederland;2024;252868.0
60;Totaal mannen en vrouwen;Totaal;Totaal;Marokko;Geboren buiten Nederland;2022;173449.0
61;Totaal mannen en vrouwen;Totaal;Totaal;Marokko;Geboren buiten Nederland;2023;175318.0
62;Totaal mannen en vrouwen;Totaal;Totaal;Marokko;Geboren buiten Nederland;2024;176308.0
63;Totaal mannen en vrouwen;Totaal;Totaal;Nederlandse Cariben;Totaal;2022;184992.0
64;Totaal mannen en vrouwen;Totaal;Totaal;Nederlandse Cariben;Totaal;2023;190180.0
65;Totaal mannen en vrouwen;Totaal;Totaal;Nederlandse Cariben;Totaal;2024;194454.0
66;Totaal mannen en vrouwen;Totaal;Totaal;Nederlandse Cariben;Geboren in Nederland;2022;82142.0
67;Totaal mannen en vrouwen;Totaal;Totaal;Nederlandse Cariben;Geboren in Nederland;2023;84463.0
68;Totaal mannen en vrouwen;Totaal;Totaal;Nederlandse Cariben;Geboren in Nederland;2024;86661.0
69;Totaal mannen en vrouwen;Totaal;Totaal;Nederlandse Cariben;Geboren buiten Nederland;2022;102850.0
70;Totaal mannen en vrouwen;Totaal;Totaal;Nederlandse Cariben;Geboren buiten Nederland;2023;105717.0
71;Totaal mannen en vrouwen;Totaal;Totaal;Nederlandse Cariben;Geboren buiten Nederland;2024;107793.0
72;Totaal mannen en vrouwen;Totaal;Totaal;Suriname;Totaal;2022;361632.0
73;Totaal mannen en vrouwen;Totaal;Totaal;Suriname;Totaal;2023;363142.0
74;Totaal mannen en vrouwen;Totaal;Totaal;Suriname;Totaal;2024;365352.0
75;Totaal mannen en vrouwen;Totaal;Totaal;Suriname;Geboren in Nederland;2022;183687.0
76;Totaal mannen en vrouwen;Totaal;Totaal;Suriname;Geboren in Nederland;2023;185252.0
77;Totaal mannen en vrouwen;Totaal;Totaal;Suriname;Geboren in Nederland;2024;186649.0
78;Totaal mannen en vrouwen;Totaal;Totaal;Suriname;Geboren buiten Nederland;2022;177945.0
79;Totaal mannen en vrouwen;Totaal;Totaal;Suriname;Geboren buiten Nederland;2023;177890.0
80;Totaal mannen en vrouwen;Totaal;Totaal;Suriname;Geboren buiten Nederland;2024;178703.0
81;Totaal mannen en vrouwen;Totaal;Totaal;Turkije;Totaal;2022;430682.0
82;Totaal mannen en vrouwen;Totaal;Totaal;Turkije;Totaal;2023;444329.0
83;Totaal mannen en vrouwen;Totaal;Totaal;Turkije;Totaal;2024;457100.0
84;Totaal mannen en vrouwen;Totaal;Totaal;Turkije;Geboren in Nederland;2022;225729.0
85;Totaal mannen en vrouwen;Totaal;Totaal;Turkije;Geboren in Nederland;2023;228608.0
86;Totaal mannen en vrouwen;Totaal;Totaal;Turkije;Geboren in Nederland;2024;231594.0
87;Totaal mannen en vrouwen;Totaal;Totaal;Turkije;Geboren buiten Nederland;2022;204953.0
88;Totaal mannen en vrouwen;Totaal;Totaal;Turkije;Geboren buiten Nederland;2023;215721.0
89;Totaal mannen en vrouwen;Totaal;Totaal;Turkije;Geboren buiten Nederland;2024;225506.0
90;Totaal mannen en vrouwen;Totaal;Totaal;Afrika (exclusief Marokko);Totaal;2022;341835.0
91;Totaal mannen en vrouwen;Totaal;Totaal;Afrika (exclusief Marokko);Totaal;2023;359982.0
92;Totaal mannen en vrouwen;Totaal;Totaal;Afrika (exclusief Marokko);Totaal;2024;377706.0
93;Totaal mannen en vrouwen;Totaal;Totaal;Afrika (exclusief Marokko);Geboren in Nederland;2022;131667.0
94;Totaal mannen en vrouwen;Totaal;Totaal;Afrika (exclusief Marokko);Geboren in Nederland;2023;136358.0
95;Totaal mannen en vrouwen;Totaal;Totaal;Afrika (exclusief Marokko);Geboren in Nederland;2024;141377.0
96;Totaal mannen en vrouwen;Totaal;Totaal;Afrika (exclusief Marokko);Geboren buiten Nederland;2022;210168.0
97;Totaal mannen en vrouwen;Totaal;Totaal;Afrika (exclusief Marokko);Geboren buiten Nederland;2023;223624.0
98;Totaal mannen en vrouwen;Totaal;Totaal;Afrika (exclusief Marokko);Geboren buiten Nederland;2024;236329.0
99;Totaal mannen en vrouwen;Totaal;Totaal;Amerika en Oceanië (ex. Suriname en N...;Totaal;2022;268930.0
100;Totaal mannen en vrouwen;Totaal;Totaal;Amerika en Oceanië (ex. Suriname en N...;Totaal;2023;282794.0
101;Totaal mannen en vrouwen;Totaal;Totaal;Amerika en Oceanië (ex. Suriname en N...;Totaal;2024;295682.0
102;Totaal mannen en vrouwen;Totaal;Totaal;Amerika en Oceanië (ex. Suriname en N...;Geboren in Nederland;2022;97808.0
103;Totaal mannen en vrouwen;Totaal;Totaal;Amerika en Oceanië (ex. Suriname en N...;Geboren in Nederland;2023;100598.0
104;Totaal mannen en vrouwen;Totaal;Totaal;Amerika en Oceanië (ex. Suriname en N...;Geboren in Nederland;2024;103542.0
105;Totaal mannen en vrouwen;Totaal;Totaal;Amerika en Oceanië (ex. Suriname en N...;Geboren buiten Nederland;2022;171122.0
106;Totaal mannen en vrouwen;Totaal;Totaal;Amerika en Oceanië (ex. Suriname en N...;Geboren buiten Nederland;2023;182196.0
107;Totaal mannen en vrouwen;Totaal;Totaal;Amerika en Oceanië (ex. Suriname en N...;Geboren buiten Nederland;2024;192140.0
108;Totaal mannen en vrouwen;Totaal;Totaal;Azië (exclusief Indonesië en Turkije);Totaal;2022;728938.0
109;Totaal mannen en vrouwen;Totaal;Totaal;Azië (exclusief Indonesië en Turkije);Totaal;2023;789941.0
110;Totaal mannen en vrouwen;Totaal;Totaal;Azië (exclusief Indonesië en Turkije);Totaal;2024;848065.0
111;Totaal mannen en vrouwen;Totaal;Totaal;Azië (exclusief Indonesië en Turkije);Geboren in Nederland;2022;199965.0
112;Totaal mannen en vrouwen;Totaal;Totaal;Azië (exclusief Indonesië en Turkije);Geboren in Nederland;2023;209814.0
113;Totaal mannen en vrouwen;Totaal;Totaal;Azië (exclusief Indonesië en Turkije);Geboren in Nederland;2024;220055.0
114;Totaal mannen en vrouwen;Totaal;Totaal;Azië (exclusief Indonesië en Turkije);Geboren buiten Nederland;2022;528973.0
115;Totaal mannen en vrouwen;Totaal;Totaal;Azië (exclusief Indonesië en Turkije);Geboren buiten Nederland;2023;580127.0
116;Totaal mannen en vrouwen;Totaal;Totaal;Azië (exclusief Indonesië en Turkije);Geboren buiten Nederland;2024;628010.0
117;Totaal mannen en vrouwen;Totaal;Totaal;Afrika;Totaal;2022;761277.0
118;Totaal mannen en vrouwen;Totaal;Totaal;Afrika;Totaal;2023;785016.0
119;Totaal mannen en vrouwen;Totaal;Totaal;Afrika;Totaal;2024;806882.0
120;Totaal mannen en vrouwen;Totaal;Totaal;Afrika;Geboren in Nederland;2022;377660.0
121;Totaal mannen en vrouwen;Totaal;Totaal;Afrika;Geboren in Nederland;2023;386074.0
122;Totaal mannen en vrouwen;Totaal;Totaal;Afrika;Geboren in Nederland;2024;394245.0
123;Totaal mannen en vrouwen;Totaal;Totaal;Afrika;Geboren buiten Nederland;2022;383617.0
124;Totaal mannen en vrouwen;Totaal;Totaal;Afrika;Geboren buiten Nederland;2023;398942.0
125;Totaal mannen en vrouwen;Totaal;Totaal;Afrika;Geboren buiten Nederland;2024;412637.0
126;Totaal mannen en vrouwen;Totaal;Totaal;Amerika;Totaal;2022;784113.0
127;Totaal mannen en vrouwen;Totaal;Totaal;Amerika;Totaal;2023;804097.0
128;Totaal mannen en vrouwen;Totaal;Totaal;Amerika;Totaal;2024;822527.0
129;Totaal mannen en vrouwen;Totaal;Totaal;Amerika;Geboren in Nederland;2022;348562.0
130;Totaal mannen en vrouwen;Totaal;Totaal;Amerika;Geboren in Nederland;2023;355121.0
131;Totaal mannen en vrouwen;Totaal;Totaal;Amerika;Geboren in Nederland;2024;361513.0
132;Totaal mannen en vrouwen;Totaal;Totaal;Amerika;Geboren buiten Nederland;2022;435551.0
133;Totaal mannen en vrouwen;Totaal;Totaal;Amerika;Geboren buiten Nederland;2023;448976.0
134;Totaal mannen en vrouwen;Totaal;Totaal;Amerika;Geboren buiten Nederland;2024;461014.0
135;Totaal mannen en vrouwen;Totaal;Totaal;Azië;Totaal;2022;1523493.0
136;Totaal mannen en vrouwen;Totaal;Totaal;Azië;Totaal;2023;1594551.0
137;Totaal mannen en vrouwen;Totaal;Totaal;Azië;Totaal;2024;1661731.0
138;Totaal mannen en vrouwen;Totaal;Totaal;Azië;Geboren in Nederland;2022;683439.0
139;Totaal mannen en vrouwen;Totaal;Totaal;Azië;Geboren in Nederland;2023;694874.0
140;Totaal mannen en vrouwen;Totaal;Totaal;Azië;Geboren in Nederland;2024;706752.0
141;Totaal mannen en vrouwen;Totaal;Totaal;Azië;Geboren buiten Nederland;2022;840054.0
142;Totaal mannen en vrouwen;Totaal;Totaal;Azië;Geboren buiten Nederland;2023;899677.0
143;Totaal mannen en vrouwen;Totaal;Totaal;Azië;Geboren buiten Nederland;2024;954979.0
144;Totaal mannen en vrouwen;Totaal;Totaal;Oceanië;Totaal;2022;31441.0
145;Totaal mannen en vrouwen;Totaal;Totaal;Oceanië;Totaal;2023;32019.0
146;Totaal mannen en vrouwen;Totaal;Totaal;Oceanië;Totaal;2024;32961.0
147;Totaal mannen en vrouwen;Totaal;Totaal;Oceanië;Geboren in Nederland;2022;15075.0
148;Totaal mannen en vrouwen;Totaal;Totaal;Oceanië;Geboren in Nederland;2023;15192.0
149;Totaal mannen en vrouwen;Totaal;Totaal;Oceanië;Geboren in Nederland;2024;15339.0
150;Totaal mannen en vrouwen;Totaal;Totaal;Oceanië;Geboren buiten Nederland;2022;16366.0
151;Totaal mannen en vrouwen;Totaal;Totaal;Oceanië;Geboren buiten Nederland;2023;16827.0
152;Totaal mannen en vrouwen;Totaal;Totaal;Oceanië;Geboren buiten Nederland;2024;17622.0
153;Totaal mannen en vrouwen;Totaal;Totaal;Europese Unie (excusief Nederland);Totaal;2022;1204368.0
154;Totaal mannen en vrouwen;Totaal;Totaal;Europese Unie (excusief Nederland);Totaal;2023;1248305.0
155;Totaal mannen en vrouwen;Totaal;Totaal;Europese Unie (excusief Nederland);Totaal;2024;1280680.0
156;Totaal mannen en vrouwen;Totaal;Totaal;Europese Unie (excusief Nederland);Geboren in Nederland;2022;501006.0
157;Totaal mannen en vrouwen;Totaal;Totaal;Europese Unie (excusief Nederland);Geboren in Nederland;2023;501527.0
158;Totaal mannen en vrouwen;Totaal;Totaal;Europese Unie (excusief Nederland);Geboren in Nederland;2024;502321.0
159;Totaal mannen en vrouwen;Totaal;Totaal;Europese Unie (excusief Nederland);Geboren buiten Nederland;2022;703362.0
160;Totaal mannen en vrouwen;Totaal;Totaal;Europese Unie (excusief Nederland);Geboren buiten Nederland;2023;746778.0
161;Totaal mannen en vrouwen;Totaal;Totaal;Europese Unie (excusief Nederland);Geboren buiten Nederland;2024;778359.0
162;Totaal mannen en vrouwen;Totaal;Totaal;GIPS landen in de EU;Totaal;2022;185487.0
163;Totaal mannen en vrouwen;Totaal;Totaal;GIPS landen in de EU;Totaal;2023;198474.0
164;Totaal mannen en vrouwen;Totaal;Totaal;GIPS landen in de EU;Totaal;2024;209252.0
165;Totaal mannen en vrouwen;Totaal;Totaal;GIPS landen in de EU;Geboren in Nederland;2022;60298.0
166;Totaal mannen en vrouwen;Totaal;Totaal;GIPS landen in de EU;Geboren in Nederland;2023;61509.0
167;Totaal mannen en vrouwen;Totaal;Totaal;GIPS landen in de EU;Geboren in Nederland;2024;62709.0
168;Totaal mannen en vrouwen;Totaal;Totaal;GIPS landen in de EU;Geboren buiten Nederland;2022;125189.0
169;Totaal mannen en vrouwen;Totaal;Totaal;GIPS landen in de EU;Geboren buiten Nederland;2023;136965.0
170;Totaal mannen en vrouwen;Totaal;Totaal;GIPS landen in de EU;Geboren buiten Nederland;2024;146543.0
171;Totaal mannen en vrouwen;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;Totaal;2022;411755.0
172;Totaal mannen en vrouwen;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;Totaal;2023;441891.0
173;Totaal mannen en vrouwen;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;Totaal;2024;464130.0
174;Totaal mannen en vrouwen;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;Geboren in Nederland;2022;89751.0
175;Totaal mannen en vrouwen;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;Geboren in Nederland;2023;93579.0
176;Totaal mannen en vrouwen;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;Geboren in Nederland;2024;97507.0
177;Totaal mannen en vrouwen;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;Geboren buiten Nederland;2022;322004.0
178;Totaal mannen en vrouwen;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;Geboren buiten Nederland;2023;348312.0
179;Totaal mannen en vrouwen;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;Geboren buiten Nederland;2024;366623.0
180;Totaal mannen en vrouwen;Totaal;Totaal;Afghanistan;Totaal;2022;55002.0
181;Totaal mannen en vrouwen;Totaal;Totaal;Afghanistan;Totaal;2023;59286.0
182;Totaal mannen en vrouwen;Totaal;Totaal;Afghanistan;Totaal;2024;61473.0
183;Totaal mannen en vrouwen;Totaal;Totaal;Afghanistan;Geboren in Nederland;2022;16603.0
184;Totaal mannen en vrouwen;Totaal;Totaal;Afghanistan;Geboren in Nederland;2023;17722.0
185;Totaal mannen en vrouwen;Totaal;Totaal;Afghanistan;Geboren in Nederland;2024;18800.0
186;Totaal mannen en vrouwen;Totaal;Totaal;Afghanistan;Geboren buiten Nederland;2022;38399.0
187;Totaal mannen en vrouwen;Totaal;Totaal;Afghanistan;Geboren buiten Nederland;2023;41564.0
188;Totaal mannen en vrouwen;Totaal;Totaal;Afghanistan;Geboren buiten Nederland;2024;42673.0
189;Totaal mannen en vrouwen;Totaal;Totaal;Albanië;Totaal;2022;4364.0
190;Totaal mannen en vrouwen;Totaal;Totaal;Albanië;Totaal;2023;4857.0
191;Totaal mannen en vrouwen;Totaal;Totaal;Albanië;Totaal;2024;5289.0
192;Totaal mannen en vrouwen;Totaal;Totaal;Albanië;Geboren in Nederland;2022;1193.0
193;Totaal mannen en vrouwen;Totaal;Totaal;Albanië;Geboren in Nederland;2023;1298.0
194;Totaal mannen en vrouwen;Totaal;Totaal;Albanië;Geboren in Nederland;2024;1397.0
195;Totaal mannen en vrouwen;Totaal;Totaal;Albanië;Geboren buiten Nederland;2022;3171.0
196;Totaal mannen en vrouwen;Totaal;Totaal;Albanië;Geboren buiten Nederland;2023;3559.0
197;Totaal mannen en vrouwen;Totaal;Totaal;Albanië;Geboren buiten Nederland;2024;3892.0
198;Totaal mannen en vrouwen;Totaal;Totaal;Algerije;Totaal;2022;9057.0
199;Totaal mannen en vrouwen;Totaal;Totaal;Algerije;Totaal;2023;9627.0
