ID;Woningkenmerken;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;GemiddeldAardgasverbruik_5;GemiddeldElektriciteitsverbruik_6;Stadsverwarming_7
0;Totaal woningen;Nederland;Nederland                               ;Land      ;NL00      ;.;1250.0;2980.0;5.5
1;Totaal woningen;Appingedam;Appingedam                              ;Gemeente  ;GM0003    ;.;1450.0;2660.0;
2;Totaal woningen;Wijk 00;Appingedam                              ;Wijk      ;WK000300  ;1;1450.0;2660.0;
3;Totaal woningen;Appingedam-Centrum;Appingedam                              ;Buurt     ;BU00030000;1;1410.0;2390.0;
4;Totaal woningen;Appingedam-West;Appingedam                              ;Buurt     ;BU00030001;1;1530.0;2980.0;
5;Totaal woningen;Appingedam-Oost;Appingedam                              ;Buurt     ;BU00030002;1;1390.0;2560.0;
6;Totaal woningen;Verspr.h. Damsterdiep en Eemskanaal;Appingedam                              ;Buurt     ;BU00030007;1;1750.0;3720.0;
7;Totaal woningen;Verspr.h. ten zuiden van Eemskanaal;Appingedam                              ;Buurt     ;BU00030008;1;2020.0;4210.0;
8;Totaal woningen;Verspr.h. ten N. van het Damsterdiep;Appingedam                              ;Buurt     ;BU00030009;1;2320.0;3810.0;
9;Totaal woningen;Bedum;Bedum                                   ;Gemeente  ;GM0005    ;.;1600.0;2880.0;
10;Totaal woningen;Wijk 00;Bedum                                   ;Wijk      ;WK000500  ;1;1600.0;2880.0;
11;Totaal woningen;Bedum;Bedum                                   ;Buurt     ;BU00050000;1;1520.0;2800.0;
12;Totaal woningen;Verspreide huizen Bedum;Bedum                                   ;Buurt     ;BU00050001;1;1730.0;3460.0;
13;Totaal woningen;Zuidwolde;Bedum                                   ;Buurt     ;BU00050002;1;1850.0;3000.0;
14;Totaal woningen;Verspreide huizen Zuidwolde;Bedum                                   ;Buurt     ;BU00050003;1;2490.0;4610.0;
15;Totaal woningen;Onderdendam;Bedum                                   ;Buurt     ;BU00050004;1;1850.0;2830.0;
16;Totaal woningen;Verspreide huizen Onderdendam;Bedum                                   ;Buurt     ;BU00050005;1;2050.0;4220.0;
17;Totaal woningen;Noordwolde;Bedum                                   ;Buurt     ;BU00050006;1;1950.0;2840.0;
18;Totaal woningen;Verspreide huizen Noordwolde;Bedum                                   ;Buurt     ;BU00050007;1;2110.0;3450.0;
19;Totaal woningen;Bellingwedde;Bellingwedde                            ;Gemeente  ;GM0007    ;.;1890.0;3280.0;
20;Totaal woningen;Wijk 00 Bellingwolde;Bellingwedde                            ;Wijk      ;WK000700  ;1;1900.0;3320.0;
21;Totaal woningen;Bellingwolde;Bellingwedde                            ;Buurt     ;BU00070000;1;1870.0;3190.0;
22;Totaal woningen;Vriescheloo;Bellingwedde                            ;Buurt     ;BU00070001;1;2130.0;4180.0;
23;Totaal woningen;Rhederweg-West;Bellingwedde                            ;Buurt     ;BU00070002;1;1840.0;3300.0;
24;Totaal woningen;Vriescheloo-Zuid;Bellingwedde                            ;Buurt     ;BU00070004;1;1880.0;3190.0;
25;Totaal woningen;Oudeschans;Bellingwedde                            ;Buurt     ;BU00070005;1;1910.0;2720.0;
26;Totaal woningen;Klein-Ulsda;Bellingwedde                            ;Buurt     ;BU00070006;1;1860.0;3720.0;
27;Totaal woningen;Verspr.h. ten Z.O. van Bellingwolde;Bellingwedde                            ;Buurt     ;BU00070007;1;2030.0;4080.0;
28;Totaal woningen;Verspr.h. ten zuidoosten van Vriescheloo;Bellingwedde                            ;Buurt     ;BU00070008;1;2010.0;3820.0;
29;Totaal woningen;Verspreide huizen Westerwoldse A;Bellingwedde                            ;Buurt     ;BU00070009;1;2180.0;;
30;Totaal woningen;Wijk 01 Oost;Bellingwedde                            ;Wijk      ;WK000701  ;1;2020.0;3680.0;
31;Totaal woningen;Veelerveen;Bellingwedde                            ;Buurt     ;BU00070100;1;1960.0;3550.0;
32;Totaal woningen;Rhederbrug-Oost;Bellingwedde                            ;Buurt     ;BU00070101;1;2140.0;4050.0;
33;Totaal woningen;Verspr.h. ten noordoosten van Rhederbrug;Bellingwedde                            ;Buurt     ;BU00070108;1;2340.0;3850.0;
34;Totaal woningen;Verspreide huizen Veelerveen;Bellingwedde                            ;Buurt     ;BU00070109;1;1930.0;3740.0;
35;Totaal woningen;Wijk 02 Blijham;Bellingwedde                            ;Wijk      ;WK000702  ;1;1860.0;3180.0;
36;Totaal woningen;Blijham;Bellingwedde                            ;Buurt     ;BU00070200;1;1750.0;2870.0;
37;Totaal woningen;Morige;Bellingwedde                            ;Buurt     ;BU00070201;1;1960.0;3800.0;
38;Totaal woningen;Wedde;Bellingwedde                            ;Buurt     ;BU00070202;1;1850.0;3120.0;
39;Totaal woningen;Wedderheide;Bellingwedde                            ;Buurt     ;BU00070203;1;2190.0;3810.0;
40;Totaal woningen;Wedderveer;Bellingwedde                            ;Buurt     ;BU00070204;1;2330.0;3840.0;
41;Totaal woningen;Verspreide huizen in de polder Blijham;Bellingwedde                            ;Buurt     ;BU00070206;1;2770.0;4570.0;
42;Totaal woningen;Verspreide huizen ten westen van Blijham;Bellingwedde                            ;Buurt     ;BU00070207;1;2230.0;3980.0;
43;Totaal woningen;Verspreide huizen Hoorn;Bellingwedde                            ;Buurt     ;BU00070208;1;1940.0;4020.0;
44;Totaal woningen;Verspreide huizen in de Weddermarke;Bellingwedde                            ;Buurt     ;BU00070209;1;2020.0;4110.0;
45;Totaal woningen;Ten Boer;Ten Boer                                ;Gemeente  ;GM0009    ;.;1670.0;2980.0;
46;Totaal woningen;Wijk 00 West;Ten Boer                                ;Wijk      ;WK000900  ;1;1610.0;2960.0;
47;Totaal woningen;Ten Boer;Ten Boer                                ;Buurt     ;BU00090000;1;1520.0;2860.0;
48;Totaal woningen;Garmerwolde;Ten Boer                                ;Buurt     ;BU00090001;1;1820.0;3140.0;
49;Totaal woningen;Thesinge;Ten Boer                                ;Buurt     ;BU00090002;1;1950.0;3270.0;
50;Totaal woningen;Sint-Annen;Ten Boer                                ;Buurt     ;BU00090003;1;1760.0;3210.0;
51;Totaal woningen;Achter-Thesinge en Bovenrijge;Ten Boer                                ;Buurt     ;BU00090005;1;2030.0;3730.0;
52;Totaal woningen;Verspr.h. ten noorden van het Eemskanaal;Ten Boer                                ;Buurt     ;BU00090009;1;1930.0;3460.0;
53;Totaal woningen;Wijk 01 Oost;Ten Boer                                ;Wijk      ;WK000901  ;1;1890.0;3090.0;
54;Totaal woningen;Ten Post;Ten Boer                                ;Buurt     ;BU00090100;1;1920.0;3060.0;
55;Totaal woningen;Winneweer (gedeeltelijk);Ten Boer                                ;Buurt     ;BU00090101;1;2040.0;3330.0;
56;Totaal woningen;Woltersum;Ten Boer                                ;Buurt     ;BU00090102;1;1740.0;2820.0;
