ID;KenmerkenVanHuishoudens;InkomensgrensHuishouden;DuurInkomenspositie;RegioS;Perioden;ParticuliereHuishoudens_1;Personen_2;Kinderen_3;ParticuliereHuishoudensRelatief_4;PersonenRelatief_5;KinderenRelatief_6
0;Particuliere huishoudens;Totaal;Ten minste 1 jaar;Nederland;2011;7008.6;15876.7;3374.9;100.0;100.0;100.0
1;Particuliere huishoudens;Totaal;Ten minste 1 jaar;Nederland;2012;7066.4;15935.9;3356.7;100.0;100.0;100.0
2;Particuliere huishoudens;Totaal;Ten minste 1 jaar;Nederland;2013;7112.0;15971.1;3329.7;100.0;100.0;100.0
3;Particuliere huishoudens;Totaal;Ten minste 1 jaar;Nederland;2014;7127.6;15977.0;3309.1;100.0;100.0;100.0
4;Particuliere huishoudens;Totaal;Ten minste 1 jaar;Nederland;2015;7171.7;16014.1;3288.0;100.0;100.0;100.0
5;Particuliere huishoudens;Totaal;Ten minste 1 jaar;Nederland;2016;7240.2;16100.8;3276.3;100.0;100.0;100.0
6;Particuliere huishoudens;Totaal;Ten minste 1 jaar;Nederland;2017;7319.1;16217.7;3257.7;100.0;100.0;100.0
7;Particuliere huishoudens;Totaal;Ten minste 1 jaar;Noord-Nederland (LD);2011;721.3;1628.1;343.8;100.0;100.0;100.0
8;Particuliere huishoudens;Totaal;Ten minste 1 jaar;Noord-Nederland (LD);2012;725.5;1628.1;341.0;100.0;100.0;100.0
9;Particuliere huishoudens;Totaal;Ten minste 1 jaar;Noord-Nederland (LD);2013;729.1;1626.4;337.1;100.0;100.0;100.0
10;Particuliere huishoudens;Totaal;Ten minste 1 jaar;Noord-Nederland (LD);2014;728.5;1619.6;332.6;100.0;100.0;100.0
11;Particuliere huishoudens;Totaal;Ten minste 1 jaar;Noord-Nederland (LD);2015;730.8;1617.1;328.5;100.0;100.0;100.0
12;Particuliere huishoudens;Totaal;Ten minste 1 jaar;Noord-Nederland (LD);2016;734.6;1617.0;324.6;100.0;100.0;100.0
13;Particuliere huishoudens;Totaal;Ten minste 1 jaar;Noord-Nederland (LD);2017;741.4;1622.4;320.4;100.0;100.0;100.0
