ID;Geslacht;Leeftijd;Migratieachtergrond;SamenstellingHuishouden;Perioden;PersonenMetUitgesprokenSchuldsanering_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1999;6340.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2000;8660.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2001;8640.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2002;9500.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2003;10615.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2004;14030.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2005;14645.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2006;14940.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2007;14955.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2008;9205.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2009;8960.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2010;11360.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2011;14695.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2012;13745.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2013;12340.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2014;12250.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2015;11690.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2016;9785.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2017;8360.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2018;5900.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2019;4625.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2020;2985.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2021;2300.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2022;1900.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;1999;1200.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2000;1905.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2001;1935.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2002;2130.0
28;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2003;2405.0
29;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2004;3325.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2005;3660.0
31;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2006;4015.0
32;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2007;4015.0
33;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2008;2495.0
34;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2009;2425.0
35;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2010;3110.0
36;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2011;4200.0
37;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2012;4080.0
38;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2013;3620.0
39;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2014;3675.0
40;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2015;3500.0
41;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2016;3015.0
42;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2017;2560.0
43;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2018;1905.0
44;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2019;1530.0
45;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2020;985.0
46;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2021;835.0
47;Totaal mannen en vrouwen;Totaal;Totaal;Eenpersoonshuishouden;2022;735.0
48;Totaal mannen en vrouwen;Totaal;Totaal;Eenouderhuishouden;1999;780.0
