ID;Geslacht;Leeftijd;MateVanArbeidsongeschiktheid;KenmerkenUitkeringsontvangers;Perioden;TotaalArbeidsongeschiktheidsuitkeringen_1;WAOUitkeringen_2;WAZUitkeringen_3;WajongUitkeringen_4;IVAUitkeringen_5;WGAUitkeringen_6
0;Totaal mannen en vrouwen;Totaal leeftijd;0;0;2010;831940.0;486320.0;30410.0;205140.0;28180.0;81900.0
1;Totaal mannen en vrouwen;Totaal leeftijd;0;0;2011;824540.0;443930.0;26030.0;216240.0;35980.0;102370.0
2;Totaal mannen en vrouwen;Totaal leeftijd;0;0;2012;816890.0;406160.0;22520.0;226480.0;42890.0;118840.0
3;Totaal mannen en vrouwen;Totaal leeftijd;0;0;2013;817840.0;373100.0;19580.0;238710.0;51540.0;134900.0
4;Totaal mannen en vrouwen;Totaal leeftijd;0;0;2014;820340.0;342970.0;17160.0;250600.0;61360.0;148240.0
5;Totaal mannen en vrouwen;Totaal leeftijd;0;0;2015;807340.0;315080.0;15100.0;247540.0;72100.0;157510.0
6;Totaal mannen en vrouwen;Totaal leeftijd;0;1;2010;69170.0;40490.0;2350.0;22050.0;1030.0;3250.0
7;Totaal mannen en vrouwen;Totaal leeftijd;0;1;2011;64040.0;35830.0;1960.0;21260.0;1260.0;3720.0
8;Totaal mannen en vrouwen;Totaal leeftijd;0;1;2012;59950.0;31860.0;1650.0;20620.0;1540.0;4280.0
9;Totaal mannen en vrouwen;Totaal leeftijd;0;1;2013;56310.0;28200.0;1400.0;20070.0;1880.0;4770.0
10;Totaal mannen en vrouwen;Totaal leeftijd;0;1;2014;52900.0;24840.0;1160.0;19500.0;2260.0;5140.0
11;Totaal mannen en vrouwen;Totaal leeftijd;0;1;2015;49270.0;21850.0;950.0;18580.0;2630.0;5260.0
12;Totaal mannen en vrouwen;Totaal leeftijd;0;2;2010;379910.0;184480.0;6520.0;150590.0;4320.0;34000.0
13;Totaal mannen en vrouwen;Totaal leeftijd;0;2;2011;388540.0;171520.0;5680.0;161240.0;5960.0;44130.0
14;Totaal mannen en vrouwen;Totaal leeftijd;0;2;2012;394630.0;159650.0;5010.0;170840.0;7440.0;51690.0
15;Totaal mannen en vrouwen;Totaal leeftijd;0;2;2013;404300.0;149200.0;4420.0;182080.0;9350.0;59240.0
16;Totaal mannen en vrouwen;Totaal leeftijd;0;2;2014;413960.0;139630.0;3980.0;192830.0;11670.0;65850.0
17;Totaal mannen en vrouwen;Totaal leeftijd;0;2;2015;411390.0;130340.0;3530.0;191240.0;14570.0;71700.0
18;Totaal mannen en vrouwen;Totaal leeftijd;0;3;2010;201600.0;155740.0;12800.0;5660.0;5710.0;21680.0
19;Totaal mannen en vrouwen;Totaal leeftijd;0;3;2011;192240.0;141020.0;10930.0;5900.0;7670.0;26720.0
20;Totaal mannen en vrouwen;Totaal leeftijd;0;3;2012;183720.0;127710.0;9420.0;6150.0;9340.0;31100.0
21;Totaal mannen en vrouwen;Totaal leeftijd;0;3;2013;177880.0;116430.0;8160.0;6480.0;11300.0;35510.0
22;Totaal mannen en vrouwen;Totaal leeftijd;0;3;2014;172440.0;105940.0;7130.0;6830.0;13700.0;38850.0
23;Totaal mannen en vrouwen;Totaal leeftijd;0;3;2015;166510.0;96480.0;6290.0;6750.0;16370.0;40620.0
24;Totaal mannen en vrouwen;Totaal leeftijd;0;4;2010;77440.0;41080.0;3320.0;20580.0;6160.0;6310.0
25;Totaal mannen en vrouwen;Totaal leeftijd;0;4;2011;77810.0;38240.0;2920.0;21210.0;7730.0;7720.0
26;Totaal mannen en vrouwen;Totaal leeftijd;0;4;2012;78000.0;35530.0;2570.0;21780.0;9200.0;8930.0
