ID;Geslacht;Leeftijd;Marges;Perioden;ZiekteverzuimpercentageWerknemers_1;AandeelWerknemersDieHebbenVerzuimd_2;AantalKeerVerzuimd_3;AantalWerkdagenVerzuimd_4;AantalWerkdagenMeestRecenteVerzuim_5;k_1Tot5Werkdagen_6;k_5Tot20Werkdagen_7;k_20Tot210Werkdagen_8;k_210WerkdagenOfMeer_9;Rug_10;NekSchoudersArmenPolsenHanden_11;HeupBenenKnieenVoeten_12;HartEnVaatstelsel_13;PsychischOverspannenheidBurnOut_14;VermoeidheidOfConcentratieproblemen_15;ConflictOpHetWerk_16;Luchtwegen_17;BuikMaagOfDarmen_18;Huid_19;OrenOfOgen_20;GriepOfVerkoudheid_21;Hoofdpijn_22;KlachtenInVerbandMetZwangerschap_23;OverigeKlachten_24;GriepVerkoudheidOfAnderVirus_25;Hoofdpijn_26;PsychischOverspannenheidBurnOut_27;VermoeidheidOfConcentratieproblemen_28;Rug_29;NekSchoudersArmenPolsenHanden_30;HeupBenenKnieenVoeten_31;HartEnVaatstelsel_32;BuikMaagOfDarmen_33;Luchtwegen_34;Huid_35;OrenOfOgen_36;OverigeKlachten_37;Zwangerschapsklachten_38;Menstruatieklachten_39;Overgangsklachten_40;MenstruatieOfOvergangsklachten_41;JaHoofdzakelijkGevolgVanMijnWerk_42;JaVoorEenDeelGevolgVanMijnWerk_43;NeeGeenGevolgVanMijnWerk_44;WeetNiet_45;WerkdrukWerkstress_46;EmotioneelTeZwaar_47;LichamelijkTeZwaar_48;LangdurigDezelfdeHandelingOfPcWerk_49;TeMoeilijkWerk_50;ProblemenMetLeidingWerkgever_51;ProblemenMetCollegaOfOndergeschikte_52;ProblemenMetKlanten_53;GevaarlijkWerkBedrijfsongeval_54;GevaarlijkeStoffen_55;AndereReden_56;TeHogeWerkdruk_57;LangDezelfdeBewegingenDoen_58;LangAchterDeComputerWerken_59;SlechteFysiekeWerkomstandigheden_60;LichamelijkTeZwaarWerk_61;EmotioneelTeZwaarWerk_62;RuzieConflictOngewenstGedrag_63;ArbeidsongevalOfOngeluk_64;BesmettingOpHetWerk_65;AndereReden_66
0;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2014;3.7;43.0;2.4;15.2;13.3;68.7;19.2;10.9;1.1;6.1;5.4;5.0;1.4;5.7;2.8;0.6;2.7;9.6;0.6;1.0;43.2;5.3;1.8;11.9;;;;;;;;;;;;;;;;;;8.9;17.1;69.3;4.8;38.9;3.5;15.3;10.4;0.2;7.0;1.5;0.9;1.9;0.4;20.0;;;;;;;;;;
1;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2015;4.0;44.9;2.3;15.6;13.6;68.3;19.3;11.5;1.0;6.1;4.9;5.3;1.3;6.2;2.2;0.5;2.6;7.8;0.5;1.0;46.8;5.2;1.4;11.1;;;;;;;;;;;;;;;;;;8.5;15.5;70.6;5.4;36.8;3.7;16.9;10.9;0.4;5.6;2.2;0.8;1.7;0.5;20.5;;;;;;;;;;
2;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2016;3.8;45.7;2.5;15.0;13.0;69.3;18.7;11.0;1.0;5.8;4.7;4.7;1.4;6.2;2.8;0.5;2.7;8.6;0.6;1.1;46.0;5.1;1.3;11.5;;;;;;;;;;;;;;;;;;8.6;16.1;70.5;4.7;38.6;3.5;16.7;10.4;0.5;5.8;1.4;0.6;1.5;0.6;20.2;;;;;;;;;;
3;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2017;4.0;44.0;2.4;16.0;14.2;68.7;18.5;11.7;1.1;5.6;5.2;4.9;1.4;7.4;2.8;0.5;2.4;8.5;0.6;1.0;44.8;4.9;1.1;11.4;;;;;;;;;;;;;;;;;;10.3;16.9;67.8;5.0;40.1;3.4;16.1;10.4;0.4;6.0;1.7;0.6;1.5;0.5;19.3;;;;;;;;;;
4;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2018;4.4;47.9;2.7;16.2;13.7;67.8;19.8;11.4;1.0;5.3;4.6;4.7;1.5;7.2;2.5;0.6;2.2;8.4;0.6;1.2;47.1;4.9;1.4;11.0;;;;;;;;;;;;;;;;;;9.4;16.1;69.7;4.8;38.2;3.3;16.2;10.2;0.4;6.0;2.1;0.8;1.8;0.7;20.4;;;;;;;;;;
5;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2019;4.5;46.8;2.7;17.1;14.7;68.4;18.4;12.1;1.1;5.3;4.9;4.8;1.3;8.1;2.6;0.6;2.4;8.2;0.5;1.1;45.5;4.9;1.5;11.2;;;;;;;;;;;;;;;;;;9.7;16.5;68.2;5.6;38.5;3.6;16.3;9.5;0.3;6.4;2.3;0.8;1.7;0.6;19.7;;;;;;;;;;
6;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2020;4.3;43.6;2.7;17.8;15.4;62.8;23.3;12.7;1.2;5.3;4.8;4.1;1.4;7.4;2.5;0.6;2.9;7.3;0.5;1.1;43.0;6.1;1.5;14.9;;;;;;;;;;;;;;;;;;9.4;14.6;69.4;6.6;35.1;3.2;16.0;9.9;0.4;5.5;2.2;1.3;2.0;0.6;23.9;;;;;;;;;;
7;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2021;4.6;43.6;2.8;19.1;16.7;61.8;23.4;13.5;1.3;5.0;4.0;4.0;1.2;8.6;3.1;0.5;2.5;7.0;0.4;1.0;40.2;5.3;1.4;18.5;;;;;;;;;;;;;;;;;;10.1;15.7;67.2;7.0;37.8;3.8;15.2;8.3;0.8;5.4;1.7;1.0;1.7;0.2;24.0;;;;;;;;;;
8;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2022;5.2;57.6;2.7;16.2;13.1;63.7;25.9;9.3;1.0;;;;;;;;;;;;;;;;63.6;3.6;6.7;1.9;3.2;2.8;2.9;1.0;3.6;1.3;0.3;0.7;8.5;3.1;4.5;2.3;6.7;7.6;12.9;72.7;6.8;;;;;;;;;;;;28.6;5.4;5.1;1.6;10.6;4.6;4.9;2.6;21.8;14.6
9;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2023;4.8;50.8;2.8;16.8;14.2;69.9;18.3;10.6;1.2;;;;;;;;;;;;;;;;55.2;5.0;7.9;2.4;3.8;3.3;3.6;1.0;4.9;1.4;0.4;0.9;10.0;3.2;6.3;3.2;9.3;7.8;14.4;71.5;6.3;;;;;;;;;;;;29.7;6.0;5.5;2.7;11.5;5.7;6.3;3.0;14.2;15.5
10;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2024;4.9;51.6;2.9;17.1;14.2;70.6;17.5;10.7;1.2;;;;;;;;;;;;;;;;55.5;4.8;8.2;2.3;3.8;3.3;3.7;1.0;4.9;1.3;0.4;0.9;9.8;3.2;6.3;3.6;9.6;7.7;14.7;71.4;6.2;;;;;;;;;;;;27.2;5.5;6.1;2.7;12.3;5.8;6.3;2.8;14.6;16.6
11;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2014;3.6;42.4;2.3;14.7;12.7;67.9;18.6;10.4;1.0;5.7;5.0;4.7;1.3;5.3;2.6;0.5;2.5;9.1;0.5;0.8;42.4;5.0;1.5;11.3;;;;;;;;;;;;;;;;;;8.4;16.5;68.5;4.4;37.3;2.9;14.2;9.5;0.1;6.2;1.2;0.7;1.5;0.2;18.7;;;;;;;;;;
12;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2015;3.8;44.4;2.3;15.2;13.0;67.6;18.7;11.0;0.8;5.8;4.6;5.0;1.2;5.9;2.0;0.4;2.4;7.4;0.4;0.9;46.1;4.9;1.2;10.6;;;;;;;;;;;;;;;;;;8.1;15.0;69.9;5.1;35.4;3.2;15.7;10.0;0.3;4.9;1.8;0.5;1.4;0.3;19.2;;;;;;;;;;
13;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2016;3.7;45.2;2.4;14.6;12.5;68.7;18.2;10.5;0.8;5.4;4.4;4.4;1.2;5.9;2.6;0.4;2.5;8.2;0.5;0.9;45.2;4.8;1.2;11.1;;;;;;;;;;;;;;;;;;8.2;15.6;69.8;4.4;37.2;3.0;15.6;9.6;0.3;5.2;1.1;0.4;1.2;0.4;19.1;;;;;;;;;;
14;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2017;3.8;43.5;2.3;15.5;13.6;68.0;17.9;11.2;1.0;5.3;4.9;4.6;1.3;7.0;2.6;0.4;2.2;8.1;0.5;0.9;44.0;4.6;1.0;11.0;;;;;;;;;;;;;;;;;;9.9;16.3;67.0;4.7;38.7;2.9;15.0;9.5;0.2;5.4;1.4;0.4;1.2;0.3;18.2;;;;;;;;;;
15;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2018;4.2;47.5;2.6;15.8;13.2;67.2;19.3;11.0;0.8;5.0;4.3;4.4;1.3;6.9;2.3;0.5;2.1;8.1;0.5;1.1;46.4;4.6;1.3;10.6;;;;;;;;;;;;;;;;;;9.1;15.6;69.1;4.5;37.0;2.8;15.3;9.5;0.3;5.4;1.8;0.6;1.5;0.5;19.4;;;;;;;;;;
16;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2019;4.4;46.4;2.6;16.6;14.1;67.7;17.9;11.7;1.0;5.0;4.6;4.6;1.2;7.8;2.4;0.5;2.2;7.9;0.4;0.9;44.8;4.6;1.4;10.8;;;;;;;;;;;;;;;;;;9.4;16.0;67.6;5.3;37.3;3.2;15.3;8.8;0.2;5.8;2.0;0.6;1.4;0.5;18.7;;;;;;;;;;
17;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2020;4.2;43.1;2.7;17.3;14.8;62.2;22.7;12.3;1.0;5.0;4.5;3.8;1.2;7.0;2.3;0.5;2.7;7.0;0.4;1.0;42.3;5.8;1.4;14.5;;;;;;;;;;;;;;;;;;9.0;14.1;68.7;6.2;33.8;2.7;15.0;9.1;0.2;4.9;1.8;1.0;1.6;0.4;22.7;;;;;;;;;;
18;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2021;4.5;43.1;2.7;18.5;16.1;61.1;22.7;13.0;1.1;4.6;3.7;3.8;1.0;8.2;2.8;0.4;2.3;6.6;0.3;0.8;39.5;5.0;1.2;17.9;;;;;;;;;;;;;;;;;;9.7;15.1;66.5;6.6;36.4;3.3;14.2;7.5;0.5;4.8;1.4;0.8;1.4;0.1;22.8;;;;;;;;;;
19;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2022;5.1;57.2;2.6;15.8;12.6;63.2;25.4;9.0;0.9;;;;;;;;;;;;;;;;63.1;3.4;6.4;1.7;3.0;2.6;2.7;0.9;3.3;1.1;0.2;0.6;8.2;2.7;4.0;2.0;6.1;7.3;12.6;72.2;6.5;;;;;;;;;;;;27.4;4.8;4.6;1.3;9.8;4.1;4.3;2.2;20.8;13.7
20;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2023;4.6;50.4;2.7;16.4;13.7;69.3;17.9;10.2;1.1;;;;;;;;;;;;;;;;54.6;4.8;7.6;2.2;3.5;3.1;3.4;0.9;4.7;1.2;0.3;0.8;9.7;2.8;5.7;2.8;8.6;7.5;13.9;70.9;6.0;;;;;;;;;;;;28.5;5.4;4.9;2.3;10.6;5.1;5.6;2.5;13.4;14.5
21;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2024;4.7;51.1;2.8;16.7;13.7;70.1;17.0;10.3;1.1;;;;;;;;;;;;;;;;54.9;4.6;7.9;2.1;3.6;3.1;3.5;0.9;4.6;1.2;0.4;0.8;9.4;2.8;5.7;3.2;8.9;7.4;14.3;70.8;5.9;;;;;;;;;;;;26.1;5.0;5.5;2.3;11.5;5.2;5.7;2.4;13.7;15.7
22;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2014;3.8;43.5;2.5;15.7;14.0;69.5;19.9;11.5;1.3;6.5;5.8;5.4;1.6;6.1;3.1;0.7;3.0;10.1;0.7;1.1;44.1;5.7;2.0;12.4;;;;;;;;;;;;;;;;;;9.4;17.8;70.0;5.1;40.5;4.1;16.6;11.5;0.5;7.8;2.0;1.3;2.4;0.7;21.4;;;;;;;;;;
23;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2015;4.1;45.4;2.4;16.1;14.2;69.0;19.9;12.0;1.1;6.5;5.2;5.6;1.5;6.6;2.5;0.6;2.9;8.2;0.7;1.2;47.6;5.5;1.6;11.5;;;;;;;;;;;;;;;;;;8.9;16.1;71.2;5.8;38.3;4.4;18.0;11.9;0.7;6.3;2.7;1.1;2.2;0.8;21.7;;;;;;;;;;
24;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2016;3.9;46.1;2.5;15.5;13.6;70.0;19.3;11.4;1.1;6.1;5.0;5.1;1.5;6.6;3.1;0.6;2.9;9.0;0.7;1.2;46.8;5.4;1.5;12.0;;;;;;;;;;;;;;;;;;9.1;16.7;71.2;5.0;40.1;4.1;17.8;11.4;0.8;6.5;1.8;0.9;2.0;0.9;21.5;;;;;;;;;;
25;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2017;4.1;44.5;2.5;16.5;14.8;69.4;19.1;12.2;1.3;6.0;5.6;5.3;1.6;7.8;3.1;0.7;2.7;8.9;0.7;1.2;45.6;5.2;1.3;11.9;;;;;;;;;;;;;;;;;;10.8;17.5;68.5;5.4;41.5;4.0;17.2;11.3;0.6;6.7;2.2;0.9;1.9;0.7;20.5;;;;;;;;;;
26;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2018;4.5;48.4;2.7;16.6;14.2;68.4;20.3;11.8;1.1;5.6;4.8;4.9;1.6;7.5;2.7;0.7;2.4;8.8;0.7;1.3;47.7;5.1;1.6;11.4;;;;;;;;;;;;;;;;;;9.8;16.5;70.3;5.1;39.4;3.7;17.1;11.0;0.6;6.6;2.4;1.0;2.2;1.0;21.4;;;;;;;;;;
