ID;RedenenVoorEchtScheiding;Geslacht;ScheidingNaEenHuwelijk_1;ScheidingNaNietGehuwdSamenwonen_2
0;100;Mannen;29.3;42.0
1;100;Vrouwen;15.2;34.4
2;Geen vertrouwen meer;Mannen;24.3;21.2
3;Geen vertrouwen meer;Vrouwen;19.3;30.6
4;200;Mannen;19.3;25.5
5;200;Vrouwen;13.2;30.3
6;800;Mannen;13.8;12.6
7;800;Vrouwen;18.1;25.7
8;400;Mannen;8.3;21.6
9;400;Vrouwen;10.3;20.6
10;Sociale / culturele verschillen;Mannen;6.1;9.1
11;Sociale / culturele verschillen;Vrouwen;7.8;11.9
12;900;Mannen;6.0;4.3
13;900;Vrouwen;6.2;5.0
14;500;Mannen;5.5;7.4
15;500;Vrouwen;1.7;6.0
16;600;Mannen;4.4;11.7
17;600;Vrouwen;6.2;8.3
18;300;Mannen;4.4;2.6
19;300;Vrouwen;2.5;7.3
20;Lichamelijk geweld;Mannen;2.2;0.4
21;Lichamelijk geweld;Vrouwen;4.5;8.7
22;700;Mannen;1.1;0.4
23;700;Vrouwen;7.0;9.2
24;Andere reden;Mannen;18.2;12.5
25;Andere reden;Vrouwen;11.2;8.7
