ID;Geldgevers;Perioden;GevestigdeSchuldInMiljardEuro_1;GevestigdeSchuldInProcenten_2
0;Totaal geldgevers;1998;246;100.0
1;Totaal geldgevers;1999;229;100.0
2;Totaal geldgevers;2000;217;100.0
3;Totaal geldgevers;2001;218;100.0
4;Totaal geldgevers;2002;221;100.0
5;Totaal geldgevers;2003;229;100.0
6;Totaal geldgevers;2004;247;100.0
7;Totaal geldgevers;2005;254;100.0
8;Totaal geldgevers;2006;240;100.0
9;Totaal geldgevers;2007;230;100.0
10;Totaal geldgevers;2008**;260;100.0
11;Totaal geldgevers;2009*;289;100.0
12;Totaal binnenland;1998;198;80.5
13;Totaal binnenland;1999;167;73.1
14;Totaal binnenland;2000;145;67.0
15;Totaal binnenland;2001;127;58.0
16;Totaal binnenland;2002;120;54.2
17;Totaal binnenland;2003;117;51.0
18;Totaal binnenland;2004;116;47.1
19;Totaal binnenland;2005;112;44.1
20;Totaal binnenland;2006;104;43.1
21;Totaal binnenland;2007;99;43.0
22;Totaal binnenland;2008**;90;34.6
23;Totaal binnenland;2009*;100;34.5
24;Geldscheppende financiële instellingen;1998;64;26.2
25;Geldscheppende financiële instellingen;1999;60;26.2
26;Geldscheppende financiële instellingen;2000;51;23.4
27;Geldscheppende financiële instellingen;2001;48;22.0
28;Geldscheppende financiële instellingen;2002;50;22.6
29;Geldscheppende financiële instellingen;2003;54;23.5
30;Geldscheppende financiële instellingen;2004;55;22.4
31;Geldscheppende financiële instellingen;2005;55;21.5
32;Geldscheppende financiële instellingen;2006;53;22.1
33;Geldscheppende financiële instellingen;2007;52;22.6
34;Geldscheppende financiële instellingen;2008**;54;20.7
35;Geldscheppende financiële instellingen;2009*;55;19.0
36;Pensioenfondsen en verzekeraars;1998;114;46.3
37;Pensioenfondsen en verzekeraars;1999;90;39.2
38;Pensioenfondsen en verzekeraars;2000;78;36.0
39;Pensioenfondsen en verzekeraars;2001;61;28.0
40;Pensioenfondsen en verzekeraars;2002;54;24.2
41;Pensioenfondsen en verzekeraars;2003;47;20.4
42;Pensioenfondsen en verzekeraars;2004;45;18.4
43;Pensioenfondsen en verzekeraars;2005;45;17.9
44;Pensioenfondsen en verzekeraars;2006;40;16.8
45;Pensioenfondsen en verzekeraars;2007;38;16.5
46;Pensioenfondsen en verzekeraars;2008**;26;10.0
47;Pensioenfondsen en verzekeraars;2009*;32;11.1
48;Beleggingsinstellingen;1998;6;2.3
49;Beleggingsinstellingen;1999;4;1.6
50;Beleggingsinstellingen;2000;2;1.1
51;Beleggingsinstellingen;2001;2;0.8
52;Beleggingsinstellingen;2002;2;0.8
53;Beleggingsinstellingen;2003;2;0.9
54;Beleggingsinstellingen;2004;2;0.9
55;Beleggingsinstellingen;2005;2;0.8
56;Beleggingsinstellingen;2006;2;0.7
57;Beleggingsinstellingen;2007;1;0.5
58;Beleggingsinstellingen;2008**;1;0.3
59;Beleggingsinstellingen;2009*;2;0.8
60;Overige financiële instellingen;1998;2;0.6
61;Overige financiële instellingen;1999;2;1.0
62;Overige financiële instellingen;2000;2;0.9
63;Overige financiële instellingen;2001;2;0.8
64;Overige financiële instellingen;2002;3;1.3
65;Overige financiële instellingen;2003;2;0.9
66;Overige financiële instellingen;2004;2;1.0
67;Overige financiële instellingen;2005;3;1.1
68;Overige financiële instellingen;2006;2;0.9
69;Overige financiële instellingen;2007;1;0.6
70;Overige financiële instellingen;2008**;2;0.6
71;Overige financiële instellingen;2009*;3;0.9
72;Overige binnenland;1998;12;5.1
73;Overige binnenland;1999;12;5.1
74;Overige binnenland;2000;12;5.6
75;Overige binnenland;2001;14;6.4
76;Overige binnenland;2002;12;5.3
77;Overige binnenland;2003;12;5.3
78;Overige binnenland;2004;11;4.4
79;Overige binnenland;2005;7;2.8
80;Overige binnenland;2006;6;2.6
81;Overige binnenland;2007;6;2.8
82;Overige binnenland;2008**;8;3.0
83;Overige binnenland;2009*;8;2.6
84;Buitenland;1998;48;19.5
85;Buitenland;1999;62;26.9
86;Buitenland;2000;72;33.0
87;Buitenland;2001;92;42.0
88;Buitenland;2002;101;45.8
89;Buitenland;2003;112;49.0
90;Buitenland;2004;131;52.9
91;Buitenland;2005;142;55.9
92;Buitenland;2006;137;56.9
93;Buitenland;2007;131;57.0
94;Buitenland;2008**;170;65.4
95;Buitenland;2009*;189;65.5
