ID;KenmerkenWerknemers;Marges;Perioden;RegelmatigVeelKrachtZetten_1;RegelmatigHardPraten_2;RegelmatigTeMakenMetTrillingen_3;GevaarlijkWerkTot2018_4;GevaarlijkWerkVanaf2018_5;Vallen_6;Struikelen_7;Bekneld_8;Snijden_9;Botsen_10;GevaarlijkeStoffen_11;Geweld_12;Verbranden_13;Verstikking_14;Anders_15;WaterigeOplossingen_16;StoffenOpHuid_17;AdemtStoffenIn_18;BesmettePersonen_19;WerktMetOfDichtbijOngezondeStoffen_20;Besmettingskans_21;BesmettingskansViaPatienten_22;BesmettingskansViaAndereMensen_23;BesmettingskansViaDieren_24;BesmettingskansViaWater_25;BesmettingskansViaOnderzoeksmateriaal_26;BesmettingskansViaAnderMateriaal_27;InOngemakkelijkeWerkhoudingWerken_28;TijdensWerkRepeterendeBewegingMaken_29;UurPerDagAanBeeldschermVoorWerk_30
0;Totaal ;Waarde;2014;20.4;6.7;8.7;3.9;;;;;;;;;;;;16.3;8.7;7.2;5.1;;;;;;;;;10.0;34.3;3.9
1;Totaal ;Waarde;2015;20.4;7.0;8.9;4.3;;;;;;;;;;;;15.8;8.6;7.3;5.2;;;;;;;;;10.3;34.5;3.9
2;Totaal ;Waarde;2016;20.3;7.2;9.0;4.1;;;;;;;;;;;;15.7;8.9;7.8;5.7;;;;;;;;;10.1;33.9;3.9
3;Totaal ;Waarde;2017;21.0;7.5;9.5;4.3;;;;;;;;;;;;15.8;9.2;8.1;5.8;;;;;;;;;10.8;34.2;4.0
4;Totaal ;Waarde;2018;20.1;7.5;8.6;;15.5;1.9;5.7;1.8;5.2;4.5;2.2;2.6;2.6;0.5;2.6;15.6;9.0;8.2;6.3;;;;;;;;;10.7;33.1;4.0
5;Totaal ;Waarde;2019;20.1;7.8;8.6;;15.6;2.1;5.8;1.9;5.2;4.6;2.2;2.7;2.6;0.5;2.5;15.4;9.1;8.3;6.4;;;;;;;;;10.6;32.4;4.1
6;Totaal ;Waarde;2020;17.6;6.7;8.1;;12.8;1.7;4.5;1.6;4.0;3.7;1.7;2.0;2.0;0.3;2.4;13.4;8.0;7.0;9.9;;;;;;;;;9.2;29.8;4.4
7;Totaal ;Waarde;2021;18.2;6.7;8.2;;13.4;1.8;5.0;1.7;4.2;4.0;1.9;2.0;2.1;0.4;2.3;13.9;7.9;7.2;9.8;;;;;;;;;9.7;29.5;4.4
8;Totaal ;Waarde;2022;20.1;6.5;7.5;;13.5;1.7;4.9;1.5;4.3;3.9;2.0;2.1;2.2;0.4;2.2;;;;;6.3;52.2;13.6;41.3;1.5;1.8;0.9;2.9;9.4;28.7;4.3
9;Totaal ;Ondergrens 95%-interval;2014;20.0;6.4;8.3;3.7;;;;;;;;;;;;15.9;8.4;6.9;4.9;;;;;;;;;9.7;33.8;3.8
10;Totaal ;Ondergrens 95%-interval;2015;20.0;6.8;8.6;4.1;;;;;;;;;;;;15.4;8.3;7.0;5.0;;;;;;;;;10.0;34.1;3.9
11;Totaal ;Ondergrens 95%-interval;2016;19.9;7.0;8.7;3.9;;;;;;;;;;;;15.4;8.6;7.5;5.4;;;;;;;;;9.8;33.5;3.9
12;Totaal ;Ondergrens 95%-interval;2017;20.6;7.2;9.2;4.1;;;;;;;;;;;;15.4;8.9;7.8;5.5;;;;;;;;;10.5;33.7;4.0
