ID;Landen;Perioden;VergrijzingPrognose_1;OntgroeningPrognose_2
0;Australië;2000;18.6;31.0
1;Australië;2010;20.0;28.1
2;Australië;2020;26.0;28.4
3;Australië;2030;31.5;28.1
4;Australië;2040;34.5;27.4
5;Australië;2050;36.3;27.2
6;België;2000;25.6;26.8
7;België;2010;26.0;25.7
8;België;2020;30.4;27.8
9;België;2030;36.9;28.5
10;België;2040;40.6;28.0
11;België;2050;41.7;28.6
12;Canada;2000;18.4;28.1
13;Canada;2010;20.4;23.7
14;Canada;2020;27.6;25.7
15;Canada;2030;36.9;26.8
16;Canada;2040;39.6;25.6
17;Canada;2050;41.2;26.1
18;Denemarken;2000;22.2;27.7
19;Denemarken;2010;25.3;27.5
20;Denemarken;2020;31.7;26.8
21;Denemarken;2030;37.4;28.5
22;Denemarken;2040;42.0;29.8
23;Denemarken;2050;40.2;28.3
24;Duitsland;2000;24.2;23.0
25;Duitsland;2010;31.3;20.4
26;Duitsland;2020;36.4;19.5
27;Duitsland;2030;48.9;21.0
28;Duitsland;2040;57.0;20.4
29;Duitsland;2050;59.5;20.2
30;Finland;2000;22.3;27.1
31;Finland;2010;26.1;25.0
32;Finland;2020;36.3;27.0
33;Finland;2030;43.3;27.5
34;Finland;2040;44.7;26.4
35;Finland;2050;46.4;26.7
36;Frankrijk;2000;24.7;29.0
37;Frankrijk;2010;26.0;28.4
38;Frankrijk;2020;33.4;29.0
39;Frankrijk;2030;39.8;28.8
40;Frankrijk;2040;44.8;29.1
41;Frankrijk;2050;45.9;29.2
42;Hongarije;2000;22.1;24.6
43;Hongarije;2010;24.3;21.4
44;Hongarije;2020;31.0;23.4
45;Hongarije;2030;33.6;22.5
46;Hongarije;2040;38.2;21.9
47;Hongarije;2050;45.5;23.4
48;Ierland;2000;16.7;32.5
49;Ierland;2010;17.0;31.7
50;Ierland;2020;22.7;30.0
51;Ierland;2030;28.6;25.9
52;Ierland;2040;36.4;26.2
53;Ierland;2050;45.6;27.7
54;Italië;2000;27.1;21.2
55;Italië;2010;30.8;21.4
56;Italië;2020;36.6;20.6
57;Italië;2030;45.0;20.1
58;Italië;2040;58.2;22.4
59;Italië;2050;62.5;23.7
60;Japan;2000;25.5;21.4
61;Japan;2010;36.1;20.6
62;Japan;2020;49.2;19.8
63;Japan;2030;54.4;17.8
64;Japan;2040;66.8;18.5
65;Japan;2050;75.3;18.8
66;Nederland;2000;20.0;27.4
67;Nederland;2010;23.0;26.1
68;Nederland;2020;31.2;25.4
69;Nederland;2030;40.7;27.0
70;Nederland;2040;47.3;27.6
71;Nederland;2050;46.5;26.6
72;Oostenrijk;2000;22.8;25.2
73;Oostenrijk;2010;26.1;21.9
74;Oostenrijk;2020;29.7;21.7
75;Oostenrijk;2030;38.8;22.9
76;Oostenrijk;2040;46.0;22.9
77;Oostenrijk;2050;48.5;22.8
78;Polen;2000;17.9;28.5
79;Polen;2010;18.9;21.4
80;Polen;2020;27.8;23.6
81;Polen;2030;34.8;21.4
82;Polen;2040;39.9;19.2
83;Polen;2050;53.0;21.9
84;Spanje;2000;24.6;21.6
85;Spanje;2010;24.9;22.1
86;Spanje;2020;31.5;23.1
87;Spanje;2030;42.4;20.7
88;Spanje;2040;58.5;22.0
89;Spanje;2050;71.3;24.4
90;Tsjechië;2000;19.8;23.5
91;Tsjechië;2010;21.9;20.4
92;Tsjechië;2020;31.2;24.2
93;Tsjechië;2030;36.6;21.9
94;Tsjechië;2040;44.4;21.3
95;Tsjechië;2050;56.6;25.2
96;Verenigd Koninkrijk;2000;24.3;29.2
97;Verenigd Koninkrijk;2010;24.1;26.6
98;Verenigd Koninkrijk;2020;30.1;28.1
99;Verenigd Koninkrijk;2030;35.7;27.7
100;Verenigd Koninkrijk;2040;39.5;27.1
101;Verenigd Koninkrijk;2050;40.5;27.5
102;Verenigde Staten;2000;18.8;32.3
103;Verenigde Staten;2010;19.5;29.5
104;Verenigde Staten;2020;26.1;29.8
105;Verenigde Staten;2030;33.3;30.7
106;Verenigde Staten;2040;34.4;29.7
107;Verenigde Staten;2050;34.3;29.4
108;Zuid-Korea;2000;10.1;29.4
109;Zuid-Korea;2010;15.2;22.2
110;Zuid-Korea;2020;22.1;18.6
111;Zuid-Korea;2030;38.6;20.0
112;Zuid-Korea;2040;57.2;19.8
113;Zuid-Korea;2050;71.0;18.9
114;Zweden;2000;26.8;28.7
115;Zweden;2010;28.1;25.5
116;Zweden;2020;34.1;28.3
117;Zweden;2030;38.3;28.6
118;Zweden;2040;41.1;26.8
119;Zweden;2050;41.8;27.8
120;EU-15;2000;;
121;EU-15;2010;;
122;EU-15;2020;;
123;EU-15;2030;;
124;EU-15;2040;;
125;EU-15;2050;;
126;EU-27;2000;23.4;25.5
127;EU-27;2010;26.1;23.3
128;EU-27;2020;31.7;24.2
129;EU-27;2030;38.7;23.8
130;EU-27;2040;45.8;24.1
131;EU-27;2050;50.3;25.2
132;OESO;2000;19.6;30.9
133;OESO;2010;22.0;27.6
134;OESO;2020;28.0;26.8
135;OESO;2030;35.1;26.5
136;OESO;2040;40.7;26.1
137;OESO;2050;44.2;26.3
