ID;SoortVerhuur;Inkomensklasse;Perioden;HuurverhogingInclusiefHuurharmonisatie_1;HuurverhogingExclusiefHuurharmonisatie_2
0;Totaal;Totaal;2015;2.4;1.9
1;Totaal;Totaal;2016;1.9;1.4
2;Totaal;Totaal;2017;1.6;1.2
3;Totaal;Totaal;2018;2.3;1.8
4;Totaal;Totaal;2019;2.5;2.1
5;Totaal;Totaal;2020;2.9;2.4
6;Totaal;Totaal;2021;0.8;0.3
7;Totaal;Totaal;2022;3.0;2.4
8;Totaal;Totaal;2023;2.0;1.3
9;Totaal;Totaal;2024;5.4;4.7
10;Totaal;Hoog inkomen;2015;2.8;2.6
11;Totaal;Hoog inkomen;2016;2.5;2.1
12;Totaal;Hoog inkomen;2017;2.4;2.1
13;Totaal;Hoog inkomen;2018;4.2;4.2
14;Totaal;Hoog inkomen;2019;4.4;4.5
15;Totaal;Hoog inkomen;2020;5.5;5.2
16;Totaal;Hoog inkomen;2021;;
17;Totaal;Hoog inkomen;2022;;
18;Totaal;Hoog inkomen;2023;9.1;9.0
19;Totaal;Hoog inkomen;2024;10.2;10.1
20;Totaal;Middeninkomen;2015;;
21;Totaal;Middeninkomen;2016;;
22;Totaal;Middeninkomen;2017;;
23;Totaal;Middeninkomen;2018;;
24;Totaal;Middeninkomen;2019;;
25;Totaal;Middeninkomen;2020;;
26;Totaal;Middeninkomen;2021;;
27;Totaal;Middeninkomen;2022;;
28;Totaal;Middeninkomen;2023;5.1;4.9
29;Totaal;Middeninkomen;2024;6.2;6.1
30;Totaal;Laag inkomen;2015;2.2;1.7
31;Totaal;Laag inkomen;2016;1.6;1.1
32;Totaal;Laag inkomen;2017;1.4;0.9
33;Totaal;Laag inkomen;2018;2.1;1.8
34;Totaal;Laag inkomen;2019;2.1;1.8
35;Totaal;Laag inkomen;2020;2.8;2.4
36;Totaal;Laag inkomen;2021;;
37;Totaal;Laag inkomen;2022;;
38;Totaal;Laag inkomen;2023;0.2;-0.2
39;Totaal;Laag inkomen;2024;5.5;5.0
40;Totaal;Uitzonderingsgroep;2015;2.2;2.0
41;Totaal;Uitzonderingsgroep;2016;2.0;1.5
42;Totaal;Uitzonderingsgroep;2017;1.2;1.1
43;Totaal;Uitzonderingsgroep;2018;2.1;1.9
44;Totaal;Uitzonderingsgroep;2019;2.1;2.0
45;Totaal;Uitzonderingsgroep;2020;2.8;2.6
46;Totaal;Uitzonderingsgroep;2021;;
47;Totaal;Uitzonderingsgroep;2022;;
48;Totaal;Uitzonderingsgroep;2023;;
49;Totaal;Uitzonderingsgroep;2024;;
50;Totaal;Inkomen niet opgevraagd;2015;;
