ID;Geslacht;Leeftijd;HoogstBehaaldOnderwijsniveau;Onderwijsrichting;CaribischNederland;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Caribisch Nederland;2016;20260
1;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Caribisch Nederland;2018;20810
2;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Caribisch Nederland;2020;21590
3;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Caribisch Nederland;2022;23100
4;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Bonaire;2016;16050
5;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Bonaire;2018;16210
6;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Bonaire;2020;17400
7;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Bonaire;2022;18840
8;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Sint Eustatius;2016;2560
9;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Sint Eustatius;2018;2740
10;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Sint Eustatius;2020;2540
11;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Sint Eustatius;2022;2630
12;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Saba;2016;1650
13;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Saba;2018;1860
14;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Saba;2020;1640
15;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Saba;2022;1630
16;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;00 Algemeen;Caribisch Nederland;2016;8160
17;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;00 Algemeen;Caribisch Nederland;2018;8370
18;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;00 Algemeen;Caribisch Nederland;2020;9060
19;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;00 Algemeen;Caribisch Nederland;2022;9070
20;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;00 Algemeen;Bonaire;2016;6150
21;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;00 Algemeen;Bonaire;2018;6240
22;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;00 Algemeen;Bonaire;2020;6880
23;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;00 Algemeen;Bonaire;2022;7250
24;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;00 Algemeen;Sint Eustatius;2016;1380
25;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;00 Algemeen;Sint Eustatius;2018;1300
26;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;00 Algemeen;Sint Eustatius;2020;1390
27;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;00 Algemeen;Sint Eustatius;2022;1260
28;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;00 Algemeen;Saba;2016;630
29;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;00 Algemeen;Saba;2018;820
30;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;00 Algemeen;Saba;2020;800
31;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;00 Algemeen;Saba;2022;560
32;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;01 Onderwijs;Caribisch Nederland;2016;910
33;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;01 Onderwijs;Caribisch Nederland;2018;860
34;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;01 Onderwijs;Caribisch Nederland;2020;770
35;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;01 Onderwijs;Caribisch Nederland;2022;1210
36;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;01 Onderwijs;Bonaire;2016;730
37;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;01 Onderwijs;Bonaire;2018;660
38;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;01 Onderwijs;Bonaire;2020;590
39;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;01 Onderwijs;Bonaire;2022;1020
40;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;01 Onderwijs;Sint Eustatius;2016;80
41;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;01 Onderwijs;Sint Eustatius;2018;120
42;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;01 Onderwijs;Sint Eustatius;2020;120
43;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;01 Onderwijs;Sint Eustatius;2022;100
44;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;01 Onderwijs;Saba;2016;100
45;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;01 Onderwijs;Saba;2018;90
46;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;01 Onderwijs;Saba;2020;50
47;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;01 Onderwijs;Saba;2022;90
48;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;02 Vormgeving, kunst, talen en gesch...;Caribisch Nederland;2016;310
49;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;02 Vormgeving, kunst, talen en gesch...;Caribisch Nederland;2018;450
50;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;02 Vormgeving, kunst, talen en gesch...;Caribisch Nederland;2020;260
51;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;02 Vormgeving, kunst, talen en gesch...;Caribisch Nederland;2022;680
52;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;02 Vormgeving, kunst, talen en gesch...;Bonaire;2016;220
53;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;02 Vormgeving, kunst, talen en gesch...;Bonaire;2018;380
54;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;02 Vormgeving, kunst, talen en gesch...;Bonaire;2020;200
55;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;02 Vormgeving, kunst, talen en gesch...;Bonaire;2022;450
56;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;02 Vormgeving, kunst, talen en gesch...;Sint Eustatius;2016;40
57;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;02 Vormgeving, kunst, talen en gesch...;Sint Eustatius;2018;30
58;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;02 Vormgeving, kunst, talen en gesch...;Sint Eustatius;2020;20
59;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;02 Vormgeving, kunst, talen en gesch...;Sint Eustatius;2022;170
60;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;02 Vormgeving, kunst, talen en gesch...;Saba;2016;40
61;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;02 Vormgeving, kunst, talen en gesch...;Saba;2018;40
62;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;02 Vormgeving, kunst, talen en gesch...;Saba;2020;50
63;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;02 Vormgeving, kunst, talen en gesch...;Saba;2022;70
64;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;03 Journalistiek, gedrag en maatschappij;Caribisch Nederland;2016;240
65;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;03 Journalistiek, gedrag en maatschappij;Caribisch Nederland;2018;230
66;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;03 Journalistiek, gedrag en maatschappij;Caribisch Nederland;2020;270
67;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;03 Journalistiek, gedrag en maatschappij;Caribisch Nederland;2022;400
68;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;03 Journalistiek, gedrag en maatschappij;Bonaire;2016;170
69;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;03 Journalistiek, gedrag en maatschappij;Bonaire;2018;200
70;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;03 Journalistiek, gedrag en maatschappij;Bonaire;2020;210
71;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;03 Journalistiek, gedrag en maatschappij;Bonaire;2022;350
72;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;03 Journalistiek, gedrag en maatschappij;Sint Eustatius;2016;40
73;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;03 Journalistiek, gedrag en maatschappij;Sint Eustatius;2018;10
74;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;03 Journalistiek, gedrag en maatschappij;Sint Eustatius;2020;20
