ID;Geslacht;LeeftijdBeginPeriode;ArbeidsmarktpositieEindePeriode;Perioden;TotaleBevolkingBeginPeriode_1;WerkzaamBeginPeriode_2;NietWerkzaamBeginPeriode_3;ImmigratieGeboorteTijdensPeriode_4
0;Totaal mannen en vrouwen;0;Totaal arbeidsmarktpositie einde periode;24 september 1999 tot 29 september 2000;15842.7;7395.1;8447.6;339.2
1;Totaal mannen en vrouwen;0;Totaal arbeidsmarktpositie einde periode;29 september 2000 tot 28 september 2001;15962.6;7562.7;8399.9;341.6
2;Totaal mannen en vrouwen;0;Totaal arbeidsmarktpositie einde periode;28 september 2001 tot 27 september 2002;16086.0;7711.0;8375.0;327.8
3;Totaal mannen en vrouwen;0;Totaal arbeidsmarktpositie einde periode;27 september 2002 tot 26 september 2003;16182.4;7758.9;8423.5;312.0
4;Totaal mannen en vrouwen;0;Totaal arbeidsmarktpositie einde periode;26 september 2003 tot 24 september 2004;16250.9;7718.1;8532.8;297.8
5;Totaal mannen en vrouwen;0;Totaal arbeidsmarktpositie einde periode;24 september 2004 tot 30 september 2005;16297.2;7625.7;8671.6;295.4
6;Totaal mannen en vrouwen;0;Totaal arbeidsmarktpositie einde periode;30 september 2005 tot 29 september 2006;16330.5;7651.9;8678.6;297.4
7;Totaal mannen en vrouwen;0;Totaal arbeidsmarktpositie einde periode;29 september 2006 tot 28 september 2007;16353.0;7774.0;8579.1;306.6
8;Totaal mannen en vrouwen;0;Totaal arbeidsmarktpositie einde periode;28 september 2007 tot 26 september 2008;16399.5;8039.7;8359.8;330.2
9;Totaal mannen en vrouwen;0;Werkzaam, einde periode;24 september 1999 tot 29 september 2000;7525.6;6879.4;646.2;37.1
10;Totaal mannen en vrouwen;0;Werkzaam, einde periode;29 september 2000 tot 28 september 2001;7672.5;7039.2;633.3;38.5
11;Totaal mannen en vrouwen;0;Werkzaam, einde periode;28 september 2001 tot 27 september 2002;7724.1;7156.0;568.1;34.8
12;Totaal mannen en vrouwen;0;Werkzaam, einde periode;27 september 2002 tot 26 september 2003;7687.7;7182.8;504.9;30.4
13;Totaal mannen en vrouwen;0;Werkzaam, einde periode;26 september 2003 tot 24 september 2004;7597.4;7107.5;489.9;28.2
14;Totaal mannen en vrouwen;0;Werkzaam, einde periode;24 september 2004 tot 30 september 2005;7622.1;7070.8;551.3;29.7
