ID;Sex;PersonalCharacteristics;SIC2008;Periods;EmployedLabourForce_1
0;Total male and female;Total persons;A-U All economic activities;2013 1st quarter;8427
1;Total male and female;Total persons;A-U All economic activities;2013 2nd quarter;8435
2;Total male and female;Total persons;A-U All economic activities;2013 3rd quarter;8443
3;Total male and female;Total persons;A-U All economic activities;2013 4th quarter;8426
4;Total male and female;Total persons;A-U All economic activities;2013;8433
5;Total male and female;Total persons;A-U All economic activities;2014 1st quarter;8320
6;Total male and female;Total persons;A-U All economic activities;2014 2nd quarter;8359
7;Total male and female;Total persons;A-U All economic activities;2014 3rd quarter;8417
8;Total male and female;Total persons;A-U All economic activities;2014 4th quarter;8433
9;Total male and female;Total persons;A-U All economic activities;2014;8382
10;Total male and female;Total persons;A-U All economic activities;2015 1st quarter;8395
11;Total male and female;Total persons;A-U All economic activities;2015 2nd quarter;8457
12;Total male and female;Total persons;A-U All economic activities;2015 3rd quarter;8499
13;Total male and female;Total persons;A-U All economic activities;2015 4th quarter;8480
14;Total male and female;Total persons;A-U All economic activities;2015;8458
15;Total male and female;Total persons;A-U All economic activities;2016 1st quarter;8456
16;Total male and female;Total persons;A-U All economic activities;2016 2nd quarter;8552
17;Total male and female;Total persons;A-U All economic activities;2016 3rd quarter;8628
18;Total male and female;Total persons;A-U All economic activities;2016 4th quarter;8644
19;Total male and female;Total persons;A-U All economic activities;2016;8570
20;Total male and female;Total persons;A-U All economic activities;2017 1st quarter;8640
21;Total male and female;Total persons;A-U All economic activities;2017 2nd quarter;8719
22;Total male and female;Total persons;A-U All economic activities;2017 3rd quarter;8804
23;Total male and female;Total persons;A-U All economic activities;2017 4th quarter;8815
24;Total male and female;Total persons;A-U All economic activities;2017;8744
25;Total male and female;Total persons;A-U All economic activities;2018 1st quarter;8819
26;Total male and female;Total persons;A-U All economic activities;2018 2nd quarter;8912
27;Total male and female;Total persons;A-U All economic activities;2018 3rd quarter;9000
28;Total male and female;Total persons;A-U All economic activities;2018 4th quarter;9026
29;Total male and female;Total persons;A-U All economic activities;2018;8939
30;Total male and female;Total persons;A-U All economic activities;2019 1st quarter;9030
31;Total male and female;Total persons;A-U All economic activities;2019 2nd quarter;9104
32;Total male and female;Total persons;A-U All economic activities;2019 3rd quarter;9156
33;Total male and female;Total persons;A-U All economic activities;2019 4th quarter;9177
34;Total male and female;Total persons;A-U All economic activities;2019;9117
35;Total male and female;Total persons;A-U All economic activities;2020 1st quarter;9174
36;Total male and female;Total persons;A-U All economic activities;2020 2nd quarter;9051
37;Total male and female;Total persons;A-U All economic activities;2020 3rd quarter;9100
38;Total male and female;Total persons;A-U All economic activities;2020 4th quarter;9138
39;Total male and female;Total persons;A-U All economic activities;2020;9116
40;Total male and female;Total persons;A-U All economic activities;2021 1st quarter;9135
41;Total male and female;Total persons;A-U All economic activities;2021 2nd quarter;9207
42;Total male and female;Total persons;A-U All economic activities;2021 3rd quarter;9309
43;Total male and female;Total persons;A-U All economic activities;2021 4th quarter;9370
44;Total male and female;Total persons;A-U All economic activities;2021;9255
45;Total male and female;Total persons;A-U All economic activities;2022 1st quarter;9412
46;Total male and female;Total persons;A-U All economic activities;2022 2nd quarter;9544
47;Total male and female;Total persons;A-U All economic activities;2022 3rd quarter;9573
48;Total male and female;Total persons;A-U All economic activities;2022 4th quarter;9663
49;Total male and female;Total persons;A-U All economic activities;2022;9548
50;Total male and female;Total persons;A-U All economic activities;2023 1st quarter;9668
51;Total male and female;Total persons;A-U All economic activities;2023 2nd quarter;9731
52;Total male and female;Total persons;A-U All economic activities;2023 3rd quarter;9752
53;Total male and female;Total persons;A-U All economic activities;2023 4th quarter;9796
54;Total male and female;Total persons;A-U All economic activities;2023;9737
55;Total male and female;Total persons;A-U All economic activities;2024 1st quarter;9767
56;Total male and female;Total persons;A-U All economic activities;2024 2nd quarter;9822
57;Total male and female;Total persons;A-U All economic activities;2024 3rd quarter;9792
58;Total male and female;Total persons;A-U All economic activities;2024 4th quarter;9809
59;Total male and female;Total persons;A-U All economic activities;2024;9798
60;Total male and female;Total persons;B-E Industry (no construction), energy;2013 1st quarter;880
61;Total male and female;Total persons;B-E Industry (no construction), energy;2013 2nd quarter;874
62;Total male and female;Total persons;B-E Industry (no construction), energy;2013 3rd quarter;870
63;Total male and female;Total persons;B-E Industry (no construction), energy;2013 4th quarter;873
64;Total male and female;Total persons;B-E Industry (no construction), energy;2013;874
65;Total male and female;Total persons;B-E Industry (no construction), energy;2014 1st quarter;866
66;Total male and female;Total persons;B-E Industry (no construction), energy;2014 2nd quarter;858
67;Total male and female;Total persons;B-E Industry (no construction), energy;2014 3rd quarter;878
68;Total male and female;Total persons;B-E Industry (no construction), energy;2014 4th quarter;865
69;Total male and female;Total persons;B-E Industry (no construction), energy;2014;867
70;Total male and female;Total persons;B-E Industry (no construction), energy;2015 1st quarter;885
71;Total male and female;Total persons;B-E Industry (no construction), energy;2015 2nd quarter;891
72;Total male and female;Total persons;B-E Industry (no construction), energy;2015 3rd quarter;906
73;Total male and female;Total persons;B-E Industry (no construction), energy;2015 4th quarter;930
74;Total male and female;Total persons;B-E Industry (no construction), energy;2015;903
75;Total male and female;Total persons;B-E Industry (no construction), energy;2016 1st quarter;902
76;Total male and female;Total persons;B-E Industry (no construction), energy;2016 2nd quarter;919
77;Total male and female;Total persons;B-E Industry (no construction), energy;2016 3rd quarter;932
