ID;ExportFlows;Countries;Periods;Earnings_1;LabourVolumeAttributedToExport_2;ContributionToGrossDomesticProduct_3;ContributionToLabourVolume_4
0;Total exports;Total;2015;237159;2186;34.4;31.2
1;Total exports;Total;2016;234427;2203;33.1;30.8
2;Total exports;Total;2017;250320;2303;33.9;31.5
3;Total exports;Total;2018;261167;2396;33.7;31.7
4;Total exports;Total;2019;270498;2438;33.3;31.6
5;Total exports;Total;2020;254240;2364;31.8;30.4
6;Total exports;Belgium;2015;20708;190;3.0;2.7
7;Total exports;Belgium;2016;21203;196;3.0;2.7
8;Total exports;Belgium;2017;22518;203;3.1;2.8
9;Total exports;Belgium;2018;23017;206;3.0;2.7
10;Total exports;Belgium;2019;24269;215;3.0;2.8
11;Total exports;Belgium;2020;22808;208;2.9;2.7
12;Total exports;Brazil;2015;2211;21;0.3;0.3
13;Total exports;Brazil;2016;2185;21;0.3;0.3
14;Total exports;Brazil;2017;1570;14;0.2;0.2
15;Total exports;Brazil;2018;1406;12;0.2;0.2
16;Total exports;Brazil;2019;1343;12;0.2;0.2
17;Total exports;Brazil;2020;1735;14;0.2;0.2
18;Total exports;Canada;2015;1561;14;0.2;0.2
19;Total exports;Canada;2016;1581;15;0.2;0.2
20;Total exports;Canada;2017;1890;18;0.3;0.2
21;Total exports;Canada;2018;2223;21;0.3;0.3
22;Total exports;Canada;2019;2603;24;0.3;0.3
23;Total exports;Canada;2020;2145;20;0.3;0.3
24;Total exports;China;2015;4668;43;0.7;0.6
25;Total exports;China;2016;5164;48;0.7;0.7
26;Total exports;China;2017;5383;49;0.7;0.7
27;Total exports;China;2018;5605;51;0.7;0.7
28;Total exports;China;2019;6390;58;0.8;0.7
29;Total exports;China;2020;7263;66;0.9;0.9
30;Total exports;Denmark;2015;3183;31;0.5;0.4
31;Total exports;Denmark;2016;3212;32;0.5;0.4
32;Total exports;Denmark;2017;3376;32;0.5;0.4
33;Total exports;Denmark;2018;4127;42;0.5;0.6
34;Total exports;Denmark;2019;3929;38;0.5;0.5
35;Total exports;Denmark;2020;4167;40;0.5;0.5
36;Total exports;Germany;2015;45236;414;6.6;5.9
37;Total exports;Germany;2016;44729;425;6.3;5.9
38;Total exports;Germany;2017;48114;448;6.5;6.1
39;Total exports;Germany;2018;49960;462;6.5;6.1
40;Total exports;Germany;2019;51241;469;6.3;6.1
41;Total exports;Germany;2020;47827;453;6.0;5.8
42;Total exports;France;2015;16055;147;2.3;2.1
43;Total exports;France;2016;15800;146;2.2;2.0
44;Total exports;France;2017;17493;160;2.4;2.2
45;Total exports;France;2018;17997;165;2.3;2.2
46;Total exports;France;2019;18423;166;2.3;2.1
47;Total exports;France;2020;17471;164;2.2;2.1
48;Total exports;Ireland;2015;3350;33;0.5;0.5
49;Total exports;Ireland;2016;3400;33;0.5;0.5
