ID;Geslacht;Leeftijd;TypeReIntegratieParticipatievoorz;StatusPersoon;Herkomstland;GeboortelandOuders;Perioden;PersonenMetVoorziening_1
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2023 januari;162540.0
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2023 februari;162700.0
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2023 maart;164230.0
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2023 april;164950.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2023 mei;165970.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2023 juni;165700.0
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2023 juli;166030.0
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2023 augustus;166740.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2023 september;168680.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2023 oktober;169250.0
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2023 november;171090.0
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2023 december;167630.0
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2024 januari;171730.0
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2024 februari;172840.0
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2024 maart;173430.0
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2024 april;173650.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2024 mei;174400.0
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2024 juni;173720.0
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2024 juli;173970.0
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2024 augustus;173890.0
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Totaal;2024 september;175650.0
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2023 januari;85730.0
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2023 februari;85830.0
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2023 maart;86460.0
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2023 april;86810.0
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2023 mei;87050.0
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2023 juni;86540.0
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2023 juli;87120.0
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2023 augustus;87110.0
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2023 september;87860.0
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2023 oktober;87960.0
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2023 november;88690.0
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2023 december;85970.0
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2024 januari;88700.0
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2024 februari;89340.0
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2024 maart;89620.0
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2024 april;89960.0
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2024 mei;90430.0
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2024 juni;90060.0
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2024 juli;90550.0
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2024 augustus;90340.0
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in Nederland;2024 september;91010.0
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in NL, ouders in NL;2023 januari;69070.0
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in NL, ouders in NL;2023 februari;69120.0
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in NL, ouders in NL;2023 maart;69540.0
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in NL, ouders in NL;2023 april;69770.0
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in NL, ouders in NL;2023 mei;69830.0
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in NL, ouders in NL;2023 juni;69380.0
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in NL, ouders in NL;2023 juli;69940.0
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Totaal;Geboren in NL, ouders in NL;2023 augustus;69910.0
