ID;Geslacht;Persoonskenmerken;GeregistreerdWerkzoekendeBijUWV;Perioden;BeroepsEnNietBeroepsbevolking_1;WerkzameBeroepsbevolking_2;WilMeerUrenWerkenBeschikbaar_3;WilNietMeerWerkenOfNietBeschikbaar_4;NietWerkzameBevolking_5;WerklozeBeroepsbevolking_6;Deeltijd_7;MinderDan20UurPerWeek_8;MinderDan12UurPerWeek_9;k_12Tot20UurPerWeek_10;k_20Tot35UurPerWeek_11;Voltijd_12;Onbekend_13;NietBeroepsbevolking_14;BeschikbaarNietGezocht_15;NietGezochtVanwegeOntmoediging_16;NietGezochtVanwegeAndereReden_17;GezochtNietBeschikbaar_18;NietGezochtNietBeschikbaar_19;WilWerken_20;WilOfKanNietWerken_21;VanwegeZorgGezinHuishouden_22;VanwegeOpleidingStudie_23;VanwegeVutPensioenHogeLeeftijd_24;VanwegeZiekteArbeidsongeschiktheid_25;VanwegeAndereRedenen_26
0;Totaal mannen en vrouwen;Totaal personen;Totaal;2013 1e kwartaal;12617.0;8427.0;803.0;7624.0;4190.0;735.0;398.0;176.0;103.0;74.0;221.0;321.0;17.0;3454.0;350.0;92.0;258.0;112.0;2993.0;166.0;2826.0;211.0;286.0;1464.0;644.0;221.0
1;Totaal mannen en vrouwen;Totaal personen;Totaal;2013 2e kwartaal;12631.0;8436.0;797.0;7639.0;4195.0;747.0;411.0;172.0;99.0;73.0;239.0;316.0;20.0;3448.0;337.0;92.0;246.0;145.0;2966.0;176.0;2790.0;203.0;253.0;1502.0;635.0;197.0
2;Totaal mannen en vrouwen;Totaal personen;Totaal;2013 3e kwartaal;12645.0;8443.0;817.0;7627.0;4201.0;764.0;437.0;184.0;107.0;77.0;252.0;309.0;19.0;3437.0;372.0;95.0;277.0;133.0;2932.0;173.0;2759.0;205.0;238.0;1488.0;629.0;198.0
3;Totaal mannen en vrouwen;Totaal personen;Totaal;2013 4e kwartaal;12659.0;8426.0;848.0;7579.0;4232.0;768.0;440.0;198.0;124.0;74.0;243.0;314.0;15.0;3464.0;364.0;98.0;265.0;112.0;2989.0;160.0;2829.0;199.0;287.0;1483.0;647.0;213.0
4;Totaal mannen en vrouwen;Totaal personen;Totaal;2013;12638.0;8433.0;816.0;7617.0;4205.0;754.0;421.0;183.0;108.0;74.0;239.0;315.0;18.0;3451.0;356.0;94.0;261.0;125.0;2970.0;169.0;2801.0;205.0;266.0;1484.0;639.0;207.0
5;Totaal mannen en vrouwen;Totaal personen;Totaal;2014 1e kwartaal;12665.0;8320.0;841.0;7479.0;4345.0;817.0;450.0;195.0;125.0;70.0;255.0;350.0;17.0;3528.0;383.0;103.0;280.0;112.0;3032.0;162.0;2870.0;214.0;311.0;1482.0;645.0;217.0
6;Totaal mannen en vrouwen;Totaal personen;Totaal;2014 2e kwartaal;12665.0;8360.0;830.0;7529.0;4305.0;770.0;431.0;175.0;105.0;70.0;256.0;319.0;21.0;3535.0;354.0;108.0;246.0;147.0;3034.0;188.0;2846.0;212.0;281.0;1493.0;636.0;223.0
7;Totaal mannen en vrouwen;Totaal personen;Totaal;2014 3e kwartaal;12664.0;8417.0;804.0;7613.0;4247.0;724.0;402.0;161.0;95.0;67.0;241.0;295.0;26.0;3524.0;374.0;107.0;268.0;140.0;3009.0;173.0;2836.0;213.0;259.0;1517.0;632.0;217.0
8;Totaal mannen en vrouwen;Totaal personen;Totaal;2014 4e kwartaal;12664.0;8433.0;804.0;7629.0;4231.0;738.0;429.0;191.0;114.0;76.0;239.0;288.0;21.0;3493.0;356.0;99.0;257.0;116.0;3021.0;164.0;2857.0;205.0;299.0;1509.0;648.0;195.0
9;Totaal mannen en vrouwen;Totaal personen;Totaal;2014;12665.0;8382.0;820.0;7563.0;4282.0;762.0;428.0;180.0;110.0;71.0;248.0;313.0;22.0;3520.0;367.0;104.0;262.0;129.0;3024.0;172.0;2852.0;211.0;288.0;1500.0;640.0;213.0
10;Totaal mannen en vrouwen;Totaal personen;Totaal;2015 1e kwartaal;12669.0;8395.0;821.0;7574.0;4274.0;777.0;446.0;196.0;119.0;77.0;249.0;307.0;24.0;3497.0;362.0;136.0;226.0;125.0;3010.0;171.0;2839.0;209.0;288.0;1500.0;644.0;198.0
11;Totaal mannen en vrouwen;Totaal personen;Totaal;2015 2e kwartaal;12680.0;8457.0;799.0;7657.0;4223.0;730.0;418.0;161.0;96.0;64.0;257.0;288.0;24.0;3493.0;334.0;134.0;201.0;157.0;3002.0;176.0;2826.0;218.0;266.0;1509.0;633.0;201.0
12;Totaal mannen en vrouwen;Totaal personen;Totaal;2015 3e kwartaal;12691.0;8499.0;795.0;7704.0;4192.0;692.0;413.0;169.0;102.0;67.0;245.0;254.0;25.0;3500.0;342.0;133.0;209.0;160.0;2998.0;180.0;2818.0;206.0;248.0;1513.0;640.0;210.0
13;Totaal mannen en vrouwen;Totaal personen;Totaal;2015 4e kwartaal;12701.0;8480.0;793.0;7687.0;4222.0;698.0;423.0;184.0;108.0;75.0;240.0;254.0;21.0;3523.0;345.0;137.0;208.0;126.0;3052.0;158.0;2894.0;211.0;328.0;1521.0;639.0;195.0
14;Totaal mannen en vrouwen;Totaal personen;Totaal;2015 ;12685.0;8458.0;802.0;7656.0;4228.0;724.0;425.0;177.0;107.0;71.0;248.0;276.0;23.0;3503.0;346.0;135.0;211.0;142.0;3015.0;171.0;2844.0;211.0;283.0;1510.0;639.0;201.0
15;Totaal mannen en vrouwen;Totaal personen;Totaal;2016 1e kwartaal;12722.0;8456.0;801.0;7654.0;4266.0;711.0;434.0;185.0;112.0;73.0;249.0;254.0;23.0;3555.0;345.0;132.0;213.0;133.0;3077.0;164.0;2913.0;196.0;330.0;1552.0;619.0;215.0
16;Totaal mannen en vrouwen;Totaal personen;Totaal;2016 2e kwartaal;12753.0;8552.0;761.0;7791.0;4201.0;665.0;413.0;177.0;104.0;73.0;236.0;225.0;27.0;3536.0;309.0;122.0;187.0;157.0;3070.0;168.0;2902.0;206.0;287.0;1552.0;644.0;212.0
17;Totaal mannen en vrouwen;Totaal personen;Totaal;2016 3e kwartaal;12783.0;8628.0;724.0;7904.0;4155.0;612.0;379.0;159.0;86.0;74.0;220.0;209.0;23.0;3543.0;326.0;109.0;217.0;159.0;3058.0;172.0;2887.0;195.0;271.0;1550.0;645.0;225.0
18;Totaal mannen en vrouwen;Totaal personen;Totaal;2016 4e kwartaal;12814.0;8644.0;706.0;7938.0;4170.0;595.0;380.0;177.0;113.0;64.0;203.0;191.0;24.0;3575.0;314.0;120.0;194.0;124.0;3137.0;157.0;2980.0;189.0;338.0;1570.0;675.0;209.0
19;Totaal mannen en vrouwen;Totaal personen;Totaal;2016;12768.0;8570.0;748.0;7822.0;4198.0;646.0;401.0;175.0;104.0;71.0;227.0;220.0;24.0;3553.0;324.0;121.0;203.0;143.0;3086.0;165.0;2920.0;197.0;307.0;1556.0;646.0;215.0
20;Totaal mannen en vrouwen;Totaal personen;Totaal;2017 1e kwartaal;12840.0;8640.0;714.0;7926.0;4200.0;609.0;379.0;167.0;104.0;62.0;212.0;206.0;25.0;3591.0;301.0;106.0;195.0;124.0;3165.0;162.0;3003.0;189.0;346.0;1583.0;680.0;205.0
21;Totaal mannen en vrouwen;Totaal personen;Totaal;2017 2e kwartaal;12860.0;8719.0;687.0;8031.0;4141.0;559.0;346.0;157.0;88.0;69.0;190.0;188.0;25.0;3582.0;272.0;91.0;181.0;153.0;3157.0;166.0;2991.0;195.0;301.0;1586.0;699.0;210.0
22;Totaal mannen en vrouwen;Totaal personen;Totaal;2017 3e kwartaal;12880.0;8804.0;669.0;8135.0;4076.0;517.0;325.0;142.0;87.0;54.0;183.0;165.0;27.0;3560.0;271.0;97.0;174.0;150.0;3139.0;170.0;2969.0;201.0;290.0;1575.0;695.0;207.0
23;Totaal mannen en vrouwen;Totaal personen;Totaal;2017 4e kwartaal;12901.0;8815.0;659.0;8156.0;4086.0;498.0;327.0;145.0;91.0;54.0;182.0;151.0;21.0;3587.0;269.0;90.0;179.0;132.0;3186.0;174.0;3012.0;213.0;336.0;1580.0;694.0;189.0
24;Totaal mannen en vrouwen;Totaal personen;Totaal;2017;12870.0;8744.0;682.0;8062.0;4126.0;546.0;344.0;153.0;93.0;60.0;192.0;177.0;24.0;3580.0;278.0;96.0;182.0;140.0;3162.0;168.0;2994.0;199.0;318.0;1581.0;692.0;203.0
25;Totaal mannen en vrouwen;Totaal personen;Totaal;2018 1e kwartaal;12917.0;8819.0;655.0;8164.0;4098.0;503.0;319.0;145.0;89.0;56.0;174.0;167.0;18.0;3595.0;266.0;92.0;174.0;135.0;3194.0;174.0;3020.0;209.0;352.0;1585.0;688.0;185.0
26;Totaal mannen en vrouwen;Totaal personen;Totaal;2018 2e kwartaal;12930.0;8913.0;636.0;8277.0;4017.0;462.0;301.0;134.0;79.0;56.0;167.0;143.0;19.0;3555.0;219.0;77.0;142.0;160.0;3176.0;181.0;2995.0;209.0;324.0;1548.0;705.0;209.0
27;Totaal mannen en vrouwen;Totaal personen;Totaal;2018 3e kwartaal;12943.0;9000.0;601.0;8399.0;3943.0;439.0;277.0;121.0;73.0;48.0;155.0;138.0;24.0;3504.0;229.0;71.0;158.0;159.0;3116.0;174.0;2942.0;208.0;282.0;1564.0;696.0;192.0
28;Totaal mannen en vrouwen;Totaal personen;Totaal;2018 4e kwartaal;12956.0;9026.0;595.0;8431.0;3930.0;431.0;277.0;128.0;81.0;47.0;149.0;132.0;22.0;3499.0;222.0;72.0;150.0;131.0;3147.0;162.0;2985.0;198.0;326.0;1557.0;714.0;189.0
29;Totaal mannen en vrouwen;Totaal personen;Totaal;2018;12936.0;8939.0;622.0;8318.0;3997.0;459.0;293.0;132.0;81.0;51.0;161.0;145.0;21.0;3538.0;234.0;78.0;156.0;146.0;3158.0;173.0;2985.0;206.0;321.0;1563.0;701.0;194.0
30;Totaal mannen en vrouwen;Totaal personen;Totaal;2019 1e kwartaal;12975.0;9030.0;607.0;8423.0;3946.0;450.0;275.0;123.0;78.0;46.0;152.0;152.0;23.0;3496.0;225.0;76.0;149.0;133.0;3138.0;156.0;2982.0;187.0;327.0;1559.0;712.0;197.0
31;Totaal mannen en vrouwen;Totaal personen;Totaal;2019 2e kwartaal;13002.0;9104.0;579.0;8525.0;3898.0;415.0;263.0;110.0;66.0;44.0;152.0;133.0;19.0;3483.0;205.0;70.0;135.0;161.0;3116.0;175.0;2941.0;183.0;300.0;1569.0;695.0;194.0
32;Totaal mannen en vrouwen;Totaal personen;Totaal;2019 3e kwartaal;13029.0;9156.0;567.0;8589.0;3873.0;412.0;266.0;115.0;69.0;46.0;151.0;128.0;18.0;3461.0;209.0;62.0;147.0;153.0;3098.0;170.0;2929.0;191.0;288.0;1553.0;713.0;183.0
33;Totaal mannen en vrouwen;Totaal personen;Totaal;2019 4e kwartaal;13055.0;9177.0;565.0;8612.0;3878.0;416.0;273.0;136.0;83.0;53.0;137.0;123.0;21.0;3462.0;211.0;76.0;136.0;134.0;3117.0;182.0;2935.0;197.0;315.0;1548.0;697.0;178.0
