ID;KenmerkenVanHuishoudens;InkomensgrensHuishouden;DuurInkomenspositie;Perioden;Personen_1;PersonenRelatief_2;Kinderen_3;KinderenRelatief_4
0;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2011;928.7;5.8;269.4;8.0
1;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2012;1075.0;6.7;306.3;9.1
2;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2013;1186.6;7.4;331.0;9.9
3;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2014;1142.8;7.2;320.8;9.7
4;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2015;1102.7;6.9;303.4;9.2
5;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2016;1041.3;6.5;278.1;8.5
6;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2017;1028.7;6.3;263.9;8.1
7;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2018;1028.9;6.3;258.0;7.9
8;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2019;971.8;5.9;238.2;7.4
9;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2020;896.2;5.4;217.7;6.8
10;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2021;824.8;5.0;192.4;6.1
11;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2022;603.0;3.6;151.6;4.8
12;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2023;555.2;3.3;131.5;4.1
13;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2011;286.0;1.9;96.1;2.9
14;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2012;316.1;2.1;104.0;3.2
15;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2013;349.1;2.3;112.7;3.5
16;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2014;355.1;2.3;111.8;3.5
17;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2015;391.4;2.5;117.2;3.7
18;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2016;398.8;2.6;114.6;3.6
19;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2017;391.5;2.5;107.8;3.4
20;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2018;391.3;2.5;102.0;3.3
21;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2019;391.8;2.5;97.8;3.2
22;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2020;374.7;2.4;94.8;3.1
23;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2021;356.0;2.3;85.1;2.8
24;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2022;233.5;1.5;64.0;2.1
25;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2023;149.3;0.9;43.2;1.4
26;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2011;803.0;5.1;201.7;6.0
27;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2012;869.6;5.5;217.9;6.5
28;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2013;897.2;5.6;221.9;6.7
29;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2014;904.9;5.7;223.5;6.8
30;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2015;869.2;5.4;204.2;6.2
31;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2016;865.8;5.4;199.2;6.1
32;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2017;847.5;5.2;186.3;5.7
33;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2018;824.8;5.0;177.5;5.5
34;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2019;800.1;4.9;168.1;5.2
35;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2020;809.1;4.9;167.6;5.2
36;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2021;762.9;4.6;150.8;4.7
37;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2022;734.6;4.4;137.8;4.4
38;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2023;774.0;4.6;147.2;4.6
39;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2011;191.4;1.3;41.3;1.3
40;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2012;220.0;1.4;48.7;1.5
41;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2013;238.9;1.6;53.1;1.6
42;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2014;255.2;1.7;56.1;1.7
43;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2015;269.6;1.8;56.6;1.8
44;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2016;283.7;1.8;57.9;1.8
45;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2017;294.7;1.9;57.9;1.9
46;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2018;303.8;2.0;57.2;1.8
47;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2019;314.5;2.0;56.3;1.8
48;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2020;328.6;2.1;58.4;1.9
49;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2021;324.5;2.1;55.1;1.8
50;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2022;317.4;2.0;49.5;1.6
51;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2023;316.2;2.0;48.1;1.6
52;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2011;1240.0;7.8;295.3;8.8
53;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2012;1295.0;8.1;308.9;9.2
54;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2013;1334.6;8.4;312.2;9.4
55;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2014;1342.2;8.4;314.7;9.5
56;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2015;1304.8;8.1;292.8;8.9
57;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2016;1295.2;8.0;287.1;8.8
58;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2017;1277.6;7.9;275.6;8.5
59;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2018;1242.1;7.6;264.9;8.2
60;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2019;1208.5;7.4;256.0;7.9
61;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2020;1213.8;7.3;253.0;7.9
