ID;Geslacht;Leeftijd;PositieInHuishouden;Perioden;BeroepsEnNietBeroepsbevolking_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7;ZelfstandigeZonderPersoneelZzp_8;ZelfstandigeMetPersoneel_9;MeewerkendGezinslid_10;PositieInDeWerkkringOnbekend_11;Deeltijd_12;MinderDan20UurPerWeek_13;MinderDan12UurPerWeek_14;k_12Tot20UurPerWeek_15;k_20Tot35UurPerWeek_16;k_20Tot28UurPerWeek_17;k_28Tot35UurPerWeek_18;Voltijd_19;WerklozeBeroepsbevolking_20;Werkloosheidspercentage_21;NietBeroepsbevolking_22;BrutoArbeidsparticipatie_23;NettoArbeidsparticipatie_24
0;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;2003 1e kwartaal;12100.0;8160.0;7771.0;6753.0;5656.0;1097.0;1018.0;641.0;323.0;54.0;0.0;3333.0;1518.0;864.0;655.0;1815.0;916.0;898.0;4437.0;389.0;4.8;3941.0;67.4;64.2
1;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;2003 2e kwartaal;12111.0;8167.0;7782.0;6786.0;5698.0;1088.0;995.0;630.0;318.0;48.0;0.0;3376.0;1542.0;867.0;675.0;1834.0;927.0;907.0;4406.0;385.0;4.7;3944.0;67.4;64.3
2;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;2003 3e kwartaal;12122.0;8198.0;7809.0;6817.0;5703.0;1115.0;992.0;631.0;318.0;43.0;0.0;3389.0;1507.0;824.0;683.0;1882.0;948.0;934.0;4420.0;389.0;4.7;3923.0;67.6;64.4
3;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;2003 4e kwartaal;12132.0;8188.0;7770.0;6774.0;5704.0;1070.0;996.0;633.0;319.0;44.0;0.0;3395.0;1532.0;859.0;674.0;1863.0;932.0;931.0;4375.0;418.0;5.1;3944.0;67.5;64.0
4;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;2003;12116.0;8178.0;7783.0;6783.0;5690.0;1092.0;1000.0;634.0;319.0;47.0;0.0;3373.0;1525.0;854.0;671.0;1849.0;931.0;918.0;4409.0;395.0;4.8;3938.0;67.5;64.2
5;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;2004 1e kwartaal;12142.0;8199.0;7719.0;6702.0;5676.0;1026.0;1017.0;648.0;326.0;44.0;0.0;3386.0;1527.0;861.0;666.0;1858.0;927.0;931.0;4333.0;480.0;5.9;3943.0;67.5;63.6
6;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;2004 2e kwartaal;12151.0;8228.0;7754.0;6726.0;5664.0;1062.0;1028.0;657.0;329.0;43.0;0.0;3415.0;1541.0;853.0;687.0;1875.0;950.0;924.0;4339.0;474.0;5.8;3923.0;67.7;63.8
7;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;2004 3e kwartaal;12160.0;8237.0;7793.0;6770.0;5645.0;1125.0;1023.0;654.0;324.0;45.0;0.0;3400.0;1517.0;820.0;697.0;1883.0;958.0;925.0;4393.0;444.0;5.4;3923.0;67.7;64.1
8;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;2004 4e kwartaal;12169.0;8243.0;7777.0;6755.0;5652.0;1103.0;1022.0;654.0;325.0;44.0;0.0;3423.0;1561.0;875.0;686.0;1863.0;949.0;914.0;4354.0;466.0;5.7;3926.0;67.7;63.9
9;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;2004;12155.0;8227.0;7761.0;6738.0;5659.0;1079.0;1022.0;653.0;326.0;44.0;0.0;3406.0;1536.0;852.0;684.0;1870.0;946.0;923.0;4355.0;466.0;5.7;3929.0;67.7;63.8
10;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;2005 1e kwartaal;12178.0;8267.0;7739.0;6691.0;5615.0;1076.0;1047.0;676.0;324.0;47.0;1.0;3429.0;1572.0;886.0;686.0;1857.0;950.0;907.0;4310.0;528.0;6.4;3911.0;67.9;63.6
11;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;2005 2e kwartaal;12186.0;8309.0;7812.0;6749.0;5635.0;1114.0;1062.0;678.0;332.0;51.0;2.0;3465.0;1572.0;876.0;696.0;1893.0;966.0;926.0;4347.0;497.0;6.0;3877.0;68.2;64.1
12;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;2005 3e kwartaal;12194.0;8320.0;7856.0;6800.0;5625.0;1175.0;1055.0;673.0;335.0;47.0;1.0;3478.0;1556.0;845.0;711.0;1923.0;970.0;953.0;4378.0;463.0;5.6;3874.0;68.2;64.4
13;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;2005 4e kwartaal;12202.0;8332.0;7866.0;6811.0;5629.0;1183.0;1053.0;682.0;328.0;44.0;1.0;3516.0;1592.0;884.0;708.0;1924.0;962.0;962.0;4350.0;466.0;5.6;3870.0;68.3;64.5
14;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;2005;12190.0;8307.0;7818.0;6763.0;5626.0;1137.0;1054.0;677.0;330.0;47.0;1.0;3472.0;1573.0;873.0;700.0;1899.0;962.0;937.0;4346.0;489.0;5.9;3883.0;68.1;64.1
