ID;Geslacht;Leeftijd;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;OnderTijdsdrukWerken_4;Haasten_5;RegelmatigVeelKrachtZetten_6;k_5KgTillen_7;k_5KgDuwenTrekken_8;k_5KgDragen_9;RegelmatigHardPraten_10;RegelmatigGebruikVanGehoorbeschermers_11;RegelmatigTeMakenMetTrillingen_12;GevaarlijkWerk_13;WaterigeOplossingen_14;StoffenOpUwHuid_15;AdemtStoffenIn_16;BesmettePersonen_17;InOngemakkelijkeWerkhoudingWerken_18;TijdensWerkRepeterendeBewegingMaken_19;UurPerDagAanBeeldschermVoorWerk_20;UurPerWeekAanBeeldschermVoorPrive_21;ZelfBeslissen_22;VolgordeWerkzaamhedenBepalen_23;WerktempoBepalen_24;OplossingenBedenken_25;VerlofNemen_26;EmotioneelMoeilijkeWerksituaties_27;EmotioneelVeeleisendWerk_28;EmotioneelBetrokkenBijWerk_29;VanKlanten_30;VanLeidinggevendenOfCollegaS_31;DoorKlanten_32;DoorLeidinggevendenOfCollegaS_33;DoorKlanten_34;DoorLeidinggevendenOfCollegaS_35;DoorKlanten_36;DoorLeidinggevendenOfCollegaS_37;AantalOngevallenPer100000Werknemers_38;TotaalAandeelWerknemersMetOngeval_39;OngevalZonderVerzuim_40;OngevalMetTenMinste0DagenVerzuim_41;OngevalMetTenMinste1DagVerzuim_42;OngevalMetTenMinste4DagenVerzuim_43;UitsluitendLichamelijkLetsel_44;UitsluitendGeestelijkLetsel_45;LichamelijkEnGeestelijkLetsel_46;BurnOutKlachten_47;EmotioneelUitgeput_48;LeegVoelen_49;SOchtendsMoeVoelen_50;VergtVeelOmMetMensenTeWerken_51;UitgeputDoorWerk_52;TevredenMetArbeidsomstandigheden_53;TevredenMetWerk_54;WilTot65eWerkzaamBlijven_55;InStaatTot65eWerkzaamTeBlijven_56;DoorLichterWerkLangerWerkzaam_57;Na65eWerkzaamBlijven_58;LeeftijdWillenDoorwerken_59;LeeftijdInStaatDoorwerken_60
10;Totaal mannen en vrouwen;15 tot 25 jaar;2006;43.4;42.5;24.6;30.7;22.1;38.5;45.7;41.6;39.0;10.9;9.8;;;;;;;;;2.2;10.2;;;;;;;;;;;;;;;;;13300;9.2;4.5;4.7;4.7;2.6;7.5;1.4;0.2;;;;;;;74.6;;33.5;28.2;36.2;;;
11;Totaal mannen en vrouwen;15 tot 25 jaar;2007;27.7;30.3;19.8;;;30.7;;;;8.6;;14.3;5.4;;;;;13.5;46.8;2.3;;;;;;;4.2;6.9;8.7;6.7;2.2;19.0;6.4;7.3;0.7;9.1;9.2;17600;10.5;6.5;4.1;3.7;2.6;9.0;1.1;0.5;8.5;7.7;20.7;15.3;6.5;9.6;73.5;77.3;39.3;25.2;37.6;;;
12;Totaal mannen en vrouwen;15 tot 25 jaar;2008;29.8;34.0;21.0;;;33.2;;;;7.2;;13.5;;20.9;15.0;8.5;5.2;13.3;42.5;2.5;;43.3;46.1;45.9;50.7;38.5;4.6;7.6;8.5;7.5;3.7;19.2;6.9;8.6;0.9;8.9;8.7;17700;8.9;4.8;4.1;3.7;2.7;7.5;0.6;0.7;10.1;9.5;21.9;15.3;7.7;12.0;75.8;76.8;38.5;28.9;42.0;12.0;;
13;Totaal mannen en vrouwen;15 tot 25 jaar;2009;29.8;31.1;19.7;;;29.5;;;;6.4;;12.6;4.6;23.9;14.9;9.0;12.6;12.4;43.9;2.1;;40.4;41.0;44.9;47.4;40.6;4.0;6.6;8.9;10.3;2.2;19.4;5.7;8.1;0.6;9.4;8.3;26200;9.2;6.2;3.1;2.8;2.2;7.8;0.9;0.5;9.3;6.7;18.1;14.0;6.7;9.6;75.7;78.4;44.5;27.6;43.2;13.3;;
14;Totaal mannen en vrouwen;15 tot 25 jaar;2010;30.5;30.9;20.3;;;34.2;;;;7.3;;12.2;4.7;23.8;16.4;8.4;7.1;11.8;46.6;2.0;;39.2;39.3;41.5;45.3;39.1;4.3;7.0;8.0;8.6;2.7;19.2;5.6;6.8;0.7;8.1;7.1;22700;9.0;6.1;2.9;2.5;1.7;7.6;0.8;0.4;9.7;8.9;21.3;15.7;6.8;11.8;78.2;77.7;46.2;25.0;41.3;14.3;;
15;Totaal mannen en vrouwen;15 tot 25 jaar;2011;28.6;30.6;18.4;;;31.7;;;;6.9;;11.2;2.8;23.3;14.8;8.0;8.2;10.8;44.3;1.9;;35.6;37.3;39.5;43.2;38.0;3.8;6.8;8.2;9.5;2.1;18.8;6.3;5.8;1.1;7.0;7.8;17300;8.1;5.1;2.9;2.5;1.4;6.4;1.0;0.4;8.5;7.2;18.1;14.6;6.8;10.8;76.6;80.3;;;;;59.4;56.4
16;Totaal mannen en vrouwen;15 tot 25 jaar;2012;29.4;28.3;20.3;;;30.3;;;;7.1;;9.9;5.6;22.0;14.6;7.7;6.5;10.4;46.6;2.0;;36.3;35.3;37.4;45.9;40.8;4.3;6.6;7.6;10.2;2.8;19.7;7.4;7.4;1.6;6.5;6.7;18500;9.6;5.9;3.7;3.1;2.1;7.9;1.3;0.3;9.8;9.3;21.7;16.6;7.1;11.2;77.7;77.1;;;;;58.6;57.3
17;Totaal mannen en vrouwen;15 tot 25 jaar;2013;30.5;29.0;21.2;;;31.0;;;;8.3;;10.2;3.1;22.0;14.2;8.6;9.7;11.8;47.6;1.6;;33.9;34.3;36.7;43.0;40.6;3.9;6.5;8.8;9.3;2.3;22.1;6.2;6.0;1.2;6.5;5.6;14300;8.2;5.2;3.0;2.7;1.5;7.0;0.7;0.6;8.0;6.9;18.1;13.0;5.7;11.1;75.2;77.5;;;;;59.5;56.6
18;Totaal mannen en vrouwen;25 tot 35 jaar;2005;48.1;50.0;31.8;42.6;29.4;24.3;31.1;26.7;26.2;9.4;9.1;;;;;;;;;4.1;6.2;;;;;;;;;;;;;;;;;10500;7.0;3.6;3.4;3.3;2.2;4.8;1.6;0.5;;;;;;;69.3;;19.3;42.5;36.2;;;
19;Totaal mannen en vrouwen;25 tot 35 jaar;2006;47.8;53.8;33.8;42.0;30.2;24.0;30.6;26.7;25.4;9.0;8.6;;;;;;;;;4.2;6.3;;;;;;;;;;;;;;;;;9700;6.1;3.0;3.1;2.9;2.2;4.5;1.2;0.4;;;;;;;72.4;;24.1;44.5;35.0;;;
20;Totaal mannen en vrouwen;25 tot 35 jaar;2007;35.3;44.9;28.4;;;20.4;;;;6.8;;10.0;4.0;;;;;11.5;37.2;4.2;;;;;;;7.6;10.8;14.1;5.6;2.5;21.1;9.8;6.3;0.5;7.3;8.5;14500;7.1;3.4;3.6;3.4;2.8;5.3;1.1;0.7;10.8;11.0;25.8;15.6;8.4;10.5;72.7;77.0;31.5;38.7;38.5;;;
21;Totaal mannen en vrouwen;25 tot 35 jaar;2008;33.3;43.3;28.9;;;20.6;;;;7.3;;9.5;;15.2;11.1;9.3;6.0;11.3;33.7;4.4;;63.6;66.9;61.1;72.3;48.2;7.4;11.4;12.2;5.8;2.4;18.4;9.1;6.3;0.7;6.3;8.7;16300;7.3;4.0;3.3;3.1;2.3;5.0;1.6;0.8;13.1;12.2;27.6;17.8;9.6;12.0;74.3;76.7;35.2;40.6;39.4;10.6;;
22;Totaal mannen en vrouwen;25 tot 35 jaar;2009;32.4;41.1;26.9;;;19.0;;;;5.7;;9.5;4.4;14.2;10.9;9.0;9.3;10.4;31.9;4.4;;62.2;66.1;60.9;73.2;48.2;7.8;12.2;13.8;5.8;1.9;19.9;10.2;6.8;0.5;6.7;8.6;10200;6.0;2.8;3.2;2.9;2.2;4.1;1.5;0.4;12.9;12.5;27.3;17.3;9.2;11.4;73.3;77.3;41.4;43.4;40.5;12.6;;
23;Totaal mannen en vrouwen;25 tot 35 jaar;2010;36.1;44.7;29.7;;;21.7;;;;6.5;;9.3;4.9;15.4;10.0;8.9;7.1;9.9;34.0;4.4;;63.2;65.8;60.3;73.6;46.8;8.7;13.5;14.2;6.7;2.4;18.8;8.5;7.5;0.8;6.6;6.9;14000;7.4;3.7;3.7;3.5;2.8;5.1;1.7;0.6;13.8;14.7;29.8;19.1;9.0;12.2;75.9;77.6;41.7;41.4;39.7;13.2;;
24;Totaal mannen en vrouwen;25 tot 35 jaar;2011;34.6;44.9;29.4;;;19.3;;;;7.7;;10.0;4.8;16.1;9.1;8.3;8.0;11.3;34.0;4.6;;60.5;64.4;58.2;73.2;46.4;9.4;13.3;14.3;5.9;2.4;22.1;10.6;7.3;0.7;7.0;8.3;11300;6.5;3.1;3.4;3.2;2.6;4.4;1.5;0.6;13.9;14.0;27.1;18.3;9.8;13.3;71.8;75.3;;;;;62.2;60.4
25;Totaal mannen en vrouwen;25 tot 35 jaar;2012;32.3;42.5;28.7;;;20.7;;;;6.5;;8.7;4.5;15.2;9.8;8.6;6.4;10.0;32.2;4.3;;59.4;63.0;56.3;70.3;46.2;7.5;11.0;12.4;5.6;2.3;19.4;8.9;7.0;0.4;6.1;7.0;13000;6.4;3.3;3.1;3.0;2.0;4.2;1.4;0.7;13.6;13.5;29.2;18.6;9.7;12.1;74.0;75.8;;;;;62.7;60.8
26;Totaal mannen en vrouwen;25 tot 35 jaar;2013;33.4;44.6;31.1;;;20.0;;;;7.2;;10.4;4.5;15.3;10.4;9.3;8.5;10.9;33.2;4.3;;57.1;60.3;55.6;70.6;45.6;8.4;12.6;14.0;6.1;2.5;19.7;8.5;7.4;0.6;5.3;8.0;14100;6.5;4.0;2.4;2.2;1.7;4.4;1.2;0.8;13.0;12.8;27.6;18.1;9.7;12.4;70.5;74.9;;;;;62.8;60.7
27;Totaal mannen en vrouwen;35 tot 45 jaar;2005;46.8;52.5;34.1;43.0;32.4;23.9;31.0;27.6;26.6;10.8;10.5;;;;;;;;;3.8;5.4;;;;;;;;;;;;;;;;;14100;7.0;3.7;3.3;3.2;2.6;4.8;1.5;0.7;;;;;;;69.4;;21.4;42.8;37.7;;;
28;Totaal mannen en vrouwen;35 tot 45 jaar;2006;46.5;52.9;34.3;42.7;31.3;22.1;29.4;25.8;25.2;8.5;9.5;;;;;;;;;4.0;5.3;;;;;;;;;;;;;;;;;8800;6.3;2.9;3.4;3.2;2.4;4.2;1.6;0.5;;;;;;;71.7;;25.9;45.1;38.6;;;
29;Totaal mannen en vrouwen;35 tot 45 jaar;2007;36.0;46.3;27.5;;;16.9;;;;7.1;;9.3;3.9;;;;;10.1;34.0;4.0;;;;;;;7.2;11.9;13.7;4.2;2.0;19.0;12.4;5.8;0.6;6.0;8.4;10800;6.0;3.0;3.0;2.9;2.5;4.3;1.2;0.4;10.7;12.0;27.5;13.0;7.5;10.4;73.1;77.1;34.2;43.8;40.6;;;
30;Totaal mannen en vrouwen;35 tot 45 jaar;2008;33.4;44.7;28.4;;;19.5;;;;7.2;;9.9;;15.7;9.4;9.0;5.5;10.9;33.3;4.1;;69.6;70.4;64.6;74.1;54.3;7.6;11.2;12.4;4.4;1.6;18.4;11.0;6.0;0.7;6.1;8.3;15600;7.2;3.6;3.5;3.4;2.7;5.0;1.5;0.7;11.3;12.3;28.9;13.3;8.6;10.1;78.0;79.1;36.8;46.5;40.5;10.8;;
31;Totaal mannen en vrouwen;35 tot 45 jaar;2009;34.1;44.0;27.2;;;16.1;;;;6.6;;7.8;3.6;14.4;8.8;8.6;8.9;9.7;31.2;4.2;;67.8;69.9;64.4;73.9;53.5;7.7;11.9;13.6;4.1;2.0;18.0;12.1;5.5;0.5;6.5;8.3;12200;6.8;3.4;3.3;3.1;2.6;4.5;1.6;0.6;11.5;11.8;27.1;13.7;8.4;10.7;74.9;78.4;43.7;49.5;41.4;13.0;;
32;Totaal mannen en vrouwen;35 tot 45 jaar;2010;36.5;45.3;29.3;;;19.7;;;;6.4;;9.4;4.4;15.7;9.6;8.4;5.1;10.5;34.2;4.3;;67.5;70.3;63.5;73.5;53.8;7.6;11.7;13.1;4.0;1.7;16.9;9.7;5.2;0.4;6.0;7.2;11600;6.5;3.2;3.3;3.1;2.7;4.3;1.4;0.7;12.4;13.2;30.1;15.6;8.7;10.9;78.0;79.0;43.4;49.6;39.3;13.8;;
33;Totaal mannen en vrouwen;35 tot 45 jaar;2011;34.5;44.2;28.1;;;17.1;;;;5.9;;9.3;3.4;14.4;8.7;8.6;6.4;10.3;32.3;4.4;;68.0;71.7;65.6;75.3;53.0;7.9;11.9;13.9;3.7;1.8;17.0;11.1;4.8;0.6;5.5;7.8;9900;5.7;3.0;2.7;2.5;2.2;3.7;1.3;0.6;12.8;13.0;27.3;15.5;9.0;11.6;74.0;77.0;;;;;62.5;62.3
34;Totaal mannen en vrouwen;35 tot 45 jaar;2012;33.1;42.9;28.3;;;18.4;;;;7.4;;8.6;4.0;15.0;8.7;7.9;5.3;9.6;33.9;4.3;;66.0;69.3;63.0;73.5;52.8;6.3;10.2;12.6;4.3;1.7;17.7;11.2;5.3;0.5;5.4;8.0;12300;6.0;2.9;3.0;2.9;2.3;3.9;1.4;0.6;12.8;13.6;28.8;16.3;8.9;11.3;75.7;78.5;;;;;62.9;62.7
35;Totaal mannen en vrouwen;35 tot 45 jaar;2013;33.4;44.8;29.7;;;16.2;;;;7.1;;8.8;4.1;15.2;9.0;8.8;8.4;9.7;31.8;4.4;;67.0;69.2;61.6;75.0;52.1;8.2;12.1;12.4;4.3;2.0;18.3;11.5;5.2;0.5;5.5;7.6;10100;6.1;3.1;3.0;2.8;2.4;4.3;1.3;0.5;12.4;12.7;26.8;15.6;8.9;11.1;72.8;77.3;;;;;63.0;62.7
36;Totaal mannen en vrouwen;45 tot 55 jaar;2005;44.6;51.2;32.5;42.2;31.3;21.5;28.3;25.3;24.3;10.1;9.6;;;;;;;;;3.5;5.0;;;;;;;;;;;;;;;;;13000;6.4;3.2;3.2;3.1;2.5;3.8;2.0;0.5;;;;;;;68.1;;18.9;38.0;37.3;;;
37;Totaal mannen en vrouwen;45 tot 55 jaar;2006;45.9;53.7;33.6;43.0;31.4;21.6;28.5;25.6;24.4;9.8;8.8;;;;;;;;;3.7;5.0;;;;;;;;;;;;;;;;;10000;6.2;3.2;2.9;2.9;2.4;3.8;1.9;0.4;;;;;;;68.8;;25.6;41.0;39.6;;;
38;Totaal mannen en vrouwen;45 tot 55 jaar;2007;35.1;46.3;27.8;;;15.7;;;;7.4;;8.9;3.1;;;;;11.0;33.3;3.7;;;;;;;8.7;15.5;15.3;4.0;1.4;21.1;14.3;5.5;0.5;7.0;9.0;11200;6.3;3.0;3.3;3.2;2.7;4.1;1.6;0.5;13.1;14.1;31.5;13.9;9.6;12.2;71.7;77.3;33.1;44.6;43.7;;;
39;Totaal mannen en vrouwen;45 tot 55 jaar;2008;32.7;42.4;27.2;;;17.3;;;;7.3;;8.5;;15.1;8.0;8.0;5.6;10.3;34.0;3.8;;67.7;67.8;62.3;71.2;53.5;8.4;13.6;13.9;4.0;1.2;20.4;12.9;6.7;0.5;7.0;8.6;10900;6.8;3.0;3.7;3.5;3.0;4.6;1.7;0.5;13.1;13.1;31.0;14.6;9.9;11.8;75.9;78.6;35.8;48.6;42.8;11.8;;
40;Totaal mannen en vrouwen;45 tot 55 jaar;2009;34.5;44.4;27.9;;;16.0;;;;6.5;;9.0;3.4;15.2;8.8;8.5;8.9;10.8;33.0;3.9;;67.1;68.6;63.1;72.0;53.2;9.3;14.9;15.3;3.7;1.4;20.6;13.4;6.3;0.6;7.1;8.9;10600;6.6;3.3;3.3;3.0;2.6;4.1;1.8;0.5;14.4;14.7;32.3;15.4;11.4;12.9;73.2;79.4;41.8;46.1;43.5;12.4;;
41;Totaal mannen en vrouwen;45 tot 55 jaar;2010;35.6;45.0;27.9;;;18.5;;;;7.0;;9.1;4.1;15.3;7.8;7.7;5.5;9.7;36.0;3.9;;67.7;68.6;63.2;72.6;53.0;8.8;13.5;15.2;3.7;1.2;19.0;13.1;5.7;0.4;6.3;7.9;11100;7.2;3.4;3.8;3.6;3.0;4.2;2.2;0.7;15.0;15.2;33.5;16.2;10.8;13.4;76.6;78.7;44.1;49.4;44.4;13.9;;
42;Totaal mannen en vrouwen;45 tot 55 jaar;2011;32.2;43.5;27.3;;;17.7;;;;7.3;;9.1;3.5;16.9;8.8;8.5;7.0;11.1;34.5;4.0;;66.9;67.6;63.1;71.0;52.4;8.5;13.3;14.3;3.9;1.2;19.8;13.3;5.9;0.6;5.8;8.1;10400;6.6;3.2;3.4;3.3;2.9;4.2;1.7;0.5;13.9;14.4;30.2;15.1;9.9;12.1;73.7;78.5;;;;;63.1;63.1
43;Totaal mannen en vrouwen;45 tot 55 jaar;2012;31.9;41.4;27.0;;;18.4;;;;6.7;;9.0;4.2;17.1;8.8;7.3;5.9;9.8;34.5;3.9;;65.9;67.1;60.8;69.4;52.2;6.8;11.8;12.8;4.4;1.5;20.1;13.5;6.6;0.6;6.0;8.0;11300;6.4;3.3;3.1;2.9;2.5;4.2;1.6;0.6;14.3;14.7;32.5;16.4;10.2;13.3;75.4;79.5;;;;;63.4;63.5
44;Totaal mannen en vrouwen;45 tot 55 jaar;2013;33.1;44.5;27.7;;;17.1;;;;7.4;;8.6;3.6;17.7;9.1;9.1;7.8;10.0;33.9;4.0;;66.5;68.1;61.5;70.3;51.1;8.4;13.2;13.2;4.4;1.5;19.1;13.6;6.0;0.4;5.7;7.3;11000;6.3;3.1;3.2;3.1;2.7;3.9;1.7;0.6;13.7;14.5;29.9;15.6;9.4;12.8;73.3;78.2;;;;;63.7;63.7
45;Totaal mannen en vrouwen;55 tot 65 jaar;2005;37.5;46.9;27.9;34.4;25.2;18.3;26.4;22.6;22.5;10.3;9.4;;;;;;;;;3.4;4.7;;;;;;;;;;;;;;;;;10600;6.0;2.7;3.3;3.3;2.7;3.5;1.9;0.3;;;;;;;70.6;;23.5;45.2;28.2;;;
46;Totaal mannen en vrouwen;55 tot 65 jaar;2006;38.8;49.8;28.6;36.2;26.5;17.9;26.3;22.4;22.2;10.0;8.6;;;;;;;;;3.4;4.4;;;;;;;;;;;;;;;;;8200;4.5;1.9;2.6;2.4;1.9;2.7;1.3;0.4;;;;;;;71.5;;26.8;48.1;29.5;;;
47;Totaal mannen en vrouwen;55 tot 65 jaar;2007;31.0;40.8;23.1;;;12.0;;;;6.9;;7.8;2.4;;;;;9.0;30.1;3.5;;;;;;;7.5;14.2;16.2;2.0;0.9;17.3;12.2;4.1;0.3;6.7;8.0;8300;5.8;2.6;3.2;3.1;2.9;3.6;1.7;0.5;12.4;12.0;29.6;12.6;9.4;11.6;72.6;78.6;34.5;49.8;33.8;;;
48;Totaal mannen en vrouwen;55 tot 65 jaar;2008;30.1;40.2;24.7;;;16.1;;;;7.1;;8.3;;13.6;7.4;8.3;5.3;9.9;31.7;3.6;;70.5;69.8;66.0;72.7;54.7;8.7;14.6;14.5;2.8;0.7;17.8;12.1;5.3;0.2;6.6;7.3;12200;6.4;3.1;3.3;3.2;2.9;4.2;1.5;0.6;14.2;14.1;32.6;14.1;11.3;13.7;76.0;80.9;36.3;52.4;34.5;14.5;;
49;Totaal mannen en vrouwen;55 tot 65 jaar;2009;31.1;41.4;25.7;;;13.0;;;;6.8;;7.9;2.5;12.6;7.6;7.2;8.6;8.8;29.9;3.6;;69.0;69.5;65.3;71.6;54.0;8.9;15.3;15.8;2.7;0.8;19.0;12.9;5.1;0.3;8.2;7.3;10300;6.5;2.9;3.6;3.4;2.9;3.9;1.9;0.6;14.0;14.5;31.6;13.6;10.8;13.2;73.9;78.7;40.8;53.1;35.0;14.4;;
50;Totaal mannen en vrouwen;55 tot 65 jaar;2010;30.7;40.3;23.9;;;16.1;;;;6.0;;9.1;3.4;14.6;7.3;6.8;4.6;9.2;32.2;3.7;;70.3;70.1;66.5;71.5;56.3;8.0;13.8;14.1;3.0;0.9;18.0;11.3;5.2;0.4;6.1;6.4;9500;5.9;3.0;3.0;2.8;2.5;3.6;1.7;0.5;13.4;12.8;31.8;13.6;10.6;12.6;77.9;81.3;45.8;58.0;33.8;17.4;;
51;Totaal mannen en vrouwen;55 tot 65 jaar;2011;30.7;39.9;24.1;;;14.3;;;;6.2;;7.6;2.3;14.5;7.2;7.2;6.5;10.0;31.4;3.8;;68.4;69.2;64.5;69.6;54.3;8.9;13.7;15.6;3.0;0.9;19.7;13.0;5.4;0.3;6.0;7.6;12200;6.0;2.9;3.2;3.1;2.9;3.6;1.8;0.5;13.5;13.5;29.2;14.1;11.0;12.5;74.8;79.8;;;;;64.0;64.7
52;Totaal mannen en vrouwen;55 tot 65 jaar;2012;27.7;39.0;23.9;;;16.5;;;;6.3;;8.1;2.9;15.4;7.1;7.5;4.6;9.6;34.0;3.7;;66.8;67.2;63.2;69.3;54.4;7.0;12.3;13.6;3.3;1.0;18.7;13.0;5.7;0.3;6.4;7.1;9900;6.0;2.7;3.3;3.2;2.7;3.6;1.9;0.5;14.5;14.5;32.3;15.6;11.0;13.6;76.1;80.0;;;;;64.4;64.9
53;Totaal mannen en vrouwen;55 tot 65 jaar;2013;29.8;40.2;24.9;;;14.1;;;;6.7;;8.2;2.8;16.4;8.0;7.8;8.3;8.9;31.5;3.8;;65.8;66.7;63.1;68.5;52.4;8.6;13.8;14.2;3.2;0.9;18.5;12.1;5.6;0.3;6.3;6.4;10500;5.7;2.8;2.9;2.8;2.2;3.6;1.6;0.4;13.5;13.9;29.7;14.1;10.3;13.0;74.2;79.9;;;;;64.6;65.1
