ID;GeboortegeneratieVrouw;GemiddeldKindertalPerVrouw_1;KinderlozeVrouwen_2;VrouwenMet1Kind_3;VrouwenMet2Kinderen_4;VrouwenMet3OfMeerKinderen_5;LeeftijdMoederBijGeboorte1eKind_6
0;1935;2.5;11.7;10.2;32.5;45.6;25.5
1;1936;2.43;11.9;10.0;34.6;43.4;25.4
2;1937;2.41;10.2;10.9;36.5;42.4;25.3
3;1938;2.32;12.1;10.1;37.7;40.0;25.2
4;1939;2.27;11.6;10.3;40.1;38.0;25.1
5;1940;2.21;11.9;10.1;42.4;35.6;25.0
6;1941;2.18;10.0;12.1;44.3;33.6;24.8
7;1942;2.12;11.1;12.7;44.8;31.4;24.7
8;1943;2.08;10.3;13.6;47.3;28.8;24.6
9;1944;2.05;10.5;13.6;48.8;27.1;24.5
10;1945;2.0;11.7;13.6;49.6;25.1;24.5
11;1946;1.95;11.7;14.7;50.6;23.0;24.6
12;1947;1.92;12.8;14.4;50.4;22.4;24.6
13;1948;1.92;12.8;15.1;49.7;22.4;24.7
14;1949;1.89;13.9;15.1;48.8;22.2;24.9
15;1950;1.9;14.6;15.2;47.2;23.1;25.1
16;1951;1.87;15.3;15.2;46.6;23.0;25.2
17;1952;1.88;15.9;15.3;45.4;23.4;25.4
18;1953;1.87;16.3;15.4;44.5;23.8;25.8
19;1954;1.88;16.5;15.3;43.6;24.6;26.0
20;1955;1.87;17.1;15.2;42.9;24.9;26.3
21;1956;1.87;16.9;15.2;42.5;25.4;26.6
22;1957;1.87;17.2;15.0;42.2;25.6;26.9
23;1958;1.87;17.6;14.8;41.9;25.6;27.1
24;1959;1.85;17.7;15.2;41.9;25.2;27.4
25;1960;1.86;17.2;15.6;41.7;25.4;27.5
26;1961;1.83;18.0;15.5;42.0;24.5;27.7
27;1962;1.83;17.7;15.8;42.3;24.2;27.9
28;1963;1.81;18.0;16.2;42.3;23.4;28.1
29;1964;1.79;18.2;16.6;42.2;23.0;28.2
30;1965;1.78;18.1;17.0;42.3;22.6;28.4
31;1966;1.78;18.1;17.1;42.4;22.3;28.6
32;1967;1.77;18.1;17.2;42.9;21.8;28.7
33;1968;1.77;17.6;18.2;42.7;21.5;28.9
34;1969;1.76;17.6;18.5;42.7;21.2;29.0
35;1970;1.76;17.6;18.6;42.5;21.3;29.0
36;1971;1.75;17.6;18.7;42.4;21.3;29.0
37;1972;1.77;17.3;19.0;42.1;21.6;29.1
38;1973;1.77;17.1;18.7;42.5;21.6;29.1
39;1974;1.78;16.7;19.0;42.4;21.9;29.1
40;1975;1.78;16.7;18.8;42.5;22.0;29.2
41;1976;1.78;16.6;18.5;43.0;21.9;29.2
42;1977;1.8;16.1;18.5;43.1;22.3;29.2
43;1978;1.79;16.3;18.9;42.9;21.9;29.1
44;1979;1.8;16.1;18.8;43.0;22.2;29.1
45;1980;1.81;15.8;18.4;43.4;22.4;29.1
46;1981;1.81;15.6;18.9;43.1;22.4;29.1
47;1982;1.81;15.6;19.0;42.7;22.7;29.1
48;1983;1.81;15.9;19.5;41.8;22.8;29.0
49;1984;1.8;16.4;19.0;42.0;22.5;29.1
50;1985;1.78;16.9;19.6;41.5;22.0;29.2
51;1986;1.76;17.5;19.7;41.3;21.6;29.2
52;1987;1.74;18.0;20.0;40.5;21.5;29.4
53;1988;1.71;19.0;20.2;39.7;21.1;29.4
54;1989;1.69;20.0;20.4;38.7;21.0;29.6
55;1990;1.68;20.8;20.3;38.1;20.9;29.7
56;1991;1.65;22.1;19.8;37.4;20.7;29.8
57;1992;1.64;22.9;19.6;36.7;20.8;30.0
58;1993;1.63;23.7;19.0;36.4;20.9;30.1
59;1994;1.62;24.5;18.6;36.0;20.9;30.3
60;1995;1.61;25.1;18.1;35.8;20.9;30.4
61;1996;1.6;26.0;17.7;35.4;21.0;30.7
62;1997;1.6;26.4;17.4;35.1;21.1;30.8
63;1998;1.6;26.3;17.3;35.2;21.2;30.9
64;1999;1.61;26.3;17.3;35.2;21.3;31.0
65;2000;1.61;26.2;17.2;35.2;21.4;31.1
66;2001;1.61;26.1;17.2;35.2;21.4;31.2
