ID;VormenVanJeugdzorg;RegioS;Perioden;JongerenMetJeugdzorg_1;JongerenMetJeugdzorgRelatief_2;Jeugdzorgtrajecten_3
0;JZ Totaal jeugdzorg;Nederland;1e halfjaar 2015;318610.0;7.1;
1;JZ Totaal jeugdzorg;Nederland;2e halfjaar 2015;338115.0;7.6;
2;JZ Totaal jeugdzorg;Nederland;2015;380100.0;8.5;
3;JZ Totaal jeugdzorg;Nederland;1e halfjaar 2016;339375.0;7.6;
4;JZ Totaal jeugdzorg;Nederland;2e halfjaar 2016;354010.0;8.0;
5;JZ Totaal jeugdzorg;Nederland;2016;404080.0;9.1;
6;JZ Totaal jeugdzorg;Nederland;1e halfjaar 2017;355305.0;8.0;
7;JZ Totaal jeugdzorg;Nederland;2e halfjaar 2017;366850.0;8.2;
8;JZ Totaal jeugdzorg;Nederland;2017;419580.0;9.4;
9;JZ Totaal jeugdzorg;Nederland;1e halfjaar 2018;360730.0;8.1;
10;JZ Totaal jeugdzorg;Nederland;2e halfjaar 2018;381370.0;8.6;
11;JZ Totaal jeugdzorg;Nederland;2018;430175.0;9.7;
12;JZ Totaal jeugdzorg;Nederland;1e halfjaar 2019;378495.0;8.5;
13;JZ Totaal jeugdzorg;Nederland;2e halfjaar 2019;383175.0;8.6;
14;JZ Totaal jeugdzorg;Nederland;2019;443585.0;10.0;
15;JZ Totaal jeugdzorg;Nederland;1e halfjaar 2020;366250.0;8.3;
16;JZ Totaal jeugdzorg;Nederland;2e halfjaar 2020;373185.0;8.4;
17;JZ Totaal jeugdzorg;Nederland;2020;435760.0;9.8;
18;JZ Totaal jeugdzorg;Noord-Nederland (LD);1e halfjaar 2015;38740.0;8.5;
19;JZ Totaal jeugdzorg;Noord-Nederland (LD);2e halfjaar 2015;40280.0;8.9;
20;JZ Totaal jeugdzorg;Noord-Nederland (LD);2015;44355.0;9.8;
21;JZ Totaal jeugdzorg;Noord-Nederland (LD);1e halfjaar 2016;37040.0;8.2;
22;JZ Totaal jeugdzorg;Noord-Nederland (LD);2e halfjaar 2016;37440.0;8.3;
23;JZ Totaal jeugdzorg;Noord-Nederland (LD);2016;42245.0;9.4;
24;JZ Totaal jeugdzorg;Noord-Nederland (LD);1e halfjaar 2017;41635.0;9.3;
25;JZ Totaal jeugdzorg;Noord-Nederland (LD);2e halfjaar 2017;43095.0;9.6;
26;JZ Totaal jeugdzorg;Noord-Nederland (LD);2017;47540.0;10.6;
27;JZ Totaal jeugdzorg;Noord-Nederland (LD);1e halfjaar 2018;39350.0;8.9;
28;JZ Totaal jeugdzorg;Noord-Nederland (LD);2e halfjaar 2018;40400.0;9.1;
29;JZ Totaal jeugdzorg;Noord-Nederland (LD);2018;45385.0;10.2;
30;JZ Totaal jeugdzorg;Noord-Nederland (LD);1e halfjaar 2019;40055.0;9.1;
31;JZ Totaal jeugdzorg;Noord-Nederland (LD);2e halfjaar 2019;39410.0;9.0;
32;JZ Totaal jeugdzorg;Noord-Nederland (LD);2019;45705.0;10.4;
33;JZ Totaal jeugdzorg;Noord-Nederland (LD);1e halfjaar 2020;38145.0;8.7;
34;JZ Totaal jeugdzorg;Noord-Nederland (LD);2e halfjaar 2020;38515.0;8.8;
35;JZ Totaal jeugdzorg;Noord-Nederland (LD);2020;44100.0;10.1;
36;JZ Totaal jeugdzorg;Oost-Nederland (LD);1e halfjaar 2015;68295.0;6.9;
37;JZ Totaal jeugdzorg;Oost-Nederland (LD);2e halfjaar 2015;72705.0;7.4;
38;JZ Totaal jeugdzorg;Oost-Nederland (LD);2015;81080.0;8.2;
39;JZ Totaal jeugdzorg;Oost-Nederland (LD);1e halfjaar 2016;71805.0;7.3;
40;JZ Totaal jeugdzorg;Oost-Nederland (LD);2e halfjaar 2016;75060.0;7.7;
41;JZ Totaal jeugdzorg;Oost-Nederland (LD);2016;84710.0;8.6;
42;JZ Totaal jeugdzorg;Oost-Nederland (LD);1e halfjaar 2017;74705.0;7.6;
43;JZ Totaal jeugdzorg;Oost-Nederland (LD);2e halfjaar 2017;77360.0;7.9;
44;JZ Totaal jeugdzorg;Oost-Nederland (LD);2017;87615.0;8.9;
45;JZ Totaal jeugdzorg;Oost-Nederland (LD);1e halfjaar 2018;75610.0;7.7;
46;JZ Totaal jeugdzorg;Oost-Nederland (LD);2e halfjaar 2018;79865.0;8.2;
47;JZ Totaal jeugdzorg;Oost-Nederland (LD);2018;89580.0;9.2;
48;JZ Totaal jeugdzorg;Oost-Nederland (LD);1e halfjaar 2019;79525.0;8.2;
49;JZ Totaal jeugdzorg;Oost-Nederland (LD);2e halfjaar 2019;80945.0;8.3;
50;JZ Totaal jeugdzorg;Oost-Nederland (LD);2019;92745.0;9.5;
51;JZ Totaal jeugdzorg;Oost-Nederland (LD);1e halfjaar 2020;77100.0;7.9;
52;JZ Totaal jeugdzorg;Oost-Nederland (LD);2e halfjaar 2020;79650.0;8.2;
53;JZ Totaal jeugdzorg;Oost-Nederland (LD);2020;91995.0;9.4;
54;JZ Totaal jeugdzorg;West-Nederland (LD);1e halfjaar 2015;145295.0;6.8;
55;JZ Totaal jeugdzorg;West-Nederland (LD);2e halfjaar 2015;155105.0;7.3;
56;JZ Totaal jeugdzorg;West-Nederland (LD);2015;175270.0;8.2;
57;JZ Totaal jeugdzorg;West-Nederland (LD);1e halfjaar 2016;162050.0;7.6;
58;JZ Totaal jeugdzorg;West-Nederland (LD);2e halfjaar 2016;170950.0;8.0;
59;JZ Totaal jeugdzorg;West-Nederland (LD);2016;195575.0;9.2;
60;JZ Totaal jeugdzorg;West-Nederland (LD);1e halfjaar 2017;169720.0;8.0;
61;JZ Totaal jeugdzorg;West-Nederland (LD);2e halfjaar 2017;173375.0;8.1;
62;JZ Totaal jeugdzorg;West-Nederland (LD);2017;201405.0;9.5;
63;JZ Totaal jeugdzorg;West-Nederland (LD);1e halfjaar 2018;172855.0;8.1;
64;JZ Totaal jeugdzorg;West-Nederland (LD);2e halfjaar 2018;183850.0;8.6;
65;JZ Totaal jeugdzorg;West-Nederland (LD);2018;208480.0;9.8;
66;JZ Totaal jeugdzorg;West-Nederland (LD);1e halfjaar 2019;182455.0;8.5;
67;JZ Totaal jeugdzorg;West-Nederland (LD);2e halfjaar 2019;185980.0;8.7;
68;JZ Totaal jeugdzorg;West-Nederland (LD);2019;215610.0;10.1;
69;JZ Totaal jeugdzorg;West-Nederland (LD);1e halfjaar 2020;177120.0;8.3;
70;JZ Totaal jeugdzorg;West-Nederland (LD);2e halfjaar 2020;179255.0;8.4;
71;JZ Totaal jeugdzorg;West-Nederland (LD);2020;211505.0;9.9;
72;JZ Totaal jeugdzorg;Zuid-Nederland (LD);1e halfjaar 2015;66280.0;7.4;
73;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2e halfjaar 2015;70020.0;7.8;
74;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2015;79400.0;8.8;
75;JZ Totaal jeugdzorg;Zuid-Nederland (LD);1e halfjaar 2016;68480.0;7.7;
76;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2e halfjaar 2016;70550.0;7.9;
77;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2016;81545.0;9.1;
78;JZ Totaal jeugdzorg;Zuid-Nederland (LD);1e halfjaar 2017;69240.0;7.8;
79;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2e halfjaar 2017;73020.0;8.2;
80;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2017;83020.0;9.3;
81;JZ Totaal jeugdzorg;Zuid-Nederland (LD);1e halfjaar 2018;72920.0;8.2;
82;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2e halfjaar 2018;77255.0;8.7;
83;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2018;86735.0;9.8;
84;JZ Totaal jeugdzorg;Zuid-Nederland (LD);1e halfjaar 2019;76465.0;8.7;
85;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2e halfjaar 2019;76840.0;8.7;
