ID;SchadeverzekeraarsNaarBranche;Perioden;ResultaatTechnischeRekening_1;BatenTotaal_2;VerdiendePremiesEigenRekening_3;GeboektePremiesEigenRekening_4;ToenameVoorzieningPremiesEigenRek_5;OntvangenBijdragen_6;ToegerekendeOpbrengstUitBeleggingen_7;NietGerealiseerdeWinstOpBeleggingen_8;OverigeTechnischeBatenEigenRekening_9;ToegerekendeOpbrengstBeleggingVanNTR_10;LastenTotaal_11;GeledenSchadenEigenRekening_12;GeboekteSchadenEigenRekening_13;ToenameVoorzieningSchadenEigenRek_14;BetaaldeBijdragen_15;WijzigingOverigeTechnischeVoorziening_16;WinstdelingEnKortingen_17;Bedrijfskosten_18;Beleggingslasten_19;NietGerealiseerdVerliesOpBeleggingen_20;OverigeTechnischeLastenEigenRekening_21;ToegerekendeOpbrengstBeleggingAanNTR_22;WijzigingEgalisatievoorziening_23
0;Schadeverzekeraars totaal;2000;194;18510;14987;15173;186;2209.0;376.0;0.0;123;816;18316;13311;11689;1622;886.0;-27;48;3942;41.0;2.0;9;104.0;1.0
1;Schadeverzekeraars totaal;2001;387;19517;15765;15992;227;2576.0;308.0;0.0;74;793;19130;13660;12656;1004;1073.0;-5;120;4136;12.0;-3.0;55;82.0;0.0
2;Schadeverzekeraars totaal;2002;227;21279;17448;17662;214;2903.0;148.0;0.0;101;679;21052;15187;14038;1150;1171.0;-13;128;4411;19.0;74.0;71;2.0;1.0
3;Schadeverzekeraars totaal;2003;1195;23831;18830;19109;278;3478.0;176.0;0.0;258;1089;22636;16032;14919;1113;1535.0;9;103;4625;7.0;4.0;289;34.0;-3.0
4;Schadeverzekeraars totaal;2004;1926;25781;20532;20751;219;3949.0;162.0;0.0;105;1033;23857;16768;15620;1148;1904.0;113;14;4838;6.0;5.0;173;36.0;0.0
5;Schadeverzekeraars totaal;2005;2467;26240;20981;21036;55;3688.0;212.0;25.0;172;1161;23773;17917;16734;1183;1999.0;-71;391;5221;8.0;14.0;205;68.0;20.0
6;Schadeverzekeraars totaal;2006;2003;21475;17047;17064;17;995.0;158.0;6.0;2115;1154;19472;13905;19334;-5428;-2.0;-21;134;4925;11.0;21.0;530;42.0;-73.0
7;Schadeverzekeraars totaal;2007;2502;18556;17188;17334;147;;;;146;1222;16054;10975;11091;-117;;-74;114;4891;;;106;;42.0
8;Schadeverzekeraars totaal;2008;1383;18629;18234;18332;98;;;;71;324;17246;12046;11580;466;;19;46;5043;;;80;;12.0
9;Schadeverzekeraars totaal;2009;1503;19592;18495;18421;-74;;;;70;1027;18090;12820;12343;478;;5;95;5078;;;93;;-2.0
10;Schadeverzekeraars totaal;2010;1370;19700;18834;18818;-16;;;;71;795;18330;13178;12577;600;;-9;77;5019;;;59;;6.0
11;Schadeverzekeraars totaal;2011;1088;19757;18843;18660;-184;;;;162;752;18671;13688;12823;865;;-4;44;4888;;;52;;3.0
12;Schadeverzekeraars totaal;2012;597;19993;18892;18693;-200;;;;134;967;19396;14342;12887;1456;;7;63;4941;;;42;;0.0
13;Schadeverzekeraars totaal;2013;787;19368;18368;18115;-252;;;;224;776;18579;13642;13062;578;;-47;51;4818;;;115;;0.0
14;Schadeverzekeraars totaal;2014;565;18114;17191;17059;-131;;;;24;899;17547;12818;12660;158;;27;16;4658;;;28;;0.0
15;Schadeverzekeraars totaal;2015;509;17899;17256;17084;-172;;;;75;568;17390;12714;12739;-25;;16;45;4485;;;130;;0.0
16;Ongevallen- en ziekteverzekering;2000;14;10258;7454;7501;47;2209.0;176.0;0.0;67;351;10244;7990;6979;1012;886.0;2;14;1266;25.0;2.0;20;38.0;0.0
17;Ongevallen- en ziekteverzekering;2001;234;11143;8015;8091;76;2576.0;181.0;0.0;53;318;10909;8246;7667;578;1073.0;11;83;1414;11.0;-3.0;25;49.0;0.0
18;Ongevallen- en ziekteverzekering;2002;276;12406;9083;9122;39;2903.0;83.0;0.0;74;262;12129;9221;8553;668;1171.0;3;99;1544;12.0;43.0;40;-3.0;0.0
19;Ongevallen- en ziekteverzekering;2003;746;13926;9732;9864;132;3478.0;86.0;0.0;76;554;13181;9910;9211;699;1535.0;-9;75;1582;5.0;4.0;64;19.0;-5.0
20;Ongevallen- en ziekteverzekering;2004;1111;15607;11007;11095;88;3949.0;76.0;0.0;66;509;14496;10683;10032;651;1904.0;116;-10;1653;3.0;5.0;125;17.0;0.0
21;Ongevallen- en ziekteverzekering;2005;1194;15680;11176;11118;-57;3688.0;99.0;11.0;108;599;14486;12031;11553;478;1999.0;-87;371;1947;4.0;12.0;180;28.0;0.0
22;Ongevallen- en ziekteverzekering;2006;673;10676;7023;7030;7;995.0;66.0;2.0;1941;649;10003;8032;13843;-5811;-2.0;-28;104;1484;6.0;13.0;483;14.0;-104.0
23;Ongevallen- en ziekteverzekering;2007;1321;7698;7038;7089;51;;;;103;557;6377;4904;5028;-124;;-64;84;1384;;;69;;
24;Ongevallen- en ziekteverzekering;2008;937;7708;7578;7632;54;;;;29;102;6771;5320;5033;287;;19;22;1358;;;52;;
25;Ongevallen- en ziekteverzekering;2009;871;8180;7766;7716;-50;;;;16;398;7309;5813;5303;510;;2;52;1394;;;48;;
26;Ongevallen- en ziekteverzekering;2010;717;8315;7967;7933;-34;;;;18;330;7598;6112;5557;555;;-5;51;1406;;;35;;
27;Ongevallen- en ziekteverzekering;2011;296;8696;8226;8217;-9;;;;117;353;8400;6920;6018;902;;-6;9;1447;;;30;;
28;Ongevallen- en ziekteverzekering;2012;12;9000;8385;8287;-99;;;;113;502;8987;7478;6096;1382;;5;21;1471;;;12;;
29;Ongevallen- en ziekteverzekering;2013;360;8555;8040;7954;-86;;;;178;337;8195;6708;6244;463;;-46;27;1431;;;75;;
30;Ongevallen- en ziekteverzekering;2014;310;8329;7761;7679;-81;;;;5;563;8018;6543;6194;349;;28;-5;1418;;;34;;
31;Ongevallen- en ziekteverzekering;2015;550;8186;7813;7669;-144;;;;40;333;7636;6168;6301;-133;;18;28;1316;;;106;;
32;Motorrijtuigverzekering;2000;-23;4066;3709;3790;81;;105.0;0.0;5;247;4089;2904;2586;318;;2;9;1114;10.0;0.0;14;35.0;0.0
