ID;Geslacht;Arbeidspositie;Persoonskenmerken;Perioden;BeroepsEnNietBeroepsbevolking_1;BeroepsEnNietBeroepsbevMetInkomen_2;GemiddeldPersoonlijkPrimairInkomen_3;GemiddeldPersoonlijkOverdrachtsinkomen_4;GemiddeldPersoonlijkInkomen_5;GemiddeldGestandaardiseerdInkomen_6;BeroepsNietBeroepsbevInkomenOnb_7
0;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2013;12638.0;12276.0;27.2;6.6;28.9;27.8;362.0
1;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2014;12665.0;12203.0;27.6;6.8;29.4;29.3;461.0
2;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2015;12685.0;12297.0;27.6;6.6;29.8;29.3;388.0
3;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2016;12768.0;12255.0;28.4;6.7;30.5;30.5;513.0
4;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2017;12870.0;12119.0;29.3;6.9;31.4;31.5;751.0
5;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2018;12936.0;12271.0;30.5;6.6;32.1;31.9;665.0
6;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2019;13015.0;12344.0;32.1;6.6;33.3;34.7;672.0
7;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2020;13094.0;12274.0;33.4;6.9;34.5;35.3;821.0
8;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2021;13147.0;13089.0;35.3;6.9;36.3;38.0;57.0
9;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2022;13228.0;13175.0;38.5;6.7;38.5;40.4;53.0
10;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2023;13326.0;13262.0;41.0;7.0;40.7;43.1;64.0
11;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2024;13388.0;;;;;;
12;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;1 Basisonderwijs, vmbo, mbo1;2013;3717.0;3627.0;12.6;6.5;17.0;24.3;91.0
13;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;1 Basisonderwijs, vmbo, mbo1;2014;3748.0;3615.0;12.7;6.7;17.2;25.4;133.0
14;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;1 Basisonderwijs, vmbo, mbo1;2015;3718.0;3597.0;12.4;6.7;17.1;25.3;120.0
15;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;1 Basisonderwijs, vmbo, mbo1;2016;3663.0;3517.0;12.8;6.8;17.5;26.5;146.0
16;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;1 Basisonderwijs, vmbo, mbo1;2017;3588.0;3384.0;13.1;7.0;17.9;27.3;204.0
17;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;1 Basisonderwijs, vmbo, mbo1;2018;3548.0;3371.0;13.8;6.9;18.5;27.8;177.0
