ID;MigratieachtergrondMoeder;GeneratieMoeder;Perioden;LevendGeborenKinderen_1;LevendGeborenKinderenRelatief_2;GemiddeldeLeeftijdMoederBijGeboorte_3;GemiddeldKindertalPerVrouw_4
0;Totaal;Totaal;2010;184397.0;48.01;31.0;1.796
1;Totaal;Totaal;2011;180060.0;47.09;31.0;1.759
2;Totaal;Totaal;2012;175959.0;46.25;31.0;1.723
3;Totaal;Totaal;2013;171341.0;45.29;31.0;1.679
4;Totaal;Totaal;2014;175181.0;46.54;31.1;1.713
5;Totaal;Totaal;2015;170510.0;45.4;31.1;1.658
6;Totaal;Totaal;2016;172520.0;45.96;31.2;1.663
7;Totaal;Totaal;2017;169836.0;45.19;31.3;1.619
8;Totaal;Totaal;2018;168525.0;44.78;31.4;1.586
9;Totaal;Totaal;2019;169680.0;45.06;31.5;1.574
10;Totaal;Totaal;2020;168681.0;44.85;31.6;1.545
11;Totaal;Totaal;2021;179441.0;47.7;31.7;1.624
12;Totaal;Totaal;2022;167504.0;44.08;31.7;1.487
13;Totaal;Moeder: Nederlandse achtergrond;2010;133739.0;46.15;31.1;1.816
14;Totaal;Moeder: Nederlandse achtergrond;2011;129802.0;45.33;31.1;1.785
15;Totaal;Moeder: Nederlandse achtergrond;2012;125372.0;44.29;31.0;1.74
16;Totaal;Moeder: Nederlandse achtergrond;2013;121724.0;43.49;31.0;1.699
17;Totaal;Moeder: Nederlandse achtergrond;2014;123345.0;44.57;31.1;1.727
18;Totaal;Moeder: Nederlandse achtergrond;2015;118657.0;43.29;31.1;1.662
19;Totaal;Moeder: Nederlandse achtergrond;2016;118787.0;43.76;31.3;1.662
20;Totaal;Moeder: Nederlandse achtergrond;2017;116236.0;43.24;31.3;1.622
21;Totaal;Moeder: Nederlandse achtergrond;2018;113915.0;42.79;31.4;1.583
22;Totaal;Moeder: Nederlandse achtergrond;2019;113721.0;43.25;31.5;1.573
23;Totaal;Moeder: Nederlandse achtergrond;2020;113404.0;43.65;31.6;1.559
24;Totaal;Moeder: Nederlandse achtergrond;2021;121283.0;47.18;31.7;1.66
25;Totaal;Moeder: Nederlandse achtergrond;2022;111104.0;43.66;31.7;1.515
26;Totaal;Moeder: met migratieachtergrond;2010;50658.0;53.73;30.9;1.772
27;Totaal;Moeder: met migratieachtergrond;2011;50258.0;52.32;30.9;1.725
28;Totaal;Moeder: met migratieachtergrond;2012;50587.0;51.95;30.8;1.709
29;Totaal;Moeder: met migratieachtergrond;2013;49617.0;50.42;30.8;1.658
30;Totaal;Moeder: met migratieachtergrond;2014;51836.0;52.03;31.0;1.706
31;Totaal;Moeder: met migratieachtergrond;2015;51853.0;51.1;31.1;1.672
32;Totaal;Moeder: met migratieachtergrond;2016;53733.0;51.7;31.1;1.687
33;Totaal;Moeder: met migratieachtergrond;2017;53600.0;50.1;31.2;1.633
34;Totaal;Moeder: met migratieachtergrond;2018;54610.0;49.59;31.3;1.61
35;Totaal;Moeder: met migratieachtergrond;2019;55959.0;49.25;31.4;1.592
36;Totaal;Moeder: met migratieachtergrond;2020;55277.0;47.52;31.6;1.528
37;Totaal;Moeder: met migratieachtergrond;2021;58158.0;48.8;31.7;1.566
38;Totaal;Moeder: met migratieachtergrond;2022;56400.0;44.92;31.7;1.441
39;Totaal;Moeder: 1e generatie migratieachtergrond;2010;32843.0;58.11;30.5;1.856
40;Totaal;Moeder: 1e generatie migratieachtergrond;2011;32618.0;56.8;30.4;1.823
41;Totaal;Moeder: 1e generatie migratieachtergrond;2012;32195.0;55.62;30.5;1.781
42;Totaal;Moeder: 1e generatie migratieachtergrond;2013;31053.0;53.55;30.5;1.723
43;Totaal;Moeder: 1e generatie migratieachtergrond;2014;32152.0;55.19;30.7;1.761
44;Totaal;Moeder: 1e generatie migratieachtergrond;2015;31954.0;54.06;30.7;1.726
45;Totaal;Moeder: 1e generatie migratieachtergrond;2016;32990.0;54.52;30.7;1.743
46;Totaal;Moeder: 1e generatie migratieachtergrond;2017;32830.0;52.56;30.8;1.675
47;Totaal;Moeder: 1e generatie migratieachtergrond;2018;33567.0;52.05;30.9;1.652
48;Totaal;Moeder: 1e generatie migratieachtergrond;2019;34396.0;51.42;31.1;1.617
49;Totaal;Moeder: 1e generatie migratieachtergrond;2020;33636.0;49.13;31.3;1.536
50;Totaal;Moeder: 1e generatie migratieachtergrond;2021;34303.0;48.87;31.6;1.516
51;Totaal;Moeder: 1e generatie migratieachtergrond;2022;33646.0;44.59;31.5;1.389
52;Totaal;Moeder: 2e generatie migratieachtergrond;2010;17815.0;47.18;31.1;1.715
53;Totaal;Moeder: 2e generatie migratieachtergrond;2011;17640.0;45.66;31.0;1.637
54;Totaal;Moeder: 2e generatie migratieachtergrond;2012;18392.0;46.57;31.0;1.654
55;Totaal;Moeder: 2e generatie migratieachtergrond;2013;18564.0;45.93;30.9;1.615
56;Totaal;Moeder: 2e generatie migratieachtergrond;2014;19684.0;47.59;31.0;1.666
57;Totaal;Moeder: 2e generatie migratieachtergrond;2015;19899.0;46.96;31.2;1.643
58;Totaal;Moeder: 2e generatie migratieachtergrond;2016;20743.0;47.78;31.2;1.664
59;Totaal;Moeder: 2e generatie migratieachtergrond;2017;20770.0;46.66;31.3;1.623
60;Totaal;Moeder: 2e generatie migratieachtergrond;2018;21043.0;46.12;31.4;1.6
61;Totaal;Moeder: 2e generatie migratieachtergrond;2019;21563.0;46.15;31.5;1.596
62;Totaal;Moeder: 2e generatie migratieachtergrond;2020;21641.0;45.22;31.6;1.559
63;Totaal;Moeder: 2e generatie migratieachtergrond;2021;23855.0;48.69;31.7;1.672
64;Totaal;Moeder: 2e generatie migratieachtergrond;2022;22754.0;45.42;31.8;1.554
65;Nederlandse achtergrond;Totaal;2010;133739.0;46.15;31.1;1.816
66;Nederlandse achtergrond;Totaal;2011;129802.0;45.33;31.1;1.785
67;Nederlandse achtergrond;Totaal;2012;125372.0;44.29;31.0;1.74
68;Nederlandse achtergrond;Totaal;2013;121724.0;43.49;31.0;1.699
69;Nederlandse achtergrond;Totaal;2014;123345.0;44.57;31.1;1.727
70;Nederlandse achtergrond;Totaal;2015;118657.0;43.29;31.1;1.662
71;Nederlandse achtergrond;Totaal;2016;118787.0;43.76;31.3;1.662
72;Nederlandse achtergrond;Totaal;2017;116236.0;43.24;31.3;1.622
73;Nederlandse achtergrond;Totaal;2018;113915.0;42.79;31.4;1.583
74;Nederlandse achtergrond;Totaal;2019;113721.0;43.25;31.5;1.573
75;Nederlandse achtergrond;Totaal;2020;113404.0;43.65;31.6;1.559
76;Nederlandse achtergrond;Totaal;2021;121283.0;47.18;31.7;1.66
77;Nederlandse achtergrond;Totaal;2022;111104.0;43.66;31.7;1.515
78;Nederlandse achtergrond;Moeder: Nederlandse achtergrond;2010;133739.0;46.15;31.1;1.816
79;Nederlandse achtergrond;Moeder: Nederlandse achtergrond;2011;129802.0;45.33;31.1;1.785
80;Nederlandse achtergrond;Moeder: Nederlandse achtergrond;2012;125372.0;44.29;31.0;1.74
81;Nederlandse achtergrond;Moeder: Nederlandse achtergrond;2013;121724.0;43.49;31.0;1.699
82;Nederlandse achtergrond;Moeder: Nederlandse achtergrond;2014;123345.0;44.57;31.1;1.727
