ID;Inkomensbegrippen;Inkomensklassen;Geslacht;KenmerkenVanPersonen;Perioden;PersonenMetInkomen_1;GemiddeldInkomen_2;MediaanInkomen_3
0;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Totaal personen;2011;9168.3;36.5;30.5
1;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Totaal personen;2012;9152.5;37.0;30.5
2;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Totaal personen;2013;9074.9;37.5;30.9
3;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Totaal personen;2014;9076.6;38.2;31.4
4;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Totaal personen;2015;9141.7;38.2;31.6
5;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Totaal personen;2016;9241.0;38.9;32.3
6;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Totaal personen;2017;9412.7;39.8;33.2
7;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Totaal personen;2018;9608.6;40.8;34.2
8;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Totaal personen;2019;9780.8;42.3;35.6
9;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Totaal personen;2020;9782.6;43.8;37.2
10;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Totaal personen;2021;9933.3;45.3;38.3
11;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Totaal personen;2022;10159.1;48.0;41.0
12;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Totaal personen;2023;10321.5;50.8;43.6
13;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: ongehuwd;2011;3985.1;28.0;23.1
14;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: ongehuwd;2012;3998.9;28.4;22.8
15;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: ongehuwd;2013;3991.3;28.6;22.8
16;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: ongehuwd;2014;4042.4;29.1;23.0
17;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: ongehuwd;2015;4141.7;29.1;23.3
18;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: ongehuwd;2016;4251.5;29.8;24.0
19;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: ongehuwd;2017;4392.8;30.5;25.0
20;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: ongehuwd;2018;4548.2;31.6;26.2
21;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: ongehuwd;2019;4677.2;33.0;27.7
22;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: ongehuwd;2020;4697.6;34.6;29.4
23;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: ongehuwd;2021;4852.9;36.0;30.5
24;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: ongehuwd;2022;5042.9;38.5;33.1
25;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: ongehuwd;2023;5158.8;41.0;35.4
26;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gehuwd;2011;4376.5;44.0;37.1
27;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gehuwd;2012;4342.1;44.7;37.4
28;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gehuwd;2013;4275.8;45.4;37.9
29;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gehuwd;2014;4220.7;46.5;38.8
30;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gehuwd;2015;4175.2;46.7;39.3
31;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gehuwd;2016;4151.3;47.8;40.3
32;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gehuwd;2017;4162.1;49.0;41.3
33;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gehuwd;2018;4182.7;50.1;42.4
34;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gehuwd;2019;4210.1;51.9;43.9
35;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gehuwd;2020;4191.3;53.4;45.4
36;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gehuwd;2021;4177.7;55.4;46.6
37;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gehuwd;2022;4204.0;58.6;49.5
38;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gehuwd;2023;4253.3;62.0;52.5
39;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: verweduwd;2011;103.0;26.3;17.5
40;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: verweduwd;2012;104.9;26.4;17.3
41;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: verweduwd;2013;103.2;27.4;18.5
42;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: verweduwd;2014;102.3;28.6;19.5
43;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: verweduwd;2015;100.7;29.2;20.7
44;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: verweduwd;2016;99.1;30.3;22.1
45;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: verweduwd;2017;100.3;31.2;23.0
46;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: verweduwd;2018;101.4;31.7;23.7
47;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: verweduwd;2019;103.1;33.1;24.9
48;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: verweduwd;2020;101.9;33.8;25.5
49;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: verweduwd;2021;102.6;34.6;26.0
50;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: verweduwd;2022;104.5;36.6;27.8
51;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: verweduwd;2023;106.4;38.5;29.4
52;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gescheiden;2011;703.7;39.8;34.8
53;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gescheiden;2012;706.6;40.5;35.2
54;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gescheiden;2013;704.6;41.2;35.8
55;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gescheiden;2014;711.2;42.2;36.6
56;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gescheiden;2015;724.0;42.4;37.0
57;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gescheiden;2016;739.1;43.3;37.7
58;Persoonlijk primair inkomen;Totaal;Totaal mannen en vrouwen;Burgerlijke staat: gescheiden;2017;757.5;44.3;38.6
