ID;Landen;Perioden;EMUSaldo_1;EMUSchuld_2
0;1;1995;;
1;1;1996;-3.8;130.2
2;1;1997;-2.0;124.8
3;1;1998;-0.7;119.6
4;1;1999;-0.4;114.8
5;1;2000;0.2;109.1
6;1;2001;0.6;108.0
7;1;2002;0.0;103.3
8;1;2003;0.0;98.6
9;1;2004;0.0;94.3
10;1;2005;-2.3;93.2
11;1;2006;;
12;2;1995;;
13;2;1996;;
14;2;1997;;
15;2;1998;-4.3;61.6
16;2;1999;-4.5;62.0
17;2;2000;-2.4;61.6
18;2;2001;-2.3;61.9
19;2;2002;-4.4;64.7
20;2;2003;-6.3;69.1
21;2;2004;-4.1;70.3
22;2;2005;-2.3;69.2
23;2;2006;;
24;3;1995;;
25;3;1996;-1.0;66.9
26;3;1997;0.3;63.2
27;3;1998;1.1;59.2
28;3;1999;3.2;55.8
29;3;2000;1.7;52.3
30;3;2001;2.6;48.0
31;3;2002;1.2;46.8
32;3;2003;1.1;44.4
33;3;2004;2.7;42.6
34;3;2005;4.9;35.9
35;3;2006;;
36;4;1995;;
37;4;1996;-3.4;59.8
38;4;1997;-2.7;61.0
39;4;1998;-2.2;60.9
40;4;1999;-1.5;61.2
41;4;2000;1.3;60.2
42;4;2001;-2.9;59.6
43;4;2002;-3.7;60.3
44;4;2003;-4.0;63.9
45;4;2004;-3.7;65.7
46;4;2005;-3.2;67.9
47;4;2006;;
48;5;1995;;
49;5;1996;;
50;5;1997;1.9;6.4
51;5;1998;-0.3;5.6
52;5;1999;-3.7;6.0
53;5;2000;-0.6;4.7
54;5;2001;0.3;4.7
55;5;2002;0.4;5.6
56;5;2003;2.0;5.7
57;5;2004;2.3;5.2
58;5;2005;2.3;4.5
59;5;2006;;
60;6;1995;;
61;6;1996;-3.2;57.1
62;6;1997;-1.5;54.1
63;6;1998;1.5;48.6
64;6;1999;2.2;47.0
65;6;2000;7.1;44.6
66;6;2001;5.2;43.6
67;6;2002;4.1;41.3
68;6;2003;2.5;44.3
69;6;2004;2.3;44.3
70;6;2005;2.7;41.3
71;6;2006;;
72;7;1995;;
73;7;1996;-4.1;57.1
74;7;1997;-3.0;59.3
75;7;1998;-2.7;59.5
76;7;1999;-1.8;58.5
77;7;2000;-1.4;56.8
78;7;2001;-1.6;56.8
79;7;2002;-3.2;58.2
80;7;2003;-4.2;62.4
81;7;2004;-3.7;64.4
82;7;2005;-2.9;66.6
83;7;2006;;
84;8;1995;;
85;8;1996;-7.4;111.3
86;8;1997;-4.0;108.2
87;8;1998;-2.5;105.8
88;8;1999;-1.8;105.2
89;8;2000;-4.1;114.0
90;8;2001;-6.1;114.4
91;8;2002;-5.2;110.7
92;8;2003;-6.1;107.8
93;8;2004;-7.8;108.5
94;8;2005;-5.2;107.5
95;8;2006;;
96;9;1995;;
97;9;1996;;
98;9;1997;-6.8;64.2
99;9;1998;-8.0;61.9
100;9;1999;-5.6;61.2
101;9;2000;-3.0;55.4
102;9;2001;-3.5;52.2
103;9;2002;-8.2;54.0
104;9;2003;-6.3;55.8
105;9;2004;-5.3;56.3
106;9;2005;-6.5;57.7
107;9;2006;;
108;Ierland;1995;;
109;Ierland;1996;-0.2;73.3
110;Ierland;1997;1.2;64.5
111;Ierland;1998;2.4;53.8
112;Ierland;1999;2.4;48.6
113;Ierland;2000;4.4;38.3
114;Ierland;2001;0.8;35.9
115;Ierland;2002;-0.4;32.2
116;Ierland;2003;0.3;31.1
117;Ierland;2004;1.5;29.7
118;Ierland;2005;1.1;27.4
119;Ierland;2006;;
120;Italië;1995;;
121;Italië;1996;-7.1;123.1
122;Italië;1997;-2.7;120.5
123;Italië;1998;-2.8;116.7
124;Italië;1999;-1.7;115.5
125;Italië;2000;-0.6;111.2
126;Italië;2001;-3.2;110.9
127;Italië;2002;-2.9;105.6
128;Italië;2003;-3.5;104.3
129;Italië;2004;-3.4;103.9
130;Italië;2005;-4.1;106.6
131;Italië;2006;;
132;Letland;1995;;
133;Letland;1996;;
134;Letland;1997;;
135;Letland;1998;-0.6;9.8
136;Letland;1999;-4.9;12.6
137;Letland;2000;-2.8;12.9
138;Letland;2001;-2.1;15.0
139;Letland;2002;-2.3;13.5
140;Letland;2003;-1.2;14.4
141;Letland;2004;-0.9;14.5
142;Letland;2005;0.1;12.1
143;Letland;2006;;
144;Litouwen;1995;;
145;Litouwen;1996;;
146;Litouwen;1997;-1.1;15.2
147;Litouwen;1998;-3.0;16.5
148;Litouwen;1999;-5.6;23.0
149;Litouwen;2000;-2.5;23.8
150;Litouwen;2001;-2.0;22.9
151;Litouwen;2002;-1.5;22.2
152;Litouwen;2003;-1.3;21.2
153;Litouwen;2004;-1.5;19.4
154;Litouwen;2005;-0.5;18.7
155;Litouwen;2006;;
156;Luxemburg;1995;;
157;Luxemburg;1996;1.9;7.2
158;Luxemburg;1997;3.2;6.8
159;Luxemburg;1998;3.1;6.3
160;Luxemburg;1999;3.5;5.9
161;Luxemburg;2000;6.0;5.5
162;Luxemburg;2001;6.1;6.7
163;Luxemburg;2002;2.1;6.5
164;Luxemburg;2003;0.3;6.3
165;Luxemburg;2004;-1.1;6.6
166;Luxemburg;2005;-1.0;6.0
167;Luxemburg;2006;;
168;Malta;1995;;
169;Malta;1996;;
170;Malta;1997;-10.7;51.5
171;Malta;1998;-10.8;64.9
172;Malta;1999;-7.6;56.8
173;Malta;2000;-6.2;56.4
174;Malta;2001;-6.6;63.5
175;Malta;2002;-5.5;60.1
176;Malta;2003;-10.0;70.2
177;Malta;2004;-5.0;74.9
178;Malta;2005;-3.2;74.2
179;Malta;2006;;
180;Nederland;1995;-9.2;76.2
181;Nederland;1996;-1.9;74.1
182;Nederland;1997;-1.2;68.4
183;Nederland;1998;-0.9;65.6
184;Nederland;1999;0.4;61.1
185;Nederland;2000;2.0;53.8
186;Nederland;2001;-0.2;50.7
187;Nederland;2002;-2.0;50.5
188;Nederland;2003;-3.1;52.0
189;Nederland;2004;-1.8;52.6
190;Nederland;2005;-0.3;52.7
