ID;Zorgtype;FinancieringsvormenZorg;Perioden;UitgavenGezondheidsEnWelzijnszorg_1
0;Totaal gezondheids- en welzijnszorg;Totaal alle financieringsvormen;2021;129060.0
1;Totaal gezondheids- en welzijnszorg;Totaal alle financieringsvormen;2022;132858.0
2;Totaal gezondheids- en welzijnszorg;Totaal alle financieringsvormen;2023;142824.0
3;Totaal gezondheids- en welzijnszorg;HF11: Overheid;2021;32859.0
4;Totaal gezondheids- en welzijnszorg;HF11: Overheid;2022;31622.0
5;Totaal gezondheids- en welzijnszorg;HF11: Overheid;2023;32630.0
6;Totaal gezondheids- en welzijnszorg;HF121a: Wlz, AWBZ;2021;26738.0
7;Totaal gezondheids- en welzijnszorg;HF121a: Wlz, AWBZ;2022;28349.0
8;Totaal gezondheids- en welzijnszorg;HF121a: Wlz, AWBZ;2023;31366.0
9;Totaal gezondheids- en welzijnszorg;HF121b: Ziekenfonds;2021;
10;Totaal gezondheids- en welzijnszorg;HF121b: Ziekenfonds;2022;
11;Totaal gezondheids- en welzijnszorg;HF121b: Ziekenfonds;2023;
12;Totaal gezondheids- en welzijnszorg;HF122: Zorgverzekeringswet;2021;49769.0
13;Totaal gezondheids- en welzijnszorg;HF122: Zorgverzekeringswet;2022;51150.0
14;Totaal gezondheids- en welzijnszorg;HF122: Zorgverzekeringswet;2023;55074.0
15;Totaal gezondheids- en welzijnszorg;HF21:Vrijwillige ziektekostenverzekering;2021;4127.0
16;Totaal gezondheids- en welzijnszorg;HF21:Vrijwillige ziektekostenverzekering;2022;4135.0
17;Totaal gezondheids- en welzijnszorg;HF21:Vrijwillige ziektekostenverzekering;2023;4422.0
18;Totaal gezondheids- en welzijnszorg;HF3: Eigen betalingen;2021;13311.0
19;Totaal gezondheids- en welzijnszorg;HF3: Eigen betalingen;2022;15276.0
20;Totaal gezondheids- en welzijnszorg;HF3: Eigen betalingen;2023;16872.0
21;Totaal gezondheids- en welzijnszorg;HF31: Directe eigen betalingen;2021;7857.0
22;Totaal gezondheids- en welzijnszorg;HF31: Directe eigen betalingen;2022;9593.0
23;Totaal gezondheids- en welzijnszorg;HF31: Directe eigen betalingen;2023;10965.0
24;Totaal gezondheids- en welzijnszorg;HF32: Eigen risico en bijdragen;2021;5454.0
25;Totaal gezondheids- en welzijnszorg;HF32: Eigen risico en bijdragen;2022;5684.0
26;Totaal gezondheids- en welzijnszorg;HF32: Eigen risico en bijdragen;2023;5907.0
27;Totaal gezondheids- en welzijnszorg;Overige financieringsvormen;2021;2256.0
28;Totaal gezondheids- en welzijnszorg;Overige financieringsvormen;2022;2326.0
29;Totaal gezondheids- en welzijnszorg;Overige financieringsvormen;2023;2460.0
30;MSZ klinische zorg;Totaal alle financieringsvormen;2021;9427.0
31;MSZ klinische zorg;Totaal alle financieringsvormen;2022;9324.0
32;MSZ klinische zorg;Totaal alle financieringsvormen;2023;9884.0
33;MSZ klinische zorg;HF11: Overheid;2021;0.0
34;MSZ klinische zorg;HF11: Overheid;2022;0.0
35;MSZ klinische zorg;HF11: Overheid;2023;0.0
36;MSZ klinische zorg;HF121a: Wlz, AWBZ;2021;0.0
37;MSZ klinische zorg;HF121a: Wlz, AWBZ;2022;0.0
38;MSZ klinische zorg;HF121a: Wlz, AWBZ;2023;0.0
39;MSZ klinische zorg;HF121b: Ziekenfonds;2021;
40;MSZ klinische zorg;HF121b: Ziekenfonds;2022;
41;MSZ klinische zorg;HF121b: Ziekenfonds;2023;
42;MSZ klinische zorg;HF122: Zorgverzekeringswet;2021;8795.0
43;MSZ klinische zorg;HF122: Zorgverzekeringswet;2022;8688.0
44;MSZ klinische zorg;HF122: Zorgverzekeringswet;2023;9227.0
45;MSZ klinische zorg;HF21:Vrijwillige ziektekostenverzekering;2021;0.0
46;MSZ klinische zorg;HF21:Vrijwillige ziektekostenverzekering;2022;0.0
47;MSZ klinische zorg;HF21:Vrijwillige ziektekostenverzekering;2023;0.0
48;MSZ klinische zorg;HF3: Eigen betalingen;2021;632.0
49;MSZ klinische zorg;HF3: Eigen betalingen;2022;637.0
50;MSZ klinische zorg;HF3: Eigen betalingen;2023;658.0
51;MSZ klinische zorg;HF31: Directe eigen betalingen;2021;0.0
52;MSZ klinische zorg;HF31: Directe eigen betalingen;2022;0.0
53;MSZ klinische zorg;HF31: Directe eigen betalingen;2023;0.0
54;MSZ klinische zorg;HF32: Eigen risico en bijdragen;2021;632.0
55;MSZ klinische zorg;HF32: Eigen risico en bijdragen;2022;637.0
56;MSZ klinische zorg;HF32: Eigen risico en bijdragen;2023;658.0
57;MSZ klinische zorg;Overige financieringsvormen;2021;0.0
58;MSZ klinische zorg;Overige financieringsvormen;2022;0.0
59;MSZ klinische zorg;Overige financieringsvormen;2023;0.0
60;MSZ dagbehandeling;Totaal alle financieringsvormen;2021;2419.0
61;MSZ dagbehandeling;Totaal alle financieringsvormen;2022;2639.0
62;MSZ dagbehandeling;Totaal alle financieringsvormen;2023;2849.0
63;MSZ dagbehandeling;HF11: Overheid;2021;0.0
64;MSZ dagbehandeling;HF11: Overheid;2022;0.0
65;MSZ dagbehandeling;HF11: Overheid;2023;0.0
66;MSZ dagbehandeling;HF121a: Wlz, AWBZ;2021;0.0
67;MSZ dagbehandeling;HF121a: Wlz, AWBZ;2022;0.0
68;MSZ dagbehandeling;HF121a: Wlz, AWBZ;2023;0.0
69;MSZ dagbehandeling;HF121b: Ziekenfonds;2021;
70;MSZ dagbehandeling;HF121b: Ziekenfonds;2022;
71;MSZ dagbehandeling;HF121b: Ziekenfonds;2023;
72;MSZ dagbehandeling;HF122: Zorgverzekeringswet;2021;2246.0
73;MSZ dagbehandeling;HF122: Zorgverzekeringswet;2022;2451.0
74;MSZ dagbehandeling;HF122: Zorgverzekeringswet;2023;2654.0
75;MSZ dagbehandeling;HF21:Vrijwillige ziektekostenverzekering;2021;3.0
76;MSZ dagbehandeling;HF21:Vrijwillige ziektekostenverzekering;2022;4.0
77;MSZ dagbehandeling;HF21:Vrijwillige ziektekostenverzekering;2023;4.0
78;MSZ dagbehandeling;HF3: Eigen betalingen;2021;170.0
79;MSZ dagbehandeling;HF3: Eigen betalingen;2022;185.0
80;MSZ dagbehandeling;HF3: Eigen betalingen;2023;191.0
81;MSZ dagbehandeling;HF31: Directe eigen betalingen;2021;0.0
82;MSZ dagbehandeling;HF31: Directe eigen betalingen;2022;0.0
83;MSZ dagbehandeling;HF31: Directe eigen betalingen;2023;0.0
84;MSZ dagbehandeling;HF32: Eigen risico en bijdragen;2021;170.0
85;MSZ dagbehandeling;HF32: Eigen risico en bijdragen;2022;185.0
86;MSZ dagbehandeling;HF32: Eigen risico en bijdragen;2023;191.0
87;MSZ dagbehandeling;Overige financieringsvormen;2021;0.0
88;MSZ dagbehandeling;Overige financieringsvormen;2022;0.0
89;MSZ dagbehandeling;Overige financieringsvormen;2023;0.0
