ID;TypeMisdrijf;Geslacht;WelGeenWoonadresInNederland;Nationaliteit;Perioden;RegistratiesVanVerdachten_1
0;Totaal;Totaal mannen en vrouwen;Totaal;Totaal;2010;403340
1;Totaal;Totaal mannen en vrouwen;Totaal;Totaal;2011;394810
2;Totaal;Totaal mannen en vrouwen;Totaal;Totaal;2012;369790
3;Totaal;Totaal mannen en vrouwen;Totaal;Totaal;2013;347990
4;Totaal;Totaal mannen en vrouwen;Totaal;Totaal;2014;324250
5;Totaal;Totaal mannen en vrouwen;Totaal;Totaal;2015;298840
6;Totaal;Totaal mannen en vrouwen;Totaal;Totaal;2016;276840
7;Totaal;Totaal mannen en vrouwen;Totaal;Totaal;2017;256010
8;Totaal;Totaal mannen en vrouwen;Totaal;Totaal;2018;256860
9;Totaal;Totaal mannen en vrouwen;Totaal;Totaal;2019;274200
10;Totaal;Totaal mannen en vrouwen;Totaal;Totaal;2020;262450
11;Totaal;Totaal mannen en vrouwen;Totaal;Totaal;2021;242490
12;Totaal;Totaal mannen en vrouwen;Totaal;Totaal;2022;262880
13;Totaal;Totaal mannen en vrouwen;Totaal;Totaal;2023;260010
14;Totaal;Totaal mannen en vrouwen;Totaal;Totaal;2024;244820
15;Totaal;Totaal mannen en vrouwen;Totaal;Nederlands;2010;341410
16;Totaal;Totaal mannen en vrouwen;Totaal;Nederlands;2011;330820
17;Totaal;Totaal mannen en vrouwen;Totaal;Nederlands;2012;310510
18;Totaal;Totaal mannen en vrouwen;Totaal;Nederlands;2013;290750
19;Totaal;Totaal mannen en vrouwen;Totaal;Nederlands;2014;271440
20;Totaal;Totaal mannen en vrouwen;Totaal;Nederlands;2015;248550
21;Totaal;Totaal mannen en vrouwen;Totaal;Nederlands;2016;228620
22;Totaal;Totaal mannen en vrouwen;Totaal;Nederlands;2017;208760
23;Totaal;Totaal mannen en vrouwen;Totaal;Nederlands;2018;206130
24;Totaal;Totaal mannen en vrouwen;Totaal;Nederlands;2019;218750
25;Totaal;Totaal mannen en vrouwen;Totaal;Nederlands;2020;210940
26;Totaal;Totaal mannen en vrouwen;Totaal;Nederlands;2021;194280
27;Totaal;Totaal mannen en vrouwen;Totaal;Nederlands;2022;203600
28;Totaal;Totaal mannen en vrouwen;Totaal;Nederlands;2023;196490
29;Totaal;Totaal mannen en vrouwen;Totaal;Nederlands;2024;185350
30;Totaal;Totaal mannen en vrouwen;Totaal;Afghaans;2010;250
31;Totaal;Totaal mannen en vrouwen;Totaal;Afghaans;2011;260
32;Totaal;Totaal mannen en vrouwen;Totaal;Afghaans;2012;260
33;Totaal;Totaal mannen en vrouwen;Totaal;Afghaans;2013;240
34;Totaal;Totaal mannen en vrouwen;Totaal;Afghaans;2014;220
35;Totaal;Totaal mannen en vrouwen;Totaal;Afghaans;2015;220
36;Totaal;Totaal mannen en vrouwen;Totaal;Afghaans;2016;270
37;Totaal;Totaal mannen en vrouwen;Totaal;Afghaans;2017;260
38;Totaal;Totaal mannen en vrouwen;Totaal;Afghaans;2018;280
39;Totaal;Totaal mannen en vrouwen;Totaal;Afghaans;2019;360
40;Totaal;Totaal mannen en vrouwen;Totaal;Afghaans;2020;280
41;Totaal;Totaal mannen en vrouwen;Totaal;Afghaans;2021;250
42;Totaal;Totaal mannen en vrouwen;Totaal;Afghaans;2022;310
43;Totaal;Totaal mannen en vrouwen;Totaal;Afghaans;2023;330
44;Totaal;Totaal mannen en vrouwen;Totaal;Afghaans;2024;240
45;Totaal;Totaal mannen en vrouwen;Totaal;Albanees;2010;110
46;Totaal;Totaal mannen en vrouwen;Totaal;Albanees;2011;140
47;Totaal;Totaal mannen en vrouwen;Totaal;Albanees;2012;170
48;Totaal;Totaal mannen en vrouwen;Totaal;Albanees;2013;300
49;Totaal;Totaal mannen en vrouwen;Totaal;Albanees;2014;270
50;Totaal;Totaal mannen en vrouwen;Totaal;Albanees;2015;350
51;Totaal;Totaal mannen en vrouwen;Totaal;Albanees;2016;700
52;Totaal;Totaal mannen en vrouwen;Totaal;Albanees;2017;450
53;Totaal;Totaal mannen en vrouwen;Totaal;Albanees;2018;550
54;Totaal;Totaal mannen en vrouwen;Totaal;Albanees;2019;480
55;Totaal;Totaal mannen en vrouwen;Totaal;Albanees;2020;250
56;Totaal;Totaal mannen en vrouwen;Totaal;Albanees;2021;280
57;Totaal;Totaal mannen en vrouwen;Totaal;Albanees;2022;260
58;Totaal;Totaal mannen en vrouwen;Totaal;Albanees;2023;230
59;Totaal;Totaal mannen en vrouwen;Totaal;Albanees;2024;200
60;Totaal;Totaal mannen en vrouwen;Totaal;Algerijns;2010;330
61;Totaal;Totaal mannen en vrouwen;Totaal;Algerijns;2011;440
62;Totaal;Totaal mannen en vrouwen;Totaal;Algerijns;2012;530
63;Totaal;Totaal mannen en vrouwen;Totaal;Algerijns;2013;350
64;Totaal;Totaal mannen en vrouwen;Totaal;Algerijns;2014;360
65;Totaal;Totaal mannen en vrouwen;Totaal;Algerijns;2015;370
66;Totaal;Totaal mannen en vrouwen;Totaal;Algerijns;2016;710
67;Totaal;Totaal mannen en vrouwen;Totaal;Algerijns;2017;830
68;Totaal;Totaal mannen en vrouwen;Totaal;Algerijns;2018;1290
69;Totaal;Totaal mannen en vrouwen;Totaal;Algerijns;2019;1670
70;Totaal;Totaal mannen en vrouwen;Totaal;Algerijns;2020;1430
71;Totaal;Totaal mannen en vrouwen;Totaal;Algerijns;2021;1620
72;Totaal;Totaal mannen en vrouwen;Totaal;Algerijns;2022;3530
73;Totaal;Totaal mannen en vrouwen;Totaal;Algerijns;2023;4390
74;Totaal;Totaal mannen en vrouwen;Totaal;Algerijns;2024;2430
75;Totaal;Totaal mannen en vrouwen;Totaal;Amerikaans;2010;280
76;Totaal;Totaal mannen en vrouwen;Totaal;Amerikaans;2011;250
77;Totaal;Totaal mannen en vrouwen;Totaal;Amerikaans;2012;210
78;Totaal;Totaal mannen en vrouwen;Totaal;Amerikaans;2013;220
79;Totaal;Totaal mannen en vrouwen;Totaal;Amerikaans;2014;220
80;Totaal;Totaal mannen en vrouwen;Totaal;Amerikaans;2015;180
81;Totaal;Totaal mannen en vrouwen;Totaal;Amerikaans;2016;170
82;Totaal;Totaal mannen en vrouwen;Totaal;Amerikaans;2017;200
83;Totaal;Totaal mannen en vrouwen;Totaal;Amerikaans;2018;170
84;Totaal;Totaal mannen en vrouwen;Totaal;Amerikaans;2019;200
85;Totaal;Totaal mannen en vrouwen;Totaal;Amerikaans;2020;140
86;Totaal;Totaal mannen en vrouwen;Totaal;Amerikaans;2021;110
87;Totaal;Totaal mannen en vrouwen;Totaal;Amerikaans;2022;140
88;Totaal;Totaal mannen en vrouwen;Totaal;Amerikaans;2023;160
89;Totaal;Totaal mannen en vrouwen;Totaal;Amerikaans;2024;130
90;Totaal;Totaal mannen en vrouwen;Totaal;Argentijns;2010;20
91;Totaal;Totaal mannen en vrouwen;Totaal;Argentijns;2011;10
92;Totaal;Totaal mannen en vrouwen;Totaal;Argentijns;2012;10
93;Totaal;Totaal mannen en vrouwen;Totaal;Argentijns;2013;10
94;Totaal;Totaal mannen en vrouwen;Totaal;Argentijns;2014;10
95;Totaal;Totaal mannen en vrouwen;Totaal;Argentijns;2015;10
96;Totaal;Totaal mannen en vrouwen;Totaal;Argentijns;2016;10
97;Totaal;Totaal mannen en vrouwen;Totaal;Argentijns;2017;10
98;Totaal;Totaal mannen en vrouwen;Totaal;Argentijns;2018;20
