ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2;GemiddGestandaardiseerdInkPerHuish_3
0;Nederland;Totaal particulier huishouden;6785.1;31.3;21.6
1;Nederland;Eenpersoonshuishouden;2181.2;18.6;18.6
2;Nederland;Paar zonder kinderen;1973.8;33.8;24.7
3;Nederland;Paar met kinderen;1986.4;42.6;22.8
4;Nederland;Eenoudergezin;410.8;25.3;17.3
5;Noord-Nederland (LD);Totaal particulier huishouden;703.9;28.8;20.0
6;Noord-Nederland (LD);Eenpersoonshuishouden;218.3;17.2;17.2
7;Noord-Nederland (LD);Paar zonder kinderen;222.6;30.9;22.6
8;Noord-Nederland (LD);Paar met kinderen;205.6;38.8;20.8
9;Noord-Nederland (LD);Eenoudergezin;38.9;23.9;16.3
10;Oost-Nederland (LD);Totaal particulier huishouden;1372.0;31.3;21.1
11;Oost-Nederland (LD);Eenpersoonshuishouden;393.8;17.9;17.9
12;Oost-Nederland (LD);Paar zonder kinderen;406.6;32.7;23.9
13;Oost-Nederland (LD);Paar met kinderen;446.4;41.2;21.9
14;Oost-Nederland (LD);Eenoudergezin;74.7;25.6;17.4
15;West-Nederland (LD);Totaal particulier huishouden;3250.9;31.8;22.3
16;West-Nederland (LD);Eenpersoonshuishouden;1143.5;19.2;19.2
17;West-Nederland (LD);Paar zonder kinderen;884.7;35.7;26.0
18;West-Nederland (LD);Paar met kinderen;889.2;44.5;23.9
19;West-Nederland (LD);Eenoudergezin;218.7;25.3;17.3
20;Zuid-Nederland (LD);Totaal particulier huishouden;1458.3;31.2;21.4
21;Zuid-Nederland (LD);Eenpersoonshuishouden;425.6;18.0;18.0
22;Zuid-Nederland (LD);Paar zonder kinderen;459.8;32.6;23.8
23;Zuid-Nederland (LD);Paar met kinderen;445.1;42.0;22.6
24;Zuid-Nederland (LD);Eenoudergezin;78.5;25.8;17.6
25;Groningen (PV);Totaal particulier huishouden;239.7;27.8;19.7
26;Groningen (PV);Eenpersoonshuishouden;82.5;17.1;17.1
27;Groningen (PV);Paar zonder kinderen;72.8;30.6;22.3
28;Groningen (PV);Paar met kinderen;63.7;38.3;20.6
29;Groningen (PV);Eenoudergezin;14.2;23.2;15.9
30;Friesland (PV);Totaal particulier huishouden;264.3;28.9;19.9
31;Friesland (PV);Eenpersoonshuishouden;79.9;17.0;17.0
32;Friesland (PV);Paar zonder kinderen;82.9;30.8;22.5
33;Friesland (PV);Paar met kinderen;80.6;38.8;20.6
34;Friesland (PV);Eenoudergezin;14.5;24.0;16.4
35;Drenthe (PV);Totaal particulier huishouden;199.9;30.0;20.6
36;Drenthe (PV);Eenpersoonshuishouden;55.8;17.6;17.6
37;Drenthe (PV);Paar zonder kinderen;66.9;31.5;23.0
38;Drenthe (PV);Paar met kinderen;61.3;39.3;21.1
39;Drenthe (PV);Eenoudergezin;10.2;24.6;16.8
40;Overijssel (PV);Totaal particulier huishouden;440.0;30.4;20.5
41;Overijssel (PV);Eenpersoonshuishouden;126.3;17.5;17.5
42;Overijssel (PV);Paar zonder kinderen;131.7;31.4;22.9
