ID;Geslacht;Onderwijssoort;Regiokenmerken;Perioden;Gediplomeerden_1
0;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Nederland;2011/'12;165470.0
1;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Nederland;2012/'13;169300.0
2;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Nederland;2013/'14;172710.0
3;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Nederland;2014/'15;178910.0
4;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Nederland;2015/'16;183650.0
5;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Nederland;2016/'17;184740.0
6;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Nederland;2017/'18;183470.0
7;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Nederland;2018/'19;181050.0
8;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Nederland;2019/'20;191090.0
9;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Nederland;2020/'21;177670.0
10;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Nederland;2021/'22;167540.0
11;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Nederland;2022/'23;155860.0
12;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Nederland;2023/'24;163720.0
13;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Nederland (LD);2011/'12;17420.0
14;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Nederland (LD);2012/'13;17640.0
15;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Nederland (LD);2013/'14;17980.0
16;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Nederland (LD);2014/'15;19060.0
17;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Nederland (LD);2015/'16;19370.0
18;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Nederland (LD);2016/'17;19170.0
19;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Nederland (LD);2017/'18;18880.0
20;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Nederland (LD);2018/'19;18460.0
21;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Nederland (LD);2019/'20;19200.0
22;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Nederland (LD);2020/'21;17670.0
