ID;Geslacht;Herkomstgroepering;Perioden;TotaalOpnamen_1;Dagopnamen_2;KlinischeOpnamen_3;Verpleegduur_4
0;Totaal mannen en vrouwen;Totaal herkomstgroepering;1995;11.3;3.6;7.8;6.8
1;Totaal mannen en vrouwen;Totaal herkomstgroepering;1996;11.7;3.9;7.7;6.8
2;Totaal mannen en vrouwen;Totaal herkomstgroepering;1997;11.2;3.9;7.3;6.6
3;Totaal mannen en vrouwen;Totaal herkomstgroepering;1998;11.2;3.9;7.3;6.4
4;Totaal mannen en vrouwen;Totaal herkomstgroepering;1999;10.8;4.0;6.8;6.1
5;Totaal mannen en vrouwen;Totaal herkomstgroepering;2000;10.9;3.9;7.0;5.8
6;Totaal mannen en vrouwen;Totaal herkomstgroepering;2001;11.3;4.4;6.9;5.6
7;Totaal mannen en vrouwen;Autochtonen;1995;10.7;3.9;6.8;6.8
8;Totaal mannen en vrouwen;Autochtonen;1996;10.8;4.0;6.8;6.7
9;Totaal mannen en vrouwen;Autochtonen;1997;10.8;4.0;6.8;6.5
10;Totaal mannen en vrouwen;Autochtonen;1998;10.8;4.2;6.7;6.3
11;Totaal mannen en vrouwen;Autochtonen;1999;10.6;4.1;6.5;6.0
12;Totaal mannen en vrouwen;Autochtonen;2000;10.5;4.1;6.4;5.8
13;Totaal mannen en vrouwen;Autochtonen;2001;10.7;4.4;6.3;5.6
14;Totaal mannen en vrouwen;Marokkanen;1995;12.0;3.4;8.6;7.0
15;Totaal mannen en vrouwen;Marokkanen;1996;12.2;3.6;8.6;6.9
16;Totaal mannen en vrouwen;Marokkanen;1997;12.1;3.9;8.1;6.7
17;Totaal mannen en vrouwen;Marokkanen;1998;12.3;4.1;8.2;6.3
18;Totaal mannen en vrouwen;Marokkanen;1999;12.0;4.3;7.7;6.1
19;Totaal mannen en vrouwen;Marokkanen;2000;11.9;4.1;7.8;5.9
20;Totaal mannen en vrouwen;Marokkanen;2001;12.4;4.8;7.6;5.7
