ID;Geslacht;Leeftijd;ZorgvormenBureauJeugdzorg;ZorgvormenJeugdEnOpvoedhulp;Perioden;JongerenInJeugdzorg_1;TotaalZorgduur_2;ZorgduurBureauJeugdzorg_3;ZorgduurJeugdEnOpvoedhulp_4
0;Totaal mannen en vrouwen;Totaal 0 tot 23 jaar;Totaal ;Totaal ;2011;104090.0;38277550.0;18422530.0;19855020.0
1;Totaal mannen en vrouwen;Totaal 0 tot 23 jaar;Totaal ;Totaal ;2012;104345.0;38940920.0;18188400.0;20752520.0
2;Totaal mannen en vrouwen;Totaal 0 tot 23 jaar;Totaal ;Totaal ;2013;104965.0;38713330.0;17542470.0;21170860.0
3;Totaal mannen en vrouwen;Totaal 0 tot 23 jaar;Totaal ;Totaal ;2014;102175.0;37169200.0;16267510.0;20901690.0
4;Totaal mannen en vrouwen;Totaal 0 tot 23 jaar;Totaal ;Ambulante jeugdzorg;2011;33225.0;7346950.0;2177970.0;5168980.0
5;Totaal mannen en vrouwen;Totaal 0 tot 23 jaar;Totaal ;Ambulante jeugdzorg;2012;34425.0;7702270.0;2184810.0;5517460.0
6;Totaal mannen en vrouwen;Totaal 0 tot 23 jaar;Totaal ;Ambulante jeugdzorg;2013;36265.0;7989720.0;2217850.0;5771870.0
7;Totaal mannen en vrouwen;Totaal 0 tot 23 jaar;Totaal ;Ambulante jeugdzorg;2014;36920.0;7883760.0;1992820.0;5890940.0
8;Totaal mannen en vrouwen;Totaal 0 tot 23 jaar;Totaal ;Dagbehandeling;2011;1325.0;286440.0;48850.0;237590.0
9;Totaal mannen en vrouwen;Totaal 0 tot 23 jaar;Totaal ;Dagbehandeling;2012;1060.0;213710.0;39530.0;174180.0
10;Totaal mannen en vrouwen;Totaal 0 tot 23 jaar;Totaal ;Dagbehandeling;2013;800.0;152780.0;29530.0;123250.0
11;Totaal mannen en vrouwen;Totaal 0 tot 23 jaar;Totaal ;Dagbehandeling;2014;880.0;141350.0;24390.0;116970.0
12;Totaal mannen en vrouwen;Totaal 0 tot 23 jaar;Totaal ;Residentiële jeugdzorg;2011;2675.0;1061370.0;554550.0;506830.0
13;Totaal mannen en vrouwen;Totaal 0 tot 23 jaar;Totaal ;Residentiële jeugdzorg;2012;2745.0;1066400.0;540530.0;525880.0
14;Totaal mannen en vrouwen;Totaal 0 tot 23 jaar;Totaal ;Residentiële jeugdzorg;2013;2505.0;933500.0;465090.0;468420.0
