ID;MunicipalLevies;Regions;Periods;MunicipalTaxesIn1000Euros_1;MunicipalTaxesEuroInhabitant_2
0;Total municipal tax;Aa en Hunze;2017;10685.0;423.0
1;Total municipal tax;Aa en Hunze;2018;10816.0;426.0
2;Total municipal tax;Aa en Hunze;2019;11019.0;434.0
3;Total municipal tax;Aa en Hunze;2020;11297.0;444.0
4;Total municipal tax;Aa en Hunze;2021;11992.0;472.0
5;Total municipal tax;Aa en Hunze;2022;11928.0;466.0
6;Total municipal tax;Aa en Hunze;2023;12639.0;491.0
7;Total municipal tax;Aa en Hunze;2024;13177.0;510.0
8;Total municipal tax;Aa en Hunze;2025;13648.0;526.0
9;Total municipal tax;Aalburg;2017;4872.0;373.0
10;Total municipal tax;Aalburg;2018;4862.0;370.0
11;Total municipal tax;Aalburg;2019;;
12;Total municipal tax;Aalburg;2020;;
13;Total municipal tax;Aalburg;2021;;
14;Total municipal tax;Aalburg;2022;;
15;Total municipal tax;Aalburg;2023;;
16;Total municipal tax;Aalburg;2024;;
17;Total municipal tax;Aalburg;2025;;
18;Total municipal tax;Aalsmeer;2017;17463.0;556.0
19;Total municipal tax;Aalsmeer;2018;18595.0;590.0
20;Total municipal tax;Aalsmeer;2019;20671.0;652.0
21;Total municipal tax;Aalsmeer;2020;21938.0;689.0
22;Total municipal tax;Aalsmeer;2021;23014.0;720.0
23;Total municipal tax;Aalsmeer;2022;20141.0;621.0
24;Total municipal tax;Aalsmeer;2023;21503.0;650.0
25;Total municipal tax;Aalsmeer;2024;25173.0;755.0
26;Total municipal tax;Aalsmeer;2025;27924.0;840.0
27;Total municipal tax;Aalten;2017;8950.0;331.0
28;Total municipal tax;Aalten;2018;9045.0;335.0
29;Total municipal tax;Aalten;2019;8809.0;326.0
30;Total municipal tax;Aalten;2020;9285.0;342.0
31;Total municipal tax;Aalten;2021;9983.0;368.0
32;Total municipal tax;Aalten;2022;10090.0;372.0
33;Total municipal tax;Aalten;2023;10085.0;370.0
34;Total municipal tax;Aalten;2024;10633.0;389.0
35;Total municipal tax;Aalten;2025;11431.0;416.0
36;Total municipal tax;Achtkarspelen;2017;11590.0;416.0
37;Total municipal tax;Achtkarspelen;2018;11629.0;416.0
38;Total municipal tax;Achtkarspelen;2019;11738.0;421.0
39;Total municipal tax;Achtkarspelen;2020;13518.0;486.0
40;Total municipal tax;Achtkarspelen;2021;14458.0;518.0
41;Total municipal tax;Achtkarspelen;2022;13042.0;466.0
42;Total municipal tax;Achtkarspelen;2023;13176.0;468.0
43;Total municipal tax;Achtkarspelen;2024;13740.0;487.0
44;Total municipal tax;Achtkarspelen;2025;14409.0;511.0
45;Total municipal tax;Alblasserdam;2017;11038.0;551.0
46;Total municipal tax;Alblasserdam;2018;10502.0;525.0
47;Total municipal tax;Alblasserdam;2019;10596.0;528.0
48;Total municipal tax;Alblasserdam;2020;11255.0;558.0
49;Total municipal tax;Alblasserdam;2021;11558.0;574.0
50;Total municipal tax;Alblasserdam;2022;11977.0;596.0
