ID;Geslacht;Leeftijd;Generatie;Perioden;AllochtonenBevolking_1;TotaalNietWesters_2;Afrika_3;Azie_4;LatijnsAmerika_5;Marokko_6;NederlandseAntillenEnAruba_7;Suriname_8;Turkije_9;TotaalWesters_10;k_26EULanden_11;OverigEuropa_12;Indonesie_13;OverigBuitenEuropa_14
0;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2009;3281205;1802773;201279;332881;78800;340125;134365;338208;377153;1478443;877589;142555;383828;74471
1;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2010;3329437;1833282;207114;341143;80989;345418;137049;340570;381001;1496146;894498;146188;380498;74968
2;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2011;3374206;1862382;212783;346765;83258;351375;139956;343168;385081;1511823;909169;149853;377336;75463
3;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2012;3419248;1893040;218502;352361;85713;357931;143046;346072;389439;1526202;921821;153754;374253;76371
4;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2013;3463735;1924283;223987;358303;88257;364745;146225;348983;393771;1539467;932738;157798;371244;77689
5;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2014;3508933;1956836;229452;365198;91055;371580;149605;351921;398046;1552096;942652;162045;368248;79153
6;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2015;3554713;1990477;235079;373220;94063;378173;153054;354776;402125;1564243;952006;166401;365257;80576
7;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2016;3601210;2024733;240838;382285;97244;384415;156487;357468;405997;1576479;961450;170834;362265;81927
8;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2017;3648405;2059334;246660;392269;100527;390283;159916;360007;409665;1589076;971215;175333;359281;83245
9;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2018;3695970;2094104;252483;403074;103851;395788;163370;362410;413145;1601857;981104;179933;356299;84516
10;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2019;3743695;2128949;258287;414522;107206;400957;166812;364693;416482;1614755;991093;184590;353325;85769
11;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2020;3791349;2163636;264075;426378;110599;405816;170252;366849;419668;1627711;1001129;189268;350324;87007
12;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2021;3838597;2197933;269837;438368;114025;410399;173692;368885;422728;1640675;1011236;193918;347300;88229
13;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2022;3885302;2231696;275571;450288;117489;414728;177144;370807;425683;1653606;1021395;198531;344245;89441
14;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2023;3931457;2264968;281298;462183;120993;418812;180594;372597;428505;1666488;1031612;203096;341133;90669
15;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2024;3977020;2297711;286995;474028;124522;422651;184035;374275;431219;1679306;1041890;207588;337943;91876
16;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2025;4021961;2329924;292657;485817;128083;426274;187466;375838;433814;1692040;1052235;212037;334669;93089
17;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2026;4066253;2361578;298302;497511;131658;429673;190896;377253;436302;1704667;1062635;216432;331309;94315
18;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2027;4109921;2392691;303883;509137;135262;432878;194302;378540;438686;1717228;1073099;220763;327858;95512
19;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2028;4152989;2423264;309410;520711;138886;435891;197707;379710;440961;1729713;1083664;225027;324290;96736
20;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2029;4195493;2453339;314895;532211;142529;438735;201091;380764;443134;1742160;1094343;229233;320627;97962
21;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2030;4237521;2482933;320319;543635;146181;441438;204455;381705;445224;1754583;1105168;233380;316848;99199
22;Mannen en vrouwen;Totaal over alle leeftijden;Totaal 1e en 2e generatie allochtonen;2031;4279086;2512078;325693;554996;149848;443990;207808;382524;447222;1767004;1116152;237459;312950;100456
