ID;SBI93;Bedrijfsgrootte;AantalBedrijven_1;TotaalAantalWerkzamePersonen_2;BedrijvenMetComputers_3;Computerpersoneel_4;BedrijvenMetICTSystemen_5;OrderverwerkingGekoppeldICTSystemen_6;OrderverwerkingInternICTSysteem_7;OrderverwerkingKlantenAfnemers_8;BedrijvenMetLAN_9;BedrijvenMetDraadloosLAN_10;BedrijvenMetIntranet_11;BedrijvenMetExtranet_12;TotaalBedrijvenMetInternet_13;AnaloogModem_14;ISDN_15;Breedbandverbinding_16;RTVKabel_17;XDSL_18;AndereHoogwaardigeVasteVerbindingen_19;DraadlozeVerbinding_20;AndereTypeVerbinding_21;PersoneelDatWerktMetInternet_22;BedrijvenMetTelewerkers_23;AantalTelewerkers_24;GebruikVanNietInternetnetwerken_25;VerkoopViaNietInternetnetwerken_26;InkoopViaNietInternetnetwerken_27;TrainingEnOpleiding_28;WebsitePresentatieEigenBedrijf_29;TotaalCommunicatieMetOverheden_30;VerkrijgenVanInformatie_31;VerkrijgenVanFormulieren_32;RetournerenIngevuldeFormulieren_33;VolledigElektronischeAfhandeling_34;TotaalVerkoopViaExterneNetwerken_35;Omzet1_36;Omzet2_37;Omzet5_38;Omzet10_39;TotaalInkoopViaExterneNetwerken_40;Inkoopwaarde1_41;Inkoopwaarde2_42;Inkoopwaarde5_43;Inkoopwaarde10_44;BeveiligingTotaal_45;BeveiligingAntivirussoftware_46;BeveiligingFirewall_47;BeveiligingBeveiligdeWebserver_48;BeveiligingOffSiteDataBackUp_49;BeveiligingDigitaleHandtekening_50;BeveiligingOverigeAuthenticatie_51;BeveiligingEncryptie_52;BeveiligingUpdateMaatregelen_53;ProblemenVeiligheid_54;ProblemenVirusaanval_55;ProblemenIllegaleToegang_56;ProblemenChantageBedreiging_57;ProblemenOverige_58;Betaaldiensten_59;Hypotheken_60;Leningen_61;Spaarvormen_62;Beleggingen_63;Levensverzekeringen_64;Schadeverzekeringen_65;Betaaldiensten_66;Hypotheken_67;Leningen_68;Spaarvormen_69;Beleggingen_70;Levensverzekeringen_71;Schadeverzekeringen_72
0;6601b Verzekering, bank, krediet, ..;Totaal (10 en meer werkzame personen);1096;186550;100;94;66;69;60;27;97;14;59;40;99;4;22;88;9;74;16;4;1;85;46;18;17;4;4;14;76;56;54;54;47;30;28;83;76;56;34;52;79;70;65;40;59;97;88;59;53;27;50;29;75;22;20;1;1;3;73.0;22.0;27.0;19.0;20.0;19.0;40.0;95.0;80.0;86.0;88.0;88.0;82.0;69.0
1;6601b Verzekering, bank, krediet, ..;10 tot 50 werknemers;866;17636;100;93;63;64;52;23;97;13;51;35;99;3;21;87;10;75;7;2;1;74;40;15;12;2;3;13;74;57;55;55;49;31;24;85;83;56;28;47;80;71;68;44;55;97;85;55;47;24;46;22;71;21;20;0;1;1;;;;;;;;;;;;;;
2;6601b Verzekering, bank, krediet, ..;50 tot 250 werkzame personen;175;18162;100;84;74;82;82;28;99;16;84;47;100;7;25;94;5;68;41;4;2;60;63;13;26;8;5;12;84;51;50;46;37;26;36;87;74;69;52;74;80;70;65;28;70;99;97;71;66;35;59;41;89;15;15;2;0;2;;;;;;;;;;;;;;
3;6601b Verzekering, bank, krediet, ..;250 en meer werkzame personen;55;150752;100;96;92;92;92;55;100;23;100;83;100;20;38;97;8;69;66;18;2;89;85;19;51;22;14;42;86;57;54;49;48;25;63;68;39;39;39;69;67;58;47;36;92;100;100;86;95;54;72;82;95;48;42;3;0;25;;;;;;;;;;;;;;
4;6512a Overige geldscheppende en ..;Totaal (10 en meer werkzame personen);136;105551;100;98;47;82;82;38;95;11;76;51;100;8;33;90;6;53;57;5;8;92;64;19;16;7;5;15;73;55;55;52;48;38;31;93;90;85;65;50;94;85;65;25;64;100;91;74;75;33;41;56;72;25;24;0;6;1;;;;;;;;;;;;;;
5;6512a Overige geldscheppende en ..;10 tot 50 werknemers;85;1662;100;88;21;50;50;0;91;10;65;39;100;5;35;86;10;56;35;0;10;74;56;24;5;0;0;5;66;56;56;56;56;40;21;100;100;100;50;30;100;100;70;17;45;100;86;65;75;5;21;36;56;30;30;0;10;0;;;;;;;;;;;;;;
6;6512a Overige geldscheppende en ..;50 tot 250 werkzame personen;36;3588;100;99;81;85;85;31;100;0;88;50;100;0;28;94;0;50;81;0;6;71;75;21;22;0;0;19;81;66;66;59;47;34;41;100;100;85;85;72;100;91;83;17;88;100;100;81;59;69;59;75;94;6;6;0;0;0;;;;;;;;;;;;;;
7;6512a Overige geldscheppende en ..;250 en meer werkzame personen;15;100302;100;98;95;100;100;79;100;30;100;100;100;30;30;100;0;50;100;35;0;93;80;19;45;45;35;45;85;35;35;25;20;35;55;82;64;64;64;95;79;58;42;42;100;100;100;100;100;80;95;100;100;35;30;0;0;5;;;;;;;;;;;;;;
8;6601a Verzekeringen (geen verplichte ..;Totaal (10 en meer werkzame personen);145;47319;100;90;73;84;82;32;99;8;83;44;100;9;27;93;7;60;45;1;2;78;57;15;20;4;2;14;85;57;53;52;42;18;40;88;67;51;40;53;76;69;57;23;75;98;97;72;64;35;68;41;81;28;25;4;1;15;;;;;;;;;;;;;;
9;6601a Verzekeringen (geen verplichte ..;10 tot 50 werknemers;79;2129;100;95;68;77;71;15;100;7;69;23;100;3;18;87;10;56;31;0;4;55;41;7;4;0;3;4;79;61;54;55;38;23;34;100;83;54;38;48;85;71;59;29;68;99;97;65;51;31;61;30;76;18;13;1;1;8;;;;;;;;;;;;;;
10;6601a Verzekeringen (geen verplichte ..;50 tot 250 werkzame personen;39;4766;100;82;69;90;90;41;98;2;98;55;100;14;29;100;2;62;62;0;0;42;67;6;24;7;2;19;90;40;40;40;33;14;38;94;75;69;50;60;76;76;68;20;76;98;98;81;69;36;74;40;81;29;29;2;0;7;;;;;;;;;;;;;;
11;6601a Verzekeringen (geen verplichte ..;250 en meer werkzame personen;27;40424;100;91;90;92;92;54;100;21;100;83;100;21;45;93;7;66;55;7;0;84;83;17;52;7;0;31;90;76;69;66;66;14;59;71;35;35;35;55;56;56;44;13;93;100;100;79;90;45;72;69;93;52;52;7;0;41;;;;;;;;;;;;;;
12;6712a Overige financiële activiteiten ..;Totaal (10 en meer werkzame personen);815;33680;100;88;68;65;54;25;97;16;52;38;99;3;20;88;10;79;5;4;0;71;42;16;17;4;4;14;76;57;54;54;48;31;26;80;75;52;27;53;77;67;67;45;56;97;86;54;47;25;48;22;74;20;19;0;0;1;;;;;;;;;;;;;;
13;6712a Overige financiële activiteiten ..;10 tot 50 werknemers;702;13845;100;93;67;63;50;25;97;14;48;36;99;3;19;87;10;79;2;3;0;76;38;15;14;3;3;14;75;57;55;55;49;31;24;82;82;53;25;48;78;69;69;47;55;96;84;52;44;25;48;20;72;20;19;0;0;1;;;;;;;;;;;;;;
14;6712a Overige financiële activiteiten ..;50 tot 250 werkzame personen;100;9809;100;80;73;77;77;23;100;28;76;42;100;6;22;91;7;76;18;7;2;65;57;13;29;11;7;7;81;53;48;45;36;29;33;78;63;63;41;81;76;63;58;34;60;100;96;64;67;22;54;30;91;13;13;2;0;0;;;;;;;;;;;;;;
15;6712a Overige financiële activiteiten ..;250 en meer werkzame personen;13;10026;100;89;100;81;81;25;100;19;100;63;100;6;38;100;19;100;44;19;6;68;94;19;56;19;6;56;81;56;56;56;56;38;81;54;23;23;23;63;60;60;60;60;81;100;100;81;100;38;44;81;94;56;38;0;0;19;;;;;;;;;;;;;;
