ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;3379503;100.0;100;93;7
1;1;2256;0.1;0;0;0
2;2;1125;0.0;0;0;0
3;3;391832;11.6;12;12;0
4;4;12780;0.4;0;0;0
5;5;1724;0.1;0;0;0
6;6;354548;10.5;11;10;1
7;7;67541;2.0;2;2;0
8;8;9083;0.3;0;0;0
9;9;17509;0.5;0;0;0
10;Hervormd Gereformeerde Staatspartij;35931;1.1;1;1;0
11;Hoofd- en Handarbeiders;845;0.0;0;0;0
12;Internationale Volkspartij;98;0.0;0;0;0
13;Invalidenpartij;715;0.0;0;0;0
14;Kiesvereniging Algemeen Belang;417;0.0;0;0;0
15;Kleine Middenstandspartij;4295;0.1;0;0;0
16;Liberale Staatspartij;249105;7.4;8;7;1
17;Lijst Siedenburg;314;0.0;0;0;0
18;Lijst Verweij;623;0.0;0;0;0
19;Lijst v. Nunen;1133;0.0;0;0;0
20;Middenstandspartij voor Stad en Land;39955;1.2;1;1;0
21;Nationale Boerenbond;4218;0.1;0;0;0
22;Neutrale Volkspartij;342;0.0;0;0;0
23;Plattelandersbond (links);34805;1.0;1;1;0
24;Revolutionaire Socialistische Partij;21812;0.6;0;0;0
25;Roomsch-Katholieke Boerenpartij;3369;0.1;0;0;0
26;Roomsch-Katholieke Volkspartij;23804;0.7;0;0;0
27;Rooms-Katholieke Staatspartij;1001589;29.6;30;29;1
28;SDAP;804714;23.8;24;22;2
29;SGP;76709;2.3;3;3;0
30;Sociaal-Democratische Volkspartij;2156;0.1;0;0;0
31;Sociaal-Economische Volkspartij;940;0.0;0;0;0
32;Verbond van Nationalisten;3685;0.1;0;0;0
33;Volkspartij;449;0.0;0;0;0
34;Vrije Christelijke Partij;103;0.0;0;0;0
35;Vrijzinnig Democratische Bond;208979;6.2;7;5;2
