ID;Geslacht;OverigePersoonskenmerken;Perioden;PersonenInParticuliereHuishoudens_1;PersonenMetInkomen_2;PersonenFinancieelOnafhankelijk_3;PersonenEconomischZelfstandig_4;PersonenInParticuliereHuishoudens_5;PersonenMetInkomen_6;PersonenFinancieelOnafhankelijk_7;PersonenEconomischZelfstandig_8
0;Totaal;Totaal;2000;10675;9517.0;6298.0;5894.0;100.0;89.2;59.0;55.2
1;Totaal;Totaal;2001;10755;9602.0;6587.0;6095.0;100.0;89.3;61.2;56.7
2;Totaal;Totaal;2002;10798;9683.0;6644.0;6111.0;100.0;89.7;61.5;56.6
3;Totaal;Totaal;2003;10805;9676.0;6574.0;6023.0;100.0;89.6;60.8;55.7
4;Totaal;Totaal;2004;10819;9690.0;6565.0;5975.0;100.0;89.6;60.7;55.2
5;Totaal;Totaal;2005;10849;9745.0;6539.0;6028.0;100.0;89.8;60.3;55.6
6;Totaal;Totaal;2006;10861;9811.0;6677.0;6137.0;100.0;90.3;61.5;56.5
7;Totaal;Totaal;2007;10892;9918.0;6841.0;6311.0;100.0;91.1;62.8;57.9
8;Totaal;Totaal;2008;10936;10025.0;6952.0;6442.0;100.0;91.7;63.6;58.9
9;Totaal;Totaal;2009;10953;10040.0;6975.0;6397.0;100.0;91.7;63.7;58.4
10;Totaal;Totaal;2010;10959;10095.0;6921.0;6330.0;100.0;92.1;63.2;57.8
11;Totaal;Totaal;2011;10922;10086.0;6866.0;6354.0;100.0;92.3;62.9;58.2
12;Totaal;Totaal;2012;10883;10047.0;6791.0;6309.0;100.0;92.3;62.4;58.0
13;Totaal;Totaal;2013;10842;10005.0;6667.0;6234.0;100.0;92.3;61.5;57.5
14;Totaal;Totaal;2014;10828;10008.0;6624.0;6178.0;100.0;92.4;61.2;57.1
15;Totaal;Burgerlijke staat: ongehuwd;2000;3901;3653.0;2024.0;2030.0;100.0;93.6;51.9;52.0
16;Totaal;Burgerlijke staat: ongehuwd;2001;3983;3722.0;2152.0;2125.0;100.0;93.4;54.0;53.4
17;Totaal;Burgerlijke staat: ongehuwd;2002;4046;3771.0;2186.0;2138.0;100.0;93.2;54.0;52.8
18;Totaal;Burgerlijke staat: ongehuwd;2003;4090;3767.0;2146.0;2085.0;100.0;92.1;52.5;51.0
19;Totaal;Burgerlijke staat: ongehuwd;2004;4153;3800.0;2146.0;2073.0;100.0;91.5;51.7;49.9
20;Totaal;Burgerlijke staat: ongehuwd;2005;4243;3881.0;2155.0;2101.0;100.0;91.5;50.8;49.5
21;Totaal;Burgerlijke staat: ongehuwd;2006;4316;3969.0;2228.0;2181.0;100.0;92.0;51.6;50.5
22;Totaal;Burgerlijke staat: ongehuwd;2007;4400;4077.0;2315.0;2271.0;100.0;92.7;52.6;51.6
23;Totaal;Burgerlijke staat: ongehuwd;2008;4493;4185.0;2383.0;2336.0;100.0;93.1;53.0;52.0
24;Totaal;Burgerlijke staat: ongehuwd;2009;4511;4174.0;2362.0;2280.0;100.0;92.5;52.4;50.5
25;Totaal;Burgerlijke staat: ongehuwd;2010;4567;4241.0;2338.0;2253.0;100.0;92.9;51.2;49.3
26;Totaal;Burgerlijke staat: ongehuwd;2011;4637;4311.0;2359.0;2286.0;100.0;93.0;50.9;49.3
27;Totaal;Burgerlijke staat: ongehuwd;2012;4704;4357.0;2352.0;2278.0;100.0;92.6;50.0;48.4
28;Totaal;Burgerlijke staat: ongehuwd;2013;4763;4398.0;2330.0;2258.0;100.0;92.3;48.9;47.4
29;Totaal;Burgerlijke staat: ongehuwd;2014;4847;4479.0;2344.0;2260.0;100.0;92.4;48.4;46.6
30;Totaal;Burgerlijke staat: gehuwd/partnerschap;2000;5851;4962.0;3673.0;3408.0;100.0;84.8;62.8;58.2
31;Totaal;Burgerlijke staat: gehuwd/partnerschap;2001;5823;4951.0;3777.0;3473.0;100.0;85.0;64.9;59.6
32;Totaal;Burgerlijke staat: gehuwd/partnerschap;2002;5790;4970.0;3789.0;3466.0;100.0;85.8;65.4;59.9
33;Totaal;Burgerlijke staat: gehuwd/partnerschap;2003;5747;4963.0;3763.0;3434.0;100.0;86.3;65.5;59.7
34;Totaal;Burgerlijke staat: gehuwd/partnerschap;2004;5686;4931.0;3742.0;3392.0;100.0;86.7;65.8;59.7
35;Totaal;Burgerlijke staat: gehuwd/partnerschap;2005;5618;4896.0;3706.0;3403.0;100.0;87.2;66.0;60.6
36;Totaal;Burgerlijke staat: gehuwd/partnerschap;2006;5549;4866.0;3748.0;3417.0;100.0;87.7;67.5;61.6
37;Totaal;Burgerlijke staat: gehuwd/partnerschap;2007;5483;4852.0;3799.0;3473.0;100.0;88.5;69.3;63.3
38;Totaal;Burgerlijke staat: gehuwd/partnerschap;2008;5429;4843.0;3818.0;3514.0;100.0;89.2;70.3;64.7
39;Totaal;Burgerlijke staat: gehuwd/partnerschap;2009;5370;4814.0;3814.0;3491.0;100.0;89.6;71.0;65.0
40;Totaal;Burgerlijke staat: gehuwd/partnerschap;2010;5315;4796.0;3782.0;3454.0;100.0;90.2;71.2;65.0
