ID;Geslacht;Persoonskenmerken;PositieInDeWerkkring;Arbeidsduur;Perioden;WerkzameBeroepsbevolking_1;WerkzameBeroepsbevolkingMetInkomen_2;GemiddeldPersoonlijkPrimairInkomen_3;GemiddeldPersoonlijkInkomen_4;GemiddeldGestandaardiseerdInkomen_5;WerkzameBeroepsbevolkingInkOnbekend_6
0;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;2005;7818.0;7712.0;34.3;29.0;23.0;106.0
1;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;2006;7939.0;7834.0;35.9;30.5;24.4;105.0
2;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;2007;8169.0;8065.0;36.9;31.8;26.3;104.0
3;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;2008;8358.0;8250.0;37.8;32.9;26.7;109.0
4;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;2009;8361.0;8244.0;38.1;33.6;26.9;117.0
5;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;2010;8278.0;8148.0;38.9;34.1;27.0;130.0
6;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;2011;8280.0;8128.0;39.6;34.6;27.1;152.0
7;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;2012;8330.0;8159.0;39.9;34.8;27.1;171.0
8;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;2013;8266.0;8000.0;40.7;35.7;27.7;266.0
9;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;2014;8214.0;7898.0;41.4;36.5;29.0;317.0
10;Totaal mannen en vrouwen;Totaal personen;Totaal;Deeltijd;2005;3472.0;3432.0;18.6;17.9;21.8;40.0
11;Totaal mannen en vrouwen;Totaal personen;Totaal;Deeltijd;2006;3531.0;3494.0;19.7;18.9;23.2;37.0
12;Totaal mannen en vrouwen;Totaal personen;Totaal;Deeltijd;2007;3665.0;3626.0;20.3;19.7;24.9;39.0
13;Totaal mannen en vrouwen;Totaal personen;Totaal;Deeltijd;2008;3780.0;3740.0;20.9;20.3;25.4;41.0
14;Totaal mannen en vrouwen;Totaal personen;Totaal;Deeltijd;2009;3861.0;3815.0;21.3;21.1;25.4;46.0
15;Totaal mannen en vrouwen;Totaal personen;Totaal;Deeltijd;2010;3882.0;3825.0;21.9;21.5;25.4;57.0
16;Totaal mannen en vrouwen;Totaal personen;Totaal;Deeltijd;2011;3913.0;3842.0;22.4;21.9;25.6;71.0
17;Totaal mannen en vrouwen;Totaal personen;Totaal;Deeltijd;2012;3998.0;3918.0;22.5;21.8;25.5;80.0
18;Totaal mannen en vrouwen;Totaal personen;Totaal;Deeltijd;2013;4037.0;3909.0;23.0;22.5;25.8;128.0
19;Totaal mannen en vrouwen;Totaal personen;Totaal;Deeltijd;2014;3996.0;3841.0;23.4;22.9;27.0;155.0
20;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 12 uur per week;2005;873.0;861.0;5.1;8.7;20.2;12.0
21;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 12 uur per week;2006;869.0;858.0;5.3;9.1;21.1;11.0
22;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 12 uur per week;2007;881.0;868.0;5.6;9.5;23.3;13.0
23;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 12 uur per week;2008;873.0;862.0;5.6;9.5;23.7;11.0
24;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 12 uur per week;2009;891.0;878.0;5.6;10.0;23.3;14.0
25;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 12 uur per week;2010;888.0;871.0;5.7;10.2;23.3;17.0
26;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 12 uur per week;2011;892.0;871.0;6.0;10.6;23.6;21.0
27;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 12 uur per week;2012;925.0;905.0;5.9;10.3;23.2;20.0
28;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 12 uur per week;2013;970.0;936.0;6.0;10.8;23.3;35.0
29;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 12 uur per week;2014;971.0;931.0;6.1;11.2;24.7;40.0
30;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 20 uur per week;2005;1573.0;1554.0;8.4;10.9;20.4;19.0
31;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 20 uur per week;2006;1576.0;1560.0;8.6;11.3;21.6;17.0
32;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 20 uur per week;2007;1616.0;1597.0;9.0;11.9;23.5;19.0
33;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 20 uur per week;2008;1612.0;1594.0;9.0;12.0;23.9;18.0
34;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 20 uur per week;2009;1617.0;1596.0;9.1;12.5;23.7;21.0
35;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 20 uur per week;2010;1604.0;1579.0;9.2;12.7;23.7;25.0
36;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 20 uur per week;2011;1601.0;1568.0;9.4;12.8;23.8;34.0
37;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 20 uur per week;2012;1630.0;1596.0;9.3;12.7;23.7;34.0
38;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 20 uur per week;2013;1655.0;1601.0;9.3;13.0;23.9;54.0
39;Totaal mannen en vrouwen;Totaal personen;Totaal;Minder dan 20 uur per week;2014;1623.0;1562.0;9.3;13.2;25.0;61.0
40;Totaal mannen en vrouwen;Totaal personen;Totaal;12 tot 20 uur per week;2005;700.0;693.0;12.4;13.6;20.7;7.0
41;Totaal mannen en vrouwen;Totaal personen;Totaal;12 tot 20 uur per week;2006;707.0;702.0;12.7;14.1;22.2;6.0
42;Totaal mannen en vrouwen;Totaal personen;Totaal;12 tot 20 uur per week;2007;736.0;729.0;13.1;14.7;23.8;6.0
43;Totaal mannen en vrouwen;Totaal personen;Totaal;12 tot 20 uur per week;2008;740.0;733.0;13.1;15.0;24.1;7.0
44;Totaal mannen en vrouwen;Totaal personen;Totaal;12 tot 20 uur per week;2009;725.0;718.0;13.4;15.6;24.2;7.0
45;Totaal mannen en vrouwen;Totaal personen;Totaal;12 tot 20 uur per week;2010;716.0;708.0;13.6;15.6;24.2;8.0
46;Totaal mannen en vrouwen;Totaal personen;Totaal;12 tot 20 uur per week;2011;709.0;697.0;13.6;15.7;24.1;13.0
47;Totaal mannen en vrouwen;Totaal personen;Totaal;12 tot 20 uur per week;2012;705.0;691.0;13.7;15.8;24.4;13.0
48;Totaal mannen en vrouwen;Totaal personen;Totaal;12 tot 20 uur per week;2013;684.0;665.0;13.9;16.0;24.6;20.0
49;Totaal mannen en vrouwen;Totaal personen;Totaal;12 tot 20 uur per week;2014;652.0;631.0;14.1;16.2;25.4;21.0
50;Totaal mannen en vrouwen;Totaal personen;Totaal;20 tot 35 uur per week;2005;1899.0;1878.0;27.1;23.7;23.0;21.0
51;Totaal mannen en vrouwen;Totaal personen;Totaal;20 tot 35 uur per week;2006;1955.0;1934.0;28.6;25.0;24.4;21.0
52;Totaal mannen en vrouwen;Totaal personen;Totaal;20 tot 35 uur per week;2007;2048.0;2029.0;29.1;25.8;26.0;20.0
53;Totaal mannen en vrouwen;Totaal personen;Totaal;20 tot 35 uur per week;2008;2168.0;2145.0;29.8;26.5;26.5;23.0
54;Totaal mannen en vrouwen;Totaal personen;Totaal;20 tot 35 uur per week;2009;2245.0;2219.0;30.1;27.2;26.6;26.0
55;Totaal mannen en vrouwen;Totaal personen;Totaal;20 tot 35 uur per week;2010;2279.0;2246.0;30.8;27.7;26.7;32.0
56;Totaal mannen en vrouwen;Totaal personen;Totaal;20 tot 35 uur per week;2011;2311.0;2275.0;31.4;28.2;26.8;37.0
57;Totaal mannen en vrouwen;Totaal personen;Totaal;20 tot 35 uur per week;2012;2368.0;2322.0;31.6;28.1;26.7;46.0
58;Totaal mannen en vrouwen;Totaal personen;Totaal;20 tot 35 uur per week;2013;2383.0;2309.0;32.6;29.1;27.2;74.0
59;Totaal mannen en vrouwen;Totaal personen;Totaal;20 tot 35 uur per week;2014;2373.0;2280.0;33.1;29.6;28.4;93.0
60;Totaal mannen en vrouwen;Totaal personen;Totaal;Voltijd;2005;4346.0;4280.0;47.0;37.8;23.9;66.0
61;Totaal mannen en vrouwen;Totaal personen;Totaal;Voltijd;2006;4407.0;4340.0;48.9;39.8;25.4;67.0
62;Totaal mannen en vrouwen;Totaal personen;Totaal;Voltijd;2007;4504.0;4439.0;50.5;41.8;27.3;65.0
63;Totaal mannen en vrouwen;Totaal personen;Totaal;Voltijd;2008;4578.0;4510.0;51.8;43.3;27.9;68.0
64;Totaal mannen en vrouwen;Totaal personen;Totaal;Voltijd;2009;4500.0;4429.0;52.6;44.5;28.2;71.0
65;Totaal mannen en vrouwen;Totaal personen;Totaal;Voltijd;2010;4396.0;4323.0;54.0;45.3;28.4;72.0
66;Totaal mannen en vrouwen;Totaal personen;Totaal;Voltijd;2011;4367.0;4286.0;55.0;45.9;28.4;82.0
67;Totaal mannen en vrouwen;Totaal personen;Totaal;Voltijd;2012;4332.0;4241.0;56.0;46.7;28.7;90.0
68;Totaal mannen en vrouwen;Totaal personen;Totaal;Voltijd;2013;4229.0;4091.0;57.5;48.4;29.5;138.0
69;Totaal mannen en vrouwen;Totaal personen;Totaal;Voltijd;2014;4218.0;4056.0;58.5;49.4;30.9;162.0
70;Totaal mannen en vrouwen;Totaal personen;Werknemer;Totaal;2005;6763.0;6674.0;34.7;28.5;22.7;89.0
71;Totaal mannen en vrouwen;Totaal personen;Werknemer;Totaal;2006;6847.0;6763.0;36.1;29.7;24.0;84.0
72;Totaal mannen en vrouwen;Totaal personen;Werknemer;Totaal;2007;7020.0;6937.0;36.8;30.7;25.5;82.0
73;Totaal mannen en vrouwen;Totaal personen;Werknemer;Totaal;2008;7164.0;7075.0;37.8;31.9;26.0;89.0
74;Totaal mannen en vrouwen;Totaal personen;Werknemer;Totaal;2009;7134.0;7039.0;38.7;33.2;26.5;95.0
75;Totaal mannen en vrouwen;Totaal personen;Werknemer;Totaal;2010;7035.0;6928.0;39.6;33.7;26.6;106.0
76;Totaal mannen en vrouwen;Totaal personen;Werknemer;Totaal;2011;7031.0;6905.0;40.3;34.1;26.7;126.0
77;Totaal mannen en vrouwen;Totaal personen;Werknemer;Totaal;2012;7057.0;6917.0;40.7;34.3;26.7;139.0
78;Totaal mannen en vrouwen;Totaal personen;Werknemer;Totaal;2013;6947.0;6730.0;41.8;35.4;27.4;217.0
