ID;Nationaliteit;Perioden;DerdelandersVerplichtingTotVertrek_1;DerdelandersAantoonbaarVertrek_2
0;Totaal;2015;19015.0;8630.0
1;Totaal;2016;25310.0;12430.0
2;Totaal;2017;20750.0;8390.0
3;Totaal;2018;17935.0;8980.0
4;Totaal;2019;25440.0;11185.0
5;Totaal;2020;21100.0;8870.0
6;Totaal;2021;17300.0;3200.0
7;Afghaans ;2015;470.0;100.0
8;Afghaans ;2016;1200.0;375.0
9;Afghaans ;2017;1130.0;245.0
10;Afghaans ;2018;325.0;115.0
11;Afghaans ;2019;185.0;115.0
12;Afghaans ;2020;170.0;60.0
13;Afghaans ;2021;110.0;10.0
14;Albanees ;2015;640.0;565.0
15;Albanees ;2016;1565.0;1835.0
16;Albanees ;2017;1110.0;1020.0
17;Albanees ;2018;1620.0;1185.0
18;Albanees ;2019;935.0;885.0
19;Albanees ;2020;740.0;455.0
20;Albanees ;2021;865.0;600.0
21;Algerijns ;2015;110.0;40.0
22;Algerijns ;2016;270.0;120.0
23;Algerijns ;2017;355.0;275.0
24;Algerijns ;2018;445.0;240.0
25;Algerijns ;2019;590.0;320.0
26;Algerijns ;2020;560.0;155.0
27;Algerijns ;2021;415.0;30.0
28;Amerikaans ;2015;895.0;200.0
29;Amerikaans ;2016;1265.0;130.0
30;Amerikaans ;2017;1135.0;65.0
31;Amerikaans ;2018;865.0;65.0
32;Amerikaans ;2019;1880.0;80.0
33;Amerikaans ;2020;1665.0;455.0
34;Amerikaans ;2021;975.0;80.0
35;Angolees ;2015;60.0;50.0
36;Angolees ;2016;65.0;70.0
37;Angolees ;2017;45.0;45.0
38;Angolees ;2018;35.0;55.0
39;Angolees ;2019;45.0;60.0
40;Angolees ;2020;30.0;10.0
41;Angolees ;2021;40.0;0.0
42;Argentijns ;2015;45.0;35.0
43;Argentijns ;2016;60.0;25.0
44;Argentijns ;2017;35.0;20.0
45;Argentijns ;2018;40.0;25.0
46;Argentijns ;2019;65.0;65.0
47;Argentijns ;2020;75.0;55.0
48;Argentijns ;2021;50.0;20.0
49;Armeens ;2015;355.0;175.0
50;Armeens ;2016;195.0;100.0
51;Armeens ;2017;110.0;75.0
52;Armeens ;2018;65.0;95.0
53;Armeens ;2019;70.0;90.0
54;Armeens ;2020;70.0;55.0
55;Armeens ;2021;45.0;20.0
56;Australisch ;2015;140.0;10.0
57;Australisch ;2016;220.0;5.0
58;Australisch ;2017;465.0;5.0
59;Australisch ;2018;200.0;10.0
60;Australisch ;2019;320.0;10.0
61;Australisch ;2020;415.0;15.0
62;Australisch ;2021;175.0;5.0
63;Azerbeidzjaans ;2015;110.0;35.0
64;Azerbeidzjaans ;2016;80.0;35.0
65;Azerbeidzjaans ;2017;70.0;55.0
66;Azerbeidzjaans ;2018;75.0;175.0
67;Azerbeidzjaans ;2019;70.0;295.0
68;Azerbeidzjaans ;2020;75.0;110.0
69;Azerbeidzjaans ;2021;90.0;15.0
70;Bengalees ;2015;50.0;15.0
71;Bengalees ;2016;90.0;15.0
72;Bengalees ;2017;140.0;25.0
73;Bengalees ;2018;110.0;30.0
74;Bengalees ;2019;70.0;25.0
75;Bengalees ;2020;120.0;5.0
76;Bengalees ;2021;175.0;0.0
77;Bosnisch ;2015;140.0;105.0
78;Bosnisch ;2016;290.0;250.0
79;Bosnisch ;2017;135.0;75.0
80;Bosnisch ;2018;105.0;55.0
81;Bosnisch ;2019;130.0;90.0
82;Bosnisch ;2020;50.0;30.0
83;Bosnisch ;2021;40.0;15.0
84;Braziliaans ;2015;380.0;280.0
85;Braziliaans ;2016;525.0;315.0
86;Braziliaans ;2017;290.0;215.0
87;Braziliaans ;2018;370.0;320.0
88;Braziliaans ;2019;575.0;500.0
89;Braziliaans ;2020;805.0;875.0
90;Braziliaans ;2021;505.0;210.0
91;Brits ;2015;;
92;Brits ;2016;;
93;Brits ;2017;;
94;Brits ;2018;;
95;Brits ;2019;;
96;Brits ;2020;85.0;15.0
97;Brits ;2021;360.0;40.0
98;Burundisch ;2015;55.0;10.0
99;Burundisch ;2016;35.0;5.0
100;Burundisch ;2017;45.0;5.0
101;Burundisch ;2018;25.0;5.0
102;Burundisch ;2019;15.0;5.0
103;Burundisch ;2020;15.0;0.0
104;Burundisch ;2021;5.0;0.0
105;Canadees ;2015;165.0;45.0
106;Canadees ;2016;285.0;25.0
107;Canadees ;2017;400.0;15.0
108;Canadees ;2018;200.0;5.0
109;Canadees ;2019;355.0;20.0
110;Canadees ;2020;365.0;45.0
111;Canadees ;2021;200.0;25.0
112;Chileens ;2015;75.0;65.0
113;Chileens ;2016;60.0;45.0
114;Chileens ;2017;40.0;30.0
115;Chileens ;2018;55.0;45.0
116;Chileens ;2019;75.0;55.0
117;Chileens ;2020;70.0;55.0
118;Chileens ;2021;35.0;10.0
119;Chinees ;2015;1600.0;425.0
120;Chinees ;2016;1715.0;355.0
121;Chinees ;2017;1155.0;215.0
122;Chinees ;2018;1070.0;170.0
123;Chinees ;2019;1605.0;315.0
124;Chinees ;2020;1530.0;330.0
125;Chinees ;2021;940.0;70.0
126;Colombiaans ;2015;125.0;120.0
127;Colombiaans ;2016;180.0;210.0
128;Colombiaans ;2017;150.0;170.0
129;Colombiaans ;2018;185.0;340.0
130;Colombiaans ;2019;250.0;490.0
131;Colombiaans ;2020;320.0;450.0
132;Colombiaans ;2021;380.0;150.0
133;Congolees ;2015;70.0;15.0
134;Congolees ;2016;70.0;20.0
135;Congolees ;2017;65.0;10.0
136;Congolees ;2018;45.0;10.0
137;Congolees ;2019;50.0;10.0
138;Congolees ;2020;25.0;10.0
139;Congolees ;2021;15.0;0.0
140;Cubaans ;2015;35.0;15.0
141;Cubaans ;2016;35.0;15.0
142;Cubaans ;2017;90.0;25.0
143;Cubaans ;2018;300.0;60.0
144;Cubaans ;2019;45.0;25.0
145;Cubaans ;2020;20.0;5.0
146;Cubaans ;2021;15.0;0.0
147;Ecuadoraans ;2015;65.0;60.0
148;Ecuadoraans ;2016;60.0;45.0
149;Ecuadoraans ;2017;25.0;25.0
150;Ecuadoraans ;2018;20.0;35.0
