ID;Inkomensbestanddelen;KenmerkenVanHuishoudens;Perioden;AantalHuishoudens_1;Percentage_2;Bedrag_3;GemiddeldBedrag_4;AandeelInBrutoInkomen_5
0;Primair inkomen;Totaal huishoudens;1990;5207;85.0;137070.0;26.3;75.0
1;Primair inkomen;Totaal huishoudens;1991;5240;84.4;144279.0;27.5;74.9
2;Primair inkomen;Totaal huishoudens;1992;5337;84.6;152918.0;28.7;74.6
3;Primair inkomen;Totaal huishoudens;1993;5391;84.2;153869.0;28.5;73.9
4;Primair inkomen;Totaal huishoudens;1994;5426;84.1;155108.0;28.6;73.9
5;Primair inkomen;Totaal huishoudens;1995;5539;84.6;161625.0;29.2;74.6
6;Primair inkomen;Totaal huishoudens;1996;5619;84.9;166022.0;29.5;74.6
7;Primair inkomen;Totaal huishoudens;1997;5762;86.0;172410.0;29.9;75.3
8;Primair inkomen;Totaal huishoudens;1998;5866;86.5;181885.0;31.0;76.1
9;Primair inkomen;Totaal huishoudens;1999;5922;86.4;195257.0;33.0;77.3
10;Primair inkomen;Totaal huishoudens;2000;6016;86.7;206943.0;34.4;77.1
11;Primair inkomen;Eenpersoonshuishouden;1990;1424;72.1;19015.0;13.4;59.6
12;Primair inkomen;Eenpersoonshuishouden;1991;1408;71.0;19410.0;13.8;58.5
13;Primair inkomen;Eenpersoonshuishouden;1992;1465;71.7;21532.0;14.7;59.3
14;Primair inkomen;Eenpersoonshuishouden;1993;1495;71.3;21819.0;14.6;58.4
15;Primair inkomen;Eenpersoonshuishouden;1994;1497;70.8;21642.0;14.5;57.5
16;Primair inkomen;Eenpersoonshuishouden;1995;1559;71.9;22826.0;14.6;58.3
17;Primair inkomen;Eenpersoonshuishouden;1996;1595;72.4;23606.0;14.8;58.1
18;Primair inkomen;Eenpersoonshuishouden;1997;1677;74.2;25030.0;14.9;58.8
19;Primair inkomen;Eenpersoonshuishouden;1998;1738;75.3;27770.0;16.0;60.7
20;Primair inkomen;Eenpersoonshuishouden;1999;1772;75.1;30833.0;17.4;62.8
21;Primair inkomen;Eenpersoonshuishouden;2000;1828;75.9;33822.0;18.5;63.6
22;Primair inkomen;Meerpersoonshuishouden;1990;3783;91.1;118055.0;31.2;78.3
23;Primair inkomen;Meerpersoonshuishouden;1991;3832;90.6;124869.0;32.6;78.3
24;Primair inkomen;Meerpersoonshuishouden;1992;3872;90.8;131386.0;33.9;77.9
25;Primair inkomen;Meerpersoonshuishouden;1993;3895;90.5;132050.0;33.9;77.3
26;Primair inkomen;Meerpersoonshuishouden;1994;3929;90.5;133466.0;34.0;77.4
27;Primair inkomen;Meerpersoonshuishouden;1995;3980;90.8;138800.0;34.9;78.2
28;Primair inkomen;Meerpersoonshuishouden;1996;4023;91.1;142416.0;35.4;78.3
29;Primair inkomen;Meerpersoonshuishouden;1997;4085;91.9;147380.0;36.1;79.0
30;Primair inkomen;Meerpersoonshuishouden;1998;4127;92.2;154115.0;37.3;79.8
31;Primair inkomen;Meerpersoonshuishouden;1999;4150;92.3;164424.0;39.6;80.8
32;Primair inkomen;Meerpersoonshuishouden;2000;4188;92.4;173121.0;41.3;80.4
33;Primair inkomen;Met minderjarige kinderen;1990;1688;94.4;55502.0;32.9;86.0
34;Primair inkomen;Met minderjarige kinderen;1991;1675;93.9;57343.0;34.2;85.9
35;Primair inkomen;Met minderjarige kinderen;1992;1678;94.1;59616.0;35.5;85.5
36;Primair inkomen;Met minderjarige kinderen;1993;1680;93.4;59984.0;35.7;85.2
37;Primair inkomen;Met minderjarige kinderen;1994;1690;93.5;60703.0;35.9;85.2
38;Primair inkomen;Met minderjarige kinderen;1995;1702;93.6;63064.0;37.1;86.2
39;Primair inkomen;Met minderjarige kinderen;1996;1718;94.2;64517.0;37.5;86.4
40;Primair inkomen;Met minderjarige kinderen;1997;1740;94.9;66861.0;38.4;87.3
41;Primair inkomen;Met minderjarige kinderen;1998;1762;95.4;69713.0;39.6;87.9
42;Primair inkomen;Met minderjarige kinderen;1999;1772;95.6;74450.0;42.0;88.8
43;Primair inkomen;Met minderjarige kinderen;2000;1811;95.8;79985.0;44.2;88.8
44;Primair inkomen;Eén volwassene met kind;1990;114;62.6;1476.0;12.9;46.2
45;Primair inkomen;Eén volwassene met kind;1991;112;60.2;1479.0;13.3;44.6
46;Primair inkomen;Eén volwassene met kind;1992;125;63.5;1724.0;13.8;45.3
47;Primair inkomen;Eén volwassene met kind;1993;128;62.1;1776.0;13.9;45.2
48;Primair inkomen;Eén volwassene met kind;1994;133;62.8;1680.0;12.6;42.0
49;Primair inkomen;Eén volwassene met kind;1995;141;63.0;1716.0;12.2;41.7
50;Primair inkomen;Eén volwassene met kind;1996;150;65.8;1807.0;12.1;42.1
51;Primair inkomen;Eén volwassene met kind;1997;163;70.3;2070.0;12.7;45.9
52;Primair inkomen;Eén volwassene met kind;1998;179;74.5;2397.0;13.4;49.9
53;Primair inkomen;Eén volwassene met kind;1999;194;75.8;2939.0;15.1;53.6
54;Primair inkomen;Eén volwassene met kind;2000;211;77.8;3372.0;16.0;55.6
55;Primair inkomen;Twee volwassenen met kind;1990;1276;97.8;41822.0;32.8;89.0
56;Primair inkomen;Twee volwassenen met kind;1991;1277;97.6;43830.0;34.3;89.0
57;Primair inkomen;Twee volwassenen met kind;1992;1268;97.6;45655.0;36.0;88.7
58;Primair inkomen;Twee volwassenen met kind;1993;1277;97.3;46363.0;36.3;88.4
59;Primair inkomen;Twee volwassenen met kind;1994;1285;97.3;47235.0;36.7;88.5
60;Primair inkomen;Twee volwassenen met kind;1995;1297;97.8;49501.0;38.2;89.6
61;Primair inkomen;Twee volwassenen met kind;1996;1307;98.1;50610.0;38.7;89.9
62;Primair inkomen;Twee volwassenen met kind;1997;1318;98.4;52324.0;39.7;90.5
63;Primair inkomen;Twee volwassenen met kind;1998;1327;98.4;54593.0;41.1;91.1
64;Primair inkomen;Twee volwassenen met kind;1999;1323;98.7;58132.0;43.9;92.0
65;Primair inkomen;Twee volwassenen met kind;2000;1343;98.7;62108.0;46.2;92.0
66;Primair inkomen;Drie of meer volwassenen met kind;1990;298;99.0;12204.0;40.9;84.8
67;Primair inkomen;Drie of meer volwassenen met kind;1991;287;98.9;12034.0;41.9;84.9
