ID;Researchinstellingen;Perioden;TotaalVanDeArbeidsjaren_1;FundamenteelOnderzoek_2;SubTotaalInfrastructureleVoorziening_3;OnderzoekVanAlgemeneAard_4;RuimtelijkeOrdeningEnNatuurbeheer_5;BouwEnUitrustingVanOnroerendGoed_6;VerkeersEnVervoersvoorzieningen_7;OverigOnderzoek_8;Gezondheid_9;Milieu_10;Energie_11;SubTotaalProductiviteit_12;ProductiviteitInDeLandbouw_13;ProductiviteitInDeIndustrie_14;SubTotaalMaatschappelijkOnderzoek_15;Algemeen_16;TbvPolitieEnJustitie_17;Arbeidsomstandigheden_18;SocialeOntwikkelingen_19;MaatschappelijkeBijstand_20;SocialeEnEconomischePlanning_21;Onderwijs_22;Cultuur_23;ManagementEnOrganisatie_24;Consumenten_25;VrijeTijdEnRecreatie_26;OverigMaatschappelijkOnderzoek_27;OverigOnderzoek_28
0;Totaal researchinstellingen;1995;3156;1460;249;29;158;18;41;3;107;60;25;143;135;8;1063;95;73;53;43;11;181;341;63;32;102;57;12;50
1;Totaal researchinstellingen;1997;3268;1466;245;29;148;19;45;4;121;60;26;146;138;8;1135;91;74;61;52;12;205;383;47;29;107;58;16;70
2;Totaal researchinstellingen;1999;3285;1473;243;28;151;17;43;4;116;62;27;144;135;9;940;54;77;74;49;8;66;341;67;31;107;52;14;282
3;Totaal researchinstellingen;2001;2231;805;93;23;21;6;41;2;41;29;54;223;208;15;767;133;95;32;25;65;24;270;46;13;35;14;15;222
4;Gelieerd aan universiteiten;1995;363;164;0;0;0;0;0;0;1;1;0;0;0;0;198;1;2;2;3;0;16;156;3;3;2;3;7;0
5;Gelieerd aan universiteiten;1997;432;191;0;0;0;0;0;0;0;0;0;0;0;0;241;1;2;9;12;0;43;160;1;3;2;1;7;1
6;Gelieerd aan universiteiten;1999;404;179;0;0;0;0;0;0;0;1;1;0;0;0;224;1;2;7;8;0;35;160;1;3;1;0;6;0
7;Gelieerd aan universiteiten;2001;329;172;0;0;0;0;0;0;0;0;0;0;0;0;157;0;5;6;5;34;0;90;0;0;0;9;8;0
8;(Semi-)overheidsinstellingen;1995;2338;1256;189;24;148;13;3;1;16;47;13;136;133;3;637;44;63;10;33;5;162;94;56;13;100;52;5;43
9;(Semi-)overheidsinstellingen;1997;2346;1238;183;24;137;14;6;2;27;48;14;139;136;3;636;40;64;10;33;6;158;103;42;13;103;55;9;61
10;(Semi-)overheidsinstellingen;1999;2383;1256;181;23;140;12;4;2;21;49;14;137;133;4;452;2;66;24;34;2;27;58;62;15;104;50;8;275
11;(Semi-)overheidsinstellingen;2001;1534;615;20;14;3;0;1;2;6;9;34;211;204;7;419;64;90;22;19;30;24;68;45;10;35;5;7;222
12;PNP;1995;455;40;60;5;10;5;38;2;90;12;12;7;2;5;228;50;8;41;7;6;3;91;4;16;0;2;0;7
13;PNP;1997;490;37;62;5;11;5;39;2;94;12;12;7;2;5;258;50;8;42;7;6;4;120;4;13;2;2;0;8
14;PNP;1999;498;38;62;5;11;5;39;2;95;12;12;7;2;5;264;51;9;43;7;6;4;123;4;13;2;2;0;7
15;PNP;2001;368;18;73;9;18;6;40;0;35;20;20;12;4;8;191;69;0;4;1;1;0;112;1;3;0;0;0;0
