ID;Geslacht;Leeftijd;DoodsoorzakenUitgebreideLijst;Perioden;Overledenen_1
0;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;1996;137561
1;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;1997;135783
2;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;1998;137482
3;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;1999;140487
4;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2000;140527
5;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2001;140377
6;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2002;142355
7;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2003;141936
8;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2004;136553
9;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2005;136402
10;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2006;135372
11;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2007;133022
12;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2008;135136
13;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2009;134235
14;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2010;136058
15;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2011;135741
16;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2012;140813
17;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2013;141245
18;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2014;139223
19;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2015;147134
20;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2016;148997
21;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2017;150214
22;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2018;153363
23;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2019;151885
24;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2020;168678
25;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2021;170972
26;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2022;170112
27;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-Y99 Totaal alle doodsoorzaken;2023;169521
28;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;1996;1601
29;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;1997;1452
30;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;1998;1511
31;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;1999;1634
