ID;WerkzameStoffen;Perioden;GrootteOppervlakteMetGebruik_1;OppervlakteInVanTotaalAreaal_2;OppervlakteInVanToepassingsgroep_3;GebruikPerJaar_4;GebruikInVanTotaalWerkzameStoffen_5;GebruikInVanToepassingsgroep_6
0;Totaal van alle werkzame stoffen;1995;782099.0;97.5;100.0;5935851;100.0;100.0
1;Totaal van alle werkzame stoffen;1998;823198.0;100.0;100.0;5993154;100.0;100.0
2;Totaal van alle werkzame stoffen;2000;804256.0;99.3;100.0;5321980;100.0;100.0
3;Totaal van alle werkzame stoffen;2004;816727.0;98.7;100.0;5454348;100.0;100.0
4;Totaal van alle werkzame stoffen;2008;763926.0;93.6;100.0;5546097;100.0;100.0
5;Totaal van alle werkzame stoffen;2012;734939.0;94.6;100.0;5772485;100.0;100.0
6;Totaal stoffen tegen insecten en mijten;1995;374625.0;46.7;100.0;253333;4.3;100.0
7;Totaal stoffen tegen insecten en mijten;1998;356545.0;43.3;100.0;169494;2.8;100.0
8;Totaal stoffen tegen insecten en mijten;2000;348113.0;43.3;100.0;133770;2.5;100.0
9;Totaal stoffen tegen insecten en mijten;2004;371821.0;45.0;100.0;114872;2.1;100.0
10;Totaal stoffen tegen insecten en mijten;2008;376523.0;46.2;100.0;89491;1.6;100.0
11;Totaal stoffen tegen insecten en mijten;2012;296199.0;38.1;100.0;78448;1.4;100.0
12;Abamectine;1995;3413.0;0.4;0.9;201;0.0;0.1
13;Abamectine;1998;5093.0;0.6;1.4;328;0.0;0.2
14;Abamectine;2000;5713.0;0.7;1.6;491;0.0;0.4
15;Abamectine;2004;6361.0;0.8;1.7;409;0.0;0.4
16;Abamectine;2008;15406.0;1.9;4.1;445;0.0;0.5
17;Abamectine;2012;18016.0;2.3;6.1;481;0.0;0.6
18;Acefaat;1995;2708.0;0.3;0.7;6133;0.1;2.4
19;Acefaat;1998;4029.0;0.5;1.1;7706;0.1;4.5
20;Acefaat;2000;6666.0;0.8;1.9;10098;0.2;7.5
21;Acefaat;2004;5763.0;0.7;1.5;5469;0.1;4.8
22;Acefaat;2008;0.0;0.0;0.0;0;0.0;0.0
23;Acefaat;2012;0.0;0.0;0.0;0;0.0;0.0
24;Acequinocyl;1995;0.0;0.0;0.0;0;0.0;0.0
25;Acequinocyl;1998;0.0;0.0;0.0;0;0.0;0.0
26;Acequinocyl;2000;0.0;0.0;0.0;0;0.0;0.0
27;Acequinocyl;2004;0.0;0.0;0.0;0;0.0;0.0
28;Acequinocyl;2008;1281.0;0.2;0.3;617;0.0;0.7
29;Acequinocyl;2012;1142.0;0.1;0.4;731;0.0;0.9
30;Acetamiprid;1995;0.0;0.0;0.0;0;0.0;0.0
31;Acetamiprid;1998;0.0;0.0;0.0;0;0.0;0.0
32;Acetamiprid;2000;0.0;0.0;0.0;0;0.0;0.0
33;Acetamiprid;2004;0.0;0.0;0.0;0;0.0;0.0
34;Acetamiprid;2008;8888.0;1.1;2.4;240;0.0;0.3
35;Acetamiprid;2012;28094.0;3.6;9.5;1912;0.0;2.4
36;"Aldicarb; tegen insecten";1995;823.0;0.1;0.2;1244;0.0;0.5
37;"Aldicarb; tegen insecten";1998;213.0;0.0;0.1;451;0.0;0.3
38;"Aldicarb; tegen insecten";2000;160.0;0.0;0.0;309;0.0;0.2
39;"Aldicarb; tegen insecten";2004;0.0;0.0;0.0;0;0.0;0.0
40;"Aldicarb; tegen insecten";2008;0.0;0.0;0.0;0;0.0;0.0
