ID;Geslacht;OnderwijsniveauPaar;Perioden;Personen25JaarEnOuderMetPartner_1
0;Totaal mannen en vrouwen;Totaal;2003;8055
1;Totaal mannen en vrouwen;Totaal;2004;8080
2;Totaal mannen en vrouwen;Totaal;2005;8064
3;Totaal mannen en vrouwen;Totaal;2006;8133
4;Totaal mannen en vrouwen;Totaal;2007;8103
5;Totaal mannen en vrouwen;Totaal;2008;8230
6;Totaal mannen en vrouwen;Totaal;2009;8259
7;Totaal mannen en vrouwen;Totaal;2010;8275
8;Totaal mannen en vrouwen;Totaal;2011;8281
9;Totaal mannen en vrouwen;Totaal;2012;8259
10;Totaal mannen en vrouwen;Totaal;2013;8281
11;Totaal mannen en vrouwen;Totaal;2014;8293
12;Totaal mannen en vrouwen;Totaal;2015;8328
13;Totaal mannen en vrouwen;Totaal;2016;8322
14;Totaal mannen en vrouwen;Totaal;2017;8384
15;Totaal mannen en vrouwen;Totaal;2018;8412
16;Totaal mannen en vrouwen;Totaal;2019;8435
17;Totaal mannen en vrouwen;Totaal;2020;8522
18;Totaal mannen en vrouwen;Beiden basisonderwijs;2003;346
19;Totaal mannen en vrouwen;Beiden basisonderwijs;2004;309
20;Totaal mannen en vrouwen;Beiden basisonderwijs;2005;264
21;Totaal mannen en vrouwen;Beiden basisonderwijs;2006;241
22;Totaal mannen en vrouwen;Beiden basisonderwijs;2007;225
23;Totaal mannen en vrouwen;Beiden basisonderwijs;2008;225
24;Totaal mannen en vrouwen;Beiden basisonderwijs;2009;214
25;Totaal mannen en vrouwen;Beiden basisonderwijs;2010;235
26;Totaal mannen en vrouwen;Beiden basisonderwijs;2011;241
27;Totaal mannen en vrouwen;Beiden basisonderwijs;2012;208
28;Totaal mannen en vrouwen;Beiden basisonderwijs;2013;224
29;Totaal mannen en vrouwen;Beiden basisonderwijs;2014;221
30;Totaal mannen en vrouwen;Beiden basisonderwijs;2015;228
31;Totaal mannen en vrouwen;Beiden basisonderwijs;2016;219
32;Totaal mannen en vrouwen;Beiden basisonderwijs;2017;201
33;Totaal mannen en vrouwen;Beiden basisonderwijs;2018;215
34;Totaal mannen en vrouwen;Beiden basisonderwijs;2019;213
35;Totaal mannen en vrouwen;Beiden basisonderwijs;2020;205
36;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2003;298
37;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2004;276
38;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2005;263
39;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2006;247
40;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2007;242
41;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2008;249
42;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2009;253
43;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2010;243
44;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2011;259
45;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2012;243
46;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2013;201
47;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2014;210
48;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2015;210
49;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2016;194
50;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2017;198
51;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2018;188
52;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2019;187
53;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2020;179
54;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2003;247
55;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2004;229
56;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2005;217
57;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2006;214
58;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2007;200
59;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2008;213
60;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2009;211
61;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2010;210
62;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2011;215
63;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2012;199
