ID;Afstudeerrichting;LeeftijdEnHerkomst;Geslacht;Peilmoment;Perioden;TotaalGeslaagden_1;GeslaagdenMetWerk_2;Werknemers_3;k_0105ABLandbouwEnVisserij_4;k_1045CFNijverheid_5;k_5052GHandel_6;k_55HHoreca_7;k_6064IVervoerEnCommunicatie_8;k_6567JFinancieleInstellingen_9;k_7074K1ZakDienstExclUitzendbranch_10;k_745K2Uitzendbranche_11;k_75LOpenbaarBestuur_12;k_80KOnderwijs_13;k_85NGezondheidsEnWelzijnszorg_14;k_90OCultuurEnOvDienstenIncl99_15;k_95PParticuliereHuishoudens_16;BedrijfstakSBIOnbekend_17;GemiddeldDagloonVanWerknemers_18;k_0105ABLandbouwEnVisserij_19;k_1045CFNijverheid_20;k_5052GHandel_21;k_55HHoreca_22;k_6064IVervoerEnCommunicatie_23;k_6567JFinancieleInstellingen_24;k_7074K1ZakDienstExclUitzendbranch_25;k_745K2Uitzendbranche_26;k_75LOpenbaarBestuur_27;k_80KOnderwijs_28;k_85NGezondheidsEnWelzijnszorg_29;k_90OCultuurEnOvDienstenIncl99_30;k_95PParticuliereHuishoudens_31;BedrijfstakSBIOnbekend_32;Zelfstandigen_33;k_0105ABLandbouwEnVisserij_34;k_1045CFNijverheid_35;k_5052GHandel_36;k_55HHoreca_37;k_6064IVervoerEnCommunicatie_38;k_6567JFinancieleInstellingen_39;k_7074K1ZakDienstExclUitzendbranch_40;k_745K2Uitzendbranche_41;k_75LOpenbaarBestuur_42;k_80KOnderwijs_43;k_85NGezondheidsEnWelzijnszorg_44;k_90OCultuurEnOvDienstenIncl99_45;k_95PParticuliereHuishoudens_46;BedrijfstakSBIOnbekend_47;GeslaagdenMetEenUitkering_48;Arbeidsongeschiktheidsuitkering_49;Bijstandsuitkering_50;Werkloosheidsuitkering_51;GeslaagdenDieVerderStuderen_52;VoltijdHogerOnderwijs_53;DeeltijdHogerOnderwijs_54;GeslaagdenMetAndereArbeidsmarktpos_55
0;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Totaal geslacht;Na 1/2 jaar;Cohort 1997/'98;61290.0;36340.0;35690.0;200.0;2660.0;2900.0;670.0;1160.0;1550.0;8310.0;5700.0;1190.0;5460.0;4750.0;1150.0;0.0;;73.0;67.0;76.0;67.0;58.0;71.0;78.0;74.0;67.0;84.0;76.0;79.0;66.0;;;650.0;40.0;20.0;50.0;10.0;10.0;0.0;250.0;0.0;0.0;10.0;70.0;110.0;0.0;90.0;3140.0;2900.0;60.0;170.0;7620.0;7450.0;170.0;14190.0
1;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Totaal geslacht;Na 1/2 jaar;Cohort 1998/'99;59370.0;37620.0;36940.0;220.0;2720.0;2880.0;860.0;1320.0;1700.0;8690.0;5830.0;1320.0;5070.0;4970.0;1190.0;0.0;190.0;74.0;54.0;78.0;68.0;55.0;76.0;81.0;78.0;73.0;81.0;69.0;78.0;65.0;;57.0;680.0;20.0;30.0;60.0;20.0;10.0;0.0;250.0;0.0;0.0;10.0;40.0;100.0;0.0;150.0;1640.0;1450.0;60.0;130.0;7820.0;7650.0;160.0;12300.0
2;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Totaal geslacht;Na 1/2 jaar;Cohort 1999/'00;58870.0;37620.0;36990.0;200.0;2660.0;2860.0;840.0;1290.0;1540.0;8720.0;4920.0;1490.0;5030.0;5810.0;1300.0;0.0;340.0;76.0;53.0;84.0;68.0;55.0;76.0;87.0;81.0;76.0;79.0;70.0;80.0;65.0;;55.0;630.0;40.0;10.0;40.0;10.0;10.0;0.0;200.0;0.0;0.0;10.0;20.0;70.0;0.0;230.0;970.0;780.0;80.0;110.0;7640.0;7460.0;180.0;12640.0
3;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Totaal geslacht;Na 1 1/2 jaar;Cohort 1997/'98;61290.0;45670.0;44620.0;140.0;4120.0;3140.0;520.0;1690.0;2820.0;12040.0;3600.0;2020.0;6790.0;5820.0;1750.0;0.0;160.0;87.0;77.0;93.0;86.0;67.0;90.0;94.0;91.0;81.0;90.0;82.0;85.0;75.0;;78.0;1050.0;50.0;50.0;70.0;20.0;20.0;0.0;340.0;0.0;0.0;20.0;100.0;150.0;0.0;230.0;1260.0;880.0;70.0;300.0;5690.0;5530.0;150.0;8680.0
4;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Totaal geslacht;Na 1 1/2 jaar;Cohort 1998/'99;59370.0;44130.0;43200.0;160.0;4070.0;2940.0;550.0;1660.0;2440.0;11450.0;3070.0;2220.0;6000.0;6700.0;1640.0;0.0;310.0;91.0;81.0;98.0;90.0;72.0;96.0;102.0;96.0;85.0;91.0;86.0;89.0;79.0;;84.0;930.0;40.0;40.0;50.0;20.0;10.0;0.0;260.0;0.0;0.0;20.0;50.0;140.0;0.0;290.0;730.0;460.0;80.0;190.0;6110.0;5910.0;200.0;8410.0
5;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Totaal geslacht;Na 1 1/2 jaar;Cohort 1999/'00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Totaal geslacht;Na 2 1/2 jaar;Cohort 1997/'98;61290.0;48370.0;47040.0;120.0;4840.0;3260.0;470.0;1870.0;2950.0;12460.0;2330.0;2530.0;6900.0;6980.0;2020.0;0.0;320.0;100.0;88.0;106.0;101.0;78.0;105.0;113.0;105.0;91.0;99.0;92.0;95.0;86.0;;94.0;1330.0;70.0;50.0;70.0;20.0;20.0;0.0;380.0;0.0;0.0;20.0;120.0;200.0;0.0;390.0;650.0;330.0;140.0;170.0;3880.0;3670.0;210.0;8400.0
7;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Totaal geslacht;Na 2 1/2 jaar;Cohort 1998/'99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Totaal geslacht;Na 2 1/2 jaar;Cohort 1999/'00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Mannen;Na 1/2 jaar;Cohort 1997/'98;29240.0;17330.0;16880.0;150.0;2030.0;1540.0;250.0;710.0;880.0;5580.0;2190.0;550.0;1580.0;910.0;510.0;0.0;;;;;;;;;;;;;;;;;450.0;40.0;20.0;30.0;10.0;10.0;0.0;190.0;0.0;0.0;0.0;30.0;70.0;0.0;50.0;1460.0;1360.0;30.0;80.0;3410.0;3330.0;70.0;7050.0
10;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Mannen;Na 1/2 jaar;Cohort 1998/'99;28000.0;18090.0;17640.0;140.0;2020.0;1570.0;350.0;840.0;980.0;5750.0;2340.0;620.0;1450.0;1000.0;480.0;0.0;120.0;;;;;;;;;;;;;;;;450.0;20.0;20.0;40.0;10.0;10.0;0.0;190.0;0.0;0.0;0.0;20.0;60.0;0.0;80.0;750.0;690.0;20.0;50.0;3540.0;3490.0;60.0;5610.0
11;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Mannen;Na 1/2 jaar;Cohort 1999/'00;26800.0;17190.0;16760.0;130.0;1960.0;1450.0;280.0;830.0;870.0;5660.0;1760.0;650.0;1410.0;1080.0;510.0;0.0;190.0;;;;;;;;;;;;;;;;420.0;40.0;10.0;30.0;0.0;10.0;0.0;150.0;0.0;0.0;10.0;0.0;60.0;0.0;120.0;430.0;360.0;30.0;50.0;3450.0;3390.0;70.0;5720.0
12;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Mannen;Na 1 1/2 jaar;Cohort 1997/'98;29240.0;22250.0;21600.0;100.0;3010.0;1830.0;180.0;970.0;1520.0;8000.0;1340.0;850.0;1910.0;1070.0;740.0;0.0;80.0;;;;;;;;;;;;;;;;650.0;50.0;40.0;50.0;10.0;10.0;0.0;240.0;0.0;0.0;10.0;50.0;90.0;0.0;110.0;530.0;380.0;20.0;130.0;2540.0;2490.0;60.0;3920.0
13;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Mannen;Na 1 1/2 jaar;Cohort 1998/'99;28000.0;21050.0;20480.0;110.0;3000.0;1660.0;230.0;960.0;1400.0;7410.0;1050.0;980.0;1640.0;1250.0;610.0;0.0;180.0;;;;;;;;;;;;;;;;570.0;40.0;30.0;30.0;10.0;10.0;0.0;190.0;0.0;0.0;10.0;20.0;80.0;0.0;150.0;300.0;200.0;20.0;80.0;2840.0;2780.0;60.0;3810.0
14;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Mannen;Na 1 1/2 jaar;Cohort 1999/'00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Mannen;Na 2 1/2 jaar;Cohort 1997/'98;29240.0;23440.0;22630.0;90.0;3490.0;1890.0;170.0;1100.0;1600.0;8200.0;720.0;1080.0;1900.0;1380.0;850.0;0.0;180.0;;;;;;;;;;;;;;;;810.0;60.0;30.0;50.0;10.0;10.0;0.0;270.0;0.0;0.0;10.0;50.0;120.0;0.0;200.0;250.0;140.0;40.0;70.0;1760.0;1690.0;70.0;3790.0
16;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Mannen;Na 2 1/2 jaar;Cohort 1998/'99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Mannen;Na 2 1/2 jaar;Cohort 1999/'00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Vrouwen;Na 1/2 jaar;Cohort 1997/'98;32050.0;19010.0;18810.0;50.0;630.0;1360.0;420.0;450.0;670.0;2730.0;3510.0;640.0;3880.0;3840.0;640.0;0.0;;;;;;;;;;;;;;;;;200.0;0.0;0.0;10.0;0.0;10.0;0.0;50.0;0.0;0.0;0.0;40.0;40.0;0.0;40.0;1670.0;1540.0;40.0;90.0;4220.0;4120.0;100.0;7150.0
19;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Vrouwen;Na 1/2 jaar;Cohort 1998/'99;31380.0;19530.0;19300.0;80.0;700.0;1310.0;510.0;480.0;720.0;2940.0;3490.0;700.0;3620.0;3970.0;710.0;0.0;80.0;;;;;;;;;;;;;;;;240.0;0.0;10.0;20.0;10.0;0.0;0.0;60.0;0.0;0.0;0.0;30.0;40.0;0.0;70.0;880.0;760.0;50.0;70.0;4280.0;4170.0;110.0;6690.0
20;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Vrouwen;Na 1/2 jaar;Cohort 1999/'00;32070.0;20440.0;20230.0;70.0;710.0;1410.0;550.0;460.0;670.0;3060.0;3160.0;850.0;3620.0;4730.0;790.0;0.0;150.0;;;;;;;;;;;;;;;;210.0;0.0;0.0;10.0;10.0;0.0;0.0;50.0;0.0;0.0;0.0;10.0;20.0;0.0;100.0;530.0;430.0;50.0;60.0;4190.0;4080.0;110.0;6920.0
21;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Vrouwen;Na 1 1/2 jaar;Cohort 1997/'98;32050.0;23420.0;23020.0;50.0;1110.0;1320.0;340.0;720.0;1300.0;4040.0;2260.0;1170.0;4880.0;4760.0;1010.0;0.0;90.0;;;;;;;;;;;;;;;;400.0;10.0;10.0;20.0;10.0;10.0;0.0;100.0;0.0;0.0;10.0;60.0;60.0;0.0;120.0;730.0;500.0;50.0;170.0;3140.0;3040.0;100.0;4760.0
22;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Vrouwen;Na 1 1/2 jaar;Cohort 1998/'99;31380.0;23080.0;22710.0;50.0;1070.0;1270.0;320.0;700.0;1040.0;4040.0;2020.0;1240.0;4360.0;5450.0;1030.0;0.0;130.0;;;;;;;;;;;;;;;;370.0;10.0;20.0;20.0;10.0;0.0;0.0;80.0;0.0;0.0;10.0;30.0;50.0;0.0;140.0;440.0;270.0;60.0;110.0;3270.0;3130.0;140.0;4600.0
23;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Vrouwen;Na 1 1/2 jaar;Cohort 1999/'00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Vrouwen;Na 2 1/2 jaar;Cohort 1997/'98;32050.0;24930.0;24410.0;40.0;1360.0;1380.0;290.0;770.0;1350.0;4260.0;1610.0;1440.0;5000.0;5600.0;1170.0;0.0;150.0;;;;;;;;;;;;;;;;520.0;10.0;20.0;20.0;10.0;0.0;0.0;100.0;0.0;0.0;10.0;70.0;80.0;0.0;190.0;400.0;200.0;100.0;100.0;2120.0;1980.0;140.0;4600.0
25;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Vrouwen;Na 2 1/2 jaar;Cohort 1998/'99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Totaal hoger onderwijs;Totaal leeftijd en herkomst;Vrouwen;Na 2 1/2 jaar;Cohort 1999/'00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
