ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;3085862;100.0;100;94;6
1;1;2253;0.1;0;0;0
2;2;377426;12.2;13;13;0
3;3;4655;0.2;0;0;0
4;4;13944;0.5;0;0;0
5;5;305587;9.9;11;10;1
6;6;36770;1.2;1;1;0
7;7;11102;0.4;0;0;0
8;8;1868;0.1;0;0;0
9;9;30258;1.0;1;1;0
10;Landbouwpartij;1150;0.0;0;0;0
11;Liberale Staatspartij;269564;8.7;9;8;1
12;Middenstandspartij;23176;0.8;0;0;0
13;Nieuwe Nationale Partij;757;0.0;0;0;0
14;Partij voor Pensioenbelangen;1945;0.1;0;0;0
15;Plattelandersbond (links);62639;2.0;1;1;0
16;Premievrij Staatspensioen;556;0.0;0;0;0
17;Protestantse Volkspartij;15499;0.5;0;0;0
18;Rapaille-partij;4697;0.2;0;0;0
19;Rentetrekkers;206;0.0;0;0;0
20;Revolutionair Arbeidscomité;12655;0.4;0;0;0
21;Roomsch-Katholieke Volkspartij;36571;1.2;1;1;0
22;Rooms-Katholieke Staatspartij;883333;28.6;30;29;1
23;SGP;62513;2.0;2;2;0
24;SDAP;706689;22.9;24;22;2
25;Socialistische Partij;11790;0.4;0;0;0
26;Sport-partij;4402;0.1;0;0;0
27;Vaderlandse Partij;12597;0.4;0;0;0
28;Vrijdenkers;3649;0.1;0;0;0
29;Vrijzinnig Democratische Bond;187183;6.1;7;6;1
30;Vrijzinnige Christenpartij;134;0.0;0;0;0
31;Wilde partij;294;0.0;0;0;0
